,code,display_name,date,weight
0,600008.XSHG,首创股份,2011-08-12,0.1
1,600111.XSHG,包钢稀土,2011-08-12,0.88
2,600132.XSHG,重庆啤酒,2011-08-12,0.37
3,600150.XSHG,中国船舶,2011-08-12,0.33
4,600151.XSHG,航天机电,2011-08-12,0.09
5,600170.XSHG,上海建工,2011-08-12,0.08
6,600196.XSHG,复星医药,2011-08-12,0.18
7,600219.XSHG,南山铝业,2011-08-12,0.18
8,600221.XSHG,海南航空,2011-08-12,0.14
9,600307.XSHG,酒钢宏兴,2011-08-12,0.09
10,600331.XSHG,宏达股份,2011-08-12,0.17
11,600415.XSHG,小商品城,2011-08-12,0.3
12,600418.XSHG,江淮汽车,2011-08-12,0.15
13,600660.XSHG,福耀玻璃,2011-08-12,0.25
14,600674.XSHG,川投能源,2011-08-12,0.09
15,600717.XSHG,天津港,2011-08-12,0.11
16,600718.XSHG,东软集团,2011-08-12,0.14
17,600739.XSHG,辽宁成大,2011-08-12,0.41
18,600795.XSHG,国电电力,2011-08-12,0.36
19,600811.XSHG,东方集团,2011-08-12,0.16
20,600812.XSHG,华北制药,2011-08-12,0.18
21,600895.XSHG,张江高科,2011-08-12,0.13
22,600004.XSHG,白云机场,2011-08-12,0.06
23,600352.XSHG,浙江龙盛,2011-08-12,0.17
24,600406.XSHG,国电南瑞,2011-08-12,0.48
25,000100.XSHE,TCL集团,2011-08-12,0.23
26,600997.XSHG,开滦股份,2011-08-12,0.22
27,002028.XSHE,思源电气,2011-08-12,0.07
28,600971.XSHG,恒源煤电,2011-08-12,0.12
29,600048.XSHG,保利地产,2011-08-12,0.75
30,600018.XSHG,上港集团,2011-08-12,0.14
31,601628.XSHG,中国人寿,2011-08-12,0.45
32,601318.XSHG,中国平安,2011-08-12,2.62
33,601998.XSHG,中信银行,2011-08-12,0.23
34,601088.XSHG,中国神华,2011-08-12,1.71
35,601390.XSHG,中国中铁,2011-08-12,0.31
36,002202.XSHE,金风科技,2011-08-12,0.29
37,601899.XSHG,紫金矿业,2011-08-12,0.85
38,601958.XSHG,金钼股份,2011-08-12,0.31
39,002244.XSHE,滨江集团,2011-08-12,0.08
40,601788.XSHG,光大证券,2011-08-12,0.29
41,601117.XSHG,中国化学,2011-08-12,0.24
42,601818.XSHG,光大银行,2011-08-12,0.23
43,600998.XSHG,九州通,2011-08-12,0.06
44,002498.XSHE,汉缆股份,2011-08-12,0.05
45,002155.XSHE,辰州矿业,2011-08-12,0.23
46,601939.XSHG,建设银行,2011-08-12,0.82
47,601808.XSHG,中海油服,2011-08-12,0.17
48,000002.XSHE,万科A,2011-08-12,1.55
49,000063.XSHE,中兴通讯,2011-08-12,0.57
50,000157.XSHE,中联重科,2011-08-12,0.76
51,000423.XSHE,东阿阿胶,2011-08-12,0.46
52,000562.XSHE,宏源证券,2011-08-12,0.16
53,000709.XSHE,河北钢铁,2011-08-12,0.33
54,000780.XSHE,平庄能源,2011-08-12,0.11
55,000783.XSHE,长江证券,2011-08-12,0.24
56,000800.XSHE,一汽轿车,2011-08-12,0.19
57,000869.XSHE,张裕A,2011-08-12,0.24
58,000878.XSHE,云南铜业,2011-08-12,0.26
59,000895.XSHE,双汇发展,2011-08-12,0.43
60,000937.XSHE,冀中能源,2011-08-12,0.37
61,600005.XSHG,武钢股份,2011-08-12,0.27
62,600028.XSHG,中国石化,2011-08-12,0.56
63,600062.XSHG,双鹤药业,2011-08-12,0.17
64,600068.XSHG,葛洲坝,2011-08-12,0.39
65,600085.XSHG,同仁堂,2011-08-12,0.21
66,600104.XSHG,上海汽车,2011-08-12,0.57
67,600208.XSHG,新湖中宝,2011-08-12,0.19
68,600220.XSHG,江苏阳光,2011-08-12,0.11
69,600239.XSHG,云南城投,2011-08-12,0.11
70,600267.XSHG,海正药业,2011-08-12,0.19
71,600269.XSHG,赣粤高速,2011-08-12,0.09
72,600376.XSHG,首开股份,2011-08-12,0.17
73,600383.XSHG,金地集团,2011-08-12,0.54
74,600428.XSHG,中远航运,2011-08-12,0.1
75,600519.XSHG,贵州茅台,2011-08-12,1.67
76,600550.XSHG,天威保变,2011-08-12,0.2
77,600583.XSHG,海油工程,2011-08-12,0.19
78,600631.XSHG,百联股份,2011-08-12,0.19
79,600649.XSHG,城投控股,2011-08-12,0.16
80,600655.XSHG,豫园商城,2011-08-12,0.28
81,600675.XSHG,中华企业,2011-08-12,0.11
82,600809.XSHG,山西汾酒,2011-08-12,0.21
83,600839.XSHG,四川长虹,2011-08-12,0.16
84,601607.XSHG,上海医药,2011-08-12,0.28
85,600881.XSHG,亚泰集团,2011-08-12,0.26
86,600893.XSHG,航空动力,2011-08-12,0.19
87,600516.XSHG,方大炭素,2011-08-12,0.17
88,600050.XSHG,中国联通,2011-08-12,0.74
89,600549.XSHG,厦门钨业,2011-08-12,0.25
90,600481.XSHG,双良节能,2011-08-12,0.09
91,600031.XSHG,三一重工,2011-08-12,0.93
92,600029.XSHG,南方航空,2011-08-12,0.32
93,600546.XSHG,山煤国际,2011-08-12,0.13
94,600489.XSHG,中金黄金,2011-08-12,0.51
95,002007.XSHE,华兰生物,2011-08-12,0.14
96,002024.XSHE,苏宁电器,2011-08-12,0.97
97,002146.XSHE,荣盛发展,2011-08-12,0.1
98,002069.XSHE,獐子岛,2011-08-12,0.12
99,002106.XSHE,莱宝高科,2011-08-12,0.16
100,002128.XSHE,露天煤业,2011-08-12,0.14
101,601009.XSHG,南京银行,2011-08-12,0.32
102,601857.XSHG,中国石油,2011-08-12,0.7
103,601866.XSHG,中海集运,2011-08-12,0.14
104,601898.XSHG,中煤能源,2011-08-12,0.34
105,601186.XSHG,中国铁建,2011-08-12,0.27
106,601727.XSHG,上海电气,2011-08-12,0.22
107,002294.XSHE,信立泰,2011-08-12,0.07
108,601106.XSHG,中国一重,2011-08-12,0.2
109,002385.XSHE,大北农,2011-08-12,0.06
110,601118.XSHG,海南橡胶,2011-08-12,0.16
111,000001.XSHE,深发展A,2011-08-12,0.79
112,000012.XSHE,南玻A,2011-08-12,0.4
113,000021.XSHE,长城开发,2011-08-12,0.09
114,000031.XSHE,中粮地产,2011-08-12,0.09
115,000059.XSHE,辽通化工,2011-08-12,0.12
116,000060.XSHG,中金岭南,2011-08-12,0.32
117,000061.XSHE,农产品,2011-08-12,0.16
118,000069.XSHE,华侨城A,2011-08-12,0.42
119,000338.XSHE,潍柴动力,2011-08-12,0.57
120,000402.XSHE,金融街,2011-08-12,0.31
121,000425.XSHE,徐工机械,2011-08-12,0.33
122,000527.XSHE,美的电器,2011-08-12,0.63
123,000528.XSHE,柳工,2011-08-12,0.24
124,000536.XSHE,华映科技,2011-08-12,0.06
125,000538.XSHE,云南白药,2011-08-12,0.34
126,000568.XSHE,泸州老窖,2011-08-12,0.63
127,000612.XSHE,焦作万方,2011-08-12,0.11
128,000623.XSHE,吉林敖东,2011-08-12,0.29
129,000625.XSHE,长安汽车,2011-08-12,0.16
130,000651.XSHE,格力电器,2011-08-12,0.82
131,000685.XSHE,中山公用,2011-08-12,0.05
132,000686.XSHE,东北证券,2011-08-12,0.09
133,000690.XSHE,宝新能源,2011-08-12,0.1
134,000718.XSHE,苏宁环球,2011-08-12,0.14
135,000725.XSHE,京东方A,2011-08-12,0.25
