,code,display_name,date,weight
0,601288.XSHG,农业银行,2012-04-27,1.097
1,601688.XSHG,华泰证券,2012-04-27,0.34600000000000003
2,600999.XSHG,招商证券,2012-04-27,0.591
3,601788.XSHG,光大证券,2012-04-27,0.35700000000000004
4,002304.XSHE,洋河股份,2012-04-27,0.888
5,601989.XSHG,中国重工,2012-04-27,0.527
6,601299.XSHG,中国北车,2012-04-27,0.365
7,601179.XSHG,中国西电,2012-04-27,0.135
8,601117.XSHG,中国化学,2012-04-27,0.262
9,601888.XSHG,中国国旅,2012-04-27,0.15
10,600863.XSHG,内蒙华电,2012-04-27,0.123
11,601607.XSHG,上海医药,2012-04-27,0.17600000000000002
12,000961.XSHE,中南建设,2012-04-27,0.081
13,600000.XSHG,浦发银行,2012-04-27,2.076
14,600005.XSHG,武钢股份,2012-04-27,0.233
15,600008.XSHG,首创股份,2012-04-27,0.118
16,600009.XSHG,上海机场,2012-04-27,0.246
17,600010.XSHG,包钢股份,2012-04-27,0.305
18,600015.XSHG,华夏银行,2012-04-27,0.757
19,600016.XSHG,民生银行,2012-04-27,2.96
20,600019.XSHG,宝钢股份,2012-04-27,0.518
21,600026.XSHG,中海发展,2012-04-27,0.076
22,600028.XSHG,中国石化,2012-04-27,0.606
23,600029.XSHG,南方航空,2012-04-27,0.201
24,600030.XSHG,中信证券,2012-04-27,1.765
25,600031.XSHG,三一重工,2012-04-27,0.846
26,600036.XSHG,招商银行,2012-04-27,2.974
27,600037.XSHG,歌华有线,2012-04-27,0.104
28,600048.XSHG,保利地产,2012-04-27,0.88
29,600050.XSHG,中国联通,2012-04-27,0.7240000000000001
30,600058.XSHG,五矿发展,2012-04-27,0.214
31,600062.XSHG,华润双鹤,2012-04-27,0.102
32,600066.XSHG,宇通客车,2012-04-27,0.238
33,600068.XSHG,葛洲坝,2012-04-27,0.313
34,600085.XSHG,同仁堂,2012-04-27,0.182
35,600089.XSHG,特变电工,2012-04-27,0.418
36,600096.XSHG,云天化,2012-04-27,0.08800000000000001
37,600100.XSHG,同方股份,2012-04-27,0.299
38,600104.XSHG,上汽集团,2012-04-27,0.6679999999999999
39,600108.XSHG,亚盛集团,2012-04-27,0.161
40,600109.XSHG,国金证券,2012-04-27,0.081
41,600111.XSHG,包钢稀土,2012-04-27,1.016
42,600118.XSHG,中国卫星,2012-04-27,0.127
43,600123.XSHG,兰花科创,2012-04-27,0.318
44,600125.XSHG,铁龙物流,2012-04-27,0.161
45,600132.XSHG,重庆啤酒,2012-04-27,0.14300000000000002
46,600143.XSHG,金发科技,2012-04-27,0.255
47,600150.XSHG,中国船舶,2012-04-27,0.31
48,600151.XSHG,航天机电,2012-04-27,0.071
49,600153.XSHG,建发股份,2012-04-27,0.211
50,600161.XSHG,天坛生物,2012-04-27,0.07400000000000001
51,600166.XSHG,福田汽车,2012-04-27,0.22
52,600169.XSHG,太原重工,2012-04-27,0.117
53,600170.XSHG,上海建工,2012-04-27,0.096
54,600177.XSHG,雅戈尔,2012-04-27,0.268
55,600183.XSHG,生益科技,2012-04-27,0.09
56,600188.XSHG,兖州煤业,2012-04-27,0.278
57,600196.XSHG,复星医药,2012-04-27,0.212
58,600208.XSHG,新湖中宝,2012-04-27,0.172
59,600216.XSHG,浙江医药,2012-04-27,0.126
60,600219.XSHG,南山铝业,2012-04-27,0.17600000000000002
61,600221.XSHG,海南航空,2012-04-27,0.112
62,600256.XSHG,广汇股份,2012-04-27,0.555
63,600266.XSHG,北京城建,2012-04-27,0.129
64,600271.XSHG,航天信息,2012-04-27,0.22
65,600307.XSHG,酒钢宏兴,2012-04-27,0.066
66,600309.XSHG,烟台万华,2012-04-27,0.29
67,600316.XSHG,洪都航空,2012-04-27,0.142
68,600320.XSHG,振华重工,2012-04-27,0.165
69,600331.XSHG,宏达股份,2012-04-27,0.147
70,600348.XSHG,阳泉煤业,2012-04-27,0.47
71,600352.XSHG,浙江龙盛,2012-04-27,0.136
72,600362.XSHG,江西铜业,2012-04-27,0.426
73,600369.XSHG,西南证券,2012-04-27,0.181
74,600376.XSHG,首开股份,2012-04-27,0.185
75,600380.XSHG,健康元,2012-04-27,0.062
76,600383.XSHG,金地集团,2012-04-27,0.5710000000000001
77,600395.XSHG,盘江股份,2012-04-27,0.202
78,600415.XSHG,小商品城,2012-04-27,0.22
79,600418.XSHG,江淮汽车,2012-04-27,0.117
80,600428.XSHG,中远航运,2012-04-27,0.085
81,600432.XSHG,吉恩镍业,2012-04-27,0.128
82,600456.XSHG,宝钛股份,2012-04-27,0.095
83,600489.XSHG,中金黄金,2012-04-27,0.446
84,600497.XSHG,驰宏锌锗,2012-04-27,0.21600000000000005
85,600500.XSHG,中化国际,2012-04-27,0.109
86,600508.XSHG,上海能源,2012-04-27,0.124
87,600516.XSHG,方大炭素,2012-04-27,0.13699999999999998
88,600518.XSHG,康美药业,2012-04-27,0.369
89,600519.XSHG,贵州茅台,2012-04-27,1.838
