code,display_name,date,weight
000001.XSHE,平安银行,2018-11-09,0.976
000002.XSHE,万科A,2018-11-09,1.228
000060.XSHE,中金岭南,2018-11-09,0.111
000063.XSHE,中兴通讯,2018-11-09,0.42
000069.XSHE,华侨城A,2018-11-09,0.197
000100.XSHE,TCL集团,2018-11-09,0.279
000157.XSHE,中联重科,2018-11-09,0.156
000402.XSHE,金融街,2018-11-09,0.081
000413.XSHE,东旭光电,2018-11-09,0.188
000415.XSHE,渤海租赁,2018-11-09,0.077
000423.XSHE,东阿阿胶,2018-11-09,0.187
000425.XSHE,徐工机械,2018-11-09,0.163
000503.XSHE,国新健康,2018-11-09,0.108
000538.XSHE,云南白药,2018-11-09,0.381
000540.XSHE,中天金融,2018-11-09,0.215
000559.XSHE,万向钱潮,2018-11-09,0.072
000568.XSHE,泸州老窖,2018-11-09,0.291
000623.XSHE,吉林敖东,2018-11-09,0.149
000625.XSHE,长安汽车,2018-11-09,0.13
000627.XSHE,天茂集团,2018-11-09,0.09
000630.XSHE,铜陵有色,2018-11-09,0.138
000651.XSHE,格力电器,2018-11-09,1.909
000671.XSHE,阳光城,2018-11-09,0.092
000709.XSHE,河钢股份,2018-11-09,0.14
000723.XSHE,美锦能源,2018-11-09,0.046
000725.XSHE,京东方A,2018-11-09,0.679
000728.XSHE,国元证券,2018-11-09,0.152
000768.XSHE,中航飞机,2018-11-09,0.214
000776.XSHE,广发证券,2018-11-09,0.383
000783.XSHE,长江证券,2018-11-09,0.208
000786.XSHE,北新建材,2018-11-09,0.123
000792.XSHE,盐湖股份,2018-11-09,0.11
000826.XSHE,启迪桑德,2018-11-09,0.081
000839.XSHE,中信国安,2018-11-09,0.089
000858.XSHE,五粮液,2018-11-09,0.974
000876.XSHE,新希望,2018-11-09,0.131
000895.XSHE,双汇发展,2018-11-09,0.233
000898.XSHE,鞍钢股份,2018-11-09,0.112
000938.XSHE,紫光股份,2018-11-09,0.071
000959.XSHE,首钢股份,2018-11-09,0.068
000961.XSHE,中南建设,2018-11-09,0.111
000963.XSHE,华东医药,2018-11-09,0.271
000983.XSHE,西山煤电,2018-11-09,0.106
600000.XSHG,浦发银行,2018-11-09,1.344
600008.XSHG,首创股份,2018-11-09,0.081
600009.XSHG,上海机场,2018-11-09,0.498
600010.XSHG,包钢股份,2018-11-09,0.231
600011.XSHG,华能国际,2018-11-09,0.283
600015.XSHG,华夏银行,2018-11-09,0.535
600016.XSHG,民生银行,2018-11-09,1.889
600019.XSHG,宝钢股份,2018-11-09,0.71
600028.XSHG,中国石化,2018-11-09,0.691
600029.XSHG,南方航空,2018-11-09,0.218
600030.XSHG,中信证券,2018-11-09,1.408
600031.XSHG,三一重工,2018-11-09,0.379
600036.XSHG,招商银行,2018-11-09,3.108
600038.XSHG,中直股份,2018-11-09,0.112
600050.XSHG,中国联通,2018-11-09,0.526
600061.XSHG,国投资本,2018-11-09,0.079
600066.XSHG,宇通客车,2018-11-09,0.148
600068.XSHG,葛洲坝,2018-11-09,0.185
600085.XSHG,同仁堂,2018-11-09,0.163
600089.XSHG,特变电工,2018-11-09,0.269
600100.XSHG,同方股份,2018-11-09,0.162
600104.XSHG,上汽集团,2018-11-09,0.99
600109.XSHG,国金证券,2018-11-09,0.158
600111.XSHG,北方稀土,2018-11-09,0.239
600115.XSHG,东方航空,2018-11-09,0.204
600118.XSHG,中国卫星,2018-11-09,0.1
600153.XSHG,建发股份,2018-11-09,0.111
600157.XSHG,永泰能源,2018-11-09,0.108
600170.XSHG,上海建工,2018-11-09,0.14
