,code,display_name,date,weight
0,600595.XSHG,中孚实业,2011-03-24,0.15
1,600597.XSHG,光明乳业,2011-03-24,0.07
2,600598.XSHG,北大荒,2011-03-24,0.19
3,600600.XSHG,青岛啤酒,2011-03-24,0.2
4,600611.XSHG,大众交通,2011-03-24,0.09
5,600635.XSHG,大众公用,2011-03-24,0.16
6,600642.XSHG,申能股份,2011-03-24,0.25
7,600657.XSHG,信达地产,2011-03-24,0.05
8,600663.XSHG,陆家嘴,2011-03-24,0.13
9,600664.XSHG,哈药股份,2011-03-24,0.26
10,600690.XSHG,青岛海尔,2011-03-24,0.41
11,600694.XSHG,大商股份,2011-03-24,0.22
12,600703.XSHG,三安光电,2011-03-24,0.21
13,600737.XSHG,中粮屯河,2011-03-24,0.11
14,600741.XSHG,华域汽车,2011-03-24,0.23
15,600779.XSHG,水井坊,2011-03-24,0.13
16,600804.XSHG,鹏博士,2011-03-24,0.11
17,600808.XSHG,马钢股份,2011-03-24,0.15
18,600823.XSHG,世茂股份,2011-03-24,0.09
19,600832.XSHG,东方明珠,2011-03-24,0.24
20,600837.XSHG,海通证券,2011-03-24,0.86
21,600863.XSHG,内蒙华电,2011-03-24,0.1
22,600875.XSHG,东方电气,2011-03-24,0.33
23,600879.XSHG,航天电子,2011-03-24,0.16
24,600887.XSHG,伊利股份,2011-03-24,0.5
25,600900.XSHG,长江电力,2011-03-24,0.69
26,600970.XSHG,中材国际,2011-03-24,0.24
27,600999.XSHG,招商证券,2011-03-24,0.23
28,601001.XSHG,大同煤业,2011-03-24,0.23
29,601006.XSHG,大秦铁路,2011-03-24,0.88
30,601099.XSHG,太平洋,2011-03-24,0.06
31,601101.XSHG,昊华能源,2011-03-24,0.11
32,601107.XSHG,四川成渝,2011-03-24,0.08
33,601111.XSHG,中国国航,2011-03-24,0.32
34,601158.XSHG,重庆水务,2011-03-24,0.15
35,601166.XSHG,兴业银行,2011-03-24,2.01
36,601168.XSHG,西部矿业,2011-03-24,0.51
37,601169.XSHG,北京银行,2011-03-24,0.89
38,601179.XSHG,中国西电,2011-03-24,0.19
39,601268.XSHG,二重重装,2011-03-24,0.07
40,601288.XSHG,农业银行,2011-03-24,0.48
41,601299.XSHG,中国北车,2011-03-24,0.46
42,601328.XSHG,交通银行,2011-03-24,2.01
43,601333.XSHG,广深铁路,2011-03-24,0.18
44,601369.XSHG,陕鼓动力,2011-03-24,0.08
45,601398.XSHG,工商银行,2011-03-24,1.17
46,601600.XSHG,中国铝业,2011-03-24,0.37
47,601601.XSHG,中国太保,2011-03-24,1.2
48,601618.XSHG,中国中冶,2011-03-24,0.33
49,601666.XSHG,平煤股份,2011-03-24,0.32
50,601668.XSHG,中国建筑,2011-03-24,0.75
51,601688.XSHG,华泰证券,2011-03-24,0.28
52,601699.XSHG,潞安环能,2011-03-24,0.5
53,601766.XSHG,中国南车,2011-03-24,0.53
54,601888.XSHG,中国国旅,2011-03-24,0.13
55,601918.XSHG,国投新集,2011-03-24,0.14
56,601919.XSHG,中国远洋,2011-03-24,0.4
57,601988.XSHG,中国银行,2011-03-24,0.4
58,601989.XSHG,中国重工,2011-03-24,0.63
59,600812.XSHG,华北制药,2011-03-24,0.2
60,000999.XSHE,华润三九,2011-03-24,0.15
61,600307.XSHG,酒钢宏兴,2011-03-24,0.09
62,600111.XSHG,包钢稀土,2011-03-24,0.71
63,600008.XSHG,首创股份,2011-03-24,0.12
64,601958.XSHG,金钼股份,2011-03-24,0.42
65,601628.XSHG,中国人寿,2011-03-24,0.55
66,002202.XSHE,金风科技,2011-03-24,0.49
67,600418.XSHG,江淮汽车,2011-03-24,0.19
68,000100.XSHE,TCL集团,2011-03-24,0.2
69,600000.XSHG,浦发银行,2011-03-24,1.97
70,600811.XSHG,东方集团,2011-03-24,0.2
71,600739.XSHG,辽宁成大,2011-03-24,0.51
72,000927.XSHE,一汽夏利,2011-03-24,0.07
73,600406.XSHG,国电南瑞,2011-03-24,0.38
74,600219.XSHG,南山铝业,2011-03-24,0.19
75,600018.XSHG,上港集团,2011-03-24,0.3
76,000027.XSHE,深圳能源,2011-03-24,0.12
77,600004.XSHG,白云机场,2011-03-24,0.07
78,601818.XSHG,光大银行,2011-03-24,0.16
79,601899.XSHG,紫金矿业,2011-03-24,0.72
80,002242.XSHE,九阳股份,2011-03-24,0.06
81,000778.XSHE,新兴铸管,2011-03-24,0.21
82,600170.XSHG,上海建工,2011-03-24,0.12
83,600151.XSHG,航天机电,2011-03-24,0.1
84,000046.XSHE,泛海建设,2011-03-24,0.1
85,600795.XSHG,国电电力,2011-03-24,0.49
86,000968.XSHE,煤气化,2011-03-24,0.12
87,600331.XSHG,宏达股份,2011-03-24,0.17
88,000758.XSHE,中色股份,2011-03-24,0.22
89,000680.XSHE,山推股份,2011-03-24,0.26
90,000630.XSHE,铜陵有色,2011-03-24,0.32
