code,display_name,date,weight
002044.XSHE,美年健康,2017-09-22,0.185
000413.XSHE,东旭光电,2017-09-22,0.22
000415.XSHE,渤海租赁,2017-09-22,0.12
002426.XSHE,胜利精密,2017-09-22,0.145
601009.XSHG,南京银行,2017-09-22,0.378
600999.XSHG,招商证券,2017-09-22,0.412
002049.XSHE,紫光国微,2017-09-22,0.095
000826.XSHE,启迪桑德,2017-09-22,0.16
600256.XSHG,广汇能源,2017-09-22,0.124
000709.XSHE,河钢股份,2017-09-22,0.187
000559.XSHE,万向钱潮,2017-09-22,0.134
000156.XSHE,华数传媒,2017-09-22,0.079
000157.XSHE,中联重科,2017-09-22,0.186
000623.XSHE,吉林敖东,2017-09-22,0.198
002450.XSHE,ST康得新,2017-09-22,0.442
000555.XSHE,神州信息,2017-09-22,0.045
600498.XSHG,烽火通信,2017-09-22,0.129
600893.XSHG,航发动力,2017-09-22,0.264
601877.XSHG,正泰电器,2017-09-22,0.076
600909.XSHG,华安证券,2017-09-22,0.113
601872.XSHG,招商轮船,2017-09-22,0.099
600089.XSHG,特变电工,2017-09-22,0.346
600895.XSHG,张江高科,2017-09-22,0.123
601117.XSHG,中国化学,2017-09-22,0.135
600085.XSHG,同仁堂,2017-09-22,0.163
601229.XSHG,上海银行,2017-09-22,0.15
002841.XSHE,视源股份,2017-09-22,0.03
000792.XSHE,盐湖股份,2017-09-22,0.149
000793.XSHE,华闻传媒,2017-09-22,0.2
300027.XSHE,华谊兄弟,2017-09-22,0.141
600436.XSHG,片仔癀,2017-09-22,0.152
600000.XSHG,浦发银行,2017-09-22,1.317
000959.XSHE,首钢股份,2017-09-22,0.108
600649.XSHG,城投控股,2017-09-22,0.121
300124.XSHE,汇川技术,2017-09-22,0.243
600415.XSHG,小商品城,2017-09-22,0.181
601633.XSHG,长城汽车,2017-09-22,0.14
600008.XSHG,首创股份,2017-09-22,0.148
600009.XSHG,上海机场,2017-09-22,0.347
300144.XSHE,宋城演艺,2017-09-22,0.129
600066.XSHG,宇通客车,2017-09-22,0.254
600060.XSHG,海信电器,2017-09-22,0.105
600061.XSHG,国投资本,2017-09-22,0.169
000425.XSHE,徐工机械,2017-09-22,0.148
601988.XSHG,中国银行,2017-09-22,0.822
601989.XSHG,中国重工,2017-09-22,0.546
000738.XSHE,航发控制,2017-09-22,0.082
600958.XSHG,东方证券,2017-09-22,0.482
600068.XSHG,葛洲坝,2017-09-22,0.271
000423.XSHE,东阿阿胶,2017-09-22,0.301
601155.XSHG,新城控股,2017-09-22,0.149
300251.XSHE,光线传媒,2017-09-22,0.071
000630.XSHE,铜陵有色,2017-09-22,0.182
601390.XSHG,中国中铁,2017-09-22,0.605
002152.XSHE,广电运通,2017-09-22,0.089
601788.XSHG,光大证券,2017-09-22,0.287
601398.XSHG,工商银行,2017-09-22,1.173
601021.XSHG,春秋航空,2017-09-22,0.076
600153.XSHG,建发股份,2017-09-22,0.168
600150.XSHG,中国船舶,2017-09-22,0.161
601866.XSHG,中远海发,2017-09-22,0.118
600718.XSHG,东软集团,2017-09-22,0.136
600157.XSHG,永泰能源,2017-09-22,0.169
300315.XSHE,掌趣科技,2017-09-22,0.141
000627.XSHE,天茂集团,2017-09-22,0.113
601901.XSHG,方正证券,2017-09-22,0.346
600309.XSHG,万华化学,2017-09-22,0.454
000876.XSHE,新希望,2017-09-22,0.147
600795.XSHG,国电电力,2017-09-22,0.379
000783.XSHE,长江证券,2017-09-22,0.308
600010.XSHG,包钢股份,2017-09-22,0.352
600016.XSHG,民生银行,2017-09-22,1.831
600015.XSHG,华夏银行,2017-09-22,0.563
601318.XSHG,中国平安,2017-09-22,5.595
600019.XSHG,宝钢股份,2017-09-22,0.668
600018.XSHG,上港集团,2017-09-22,0.195
600549.XSHG,厦门钨业,2017-09-22,0.138
601766.XSHG,中国中车,2017-09-22,0.892
600074.XSHG,*ST保千,2017-09-22,0.093
601992.XSHG,金隅集团,2017-09-22,0.213
000725.XSHE,京东方A,2017-09-22,0.839
600372.XSHG,中航电子,2017-09-22,0.08
600373.XSHG,中文传媒,2017-09-22,0.12
000538.XSHE,云南白药,2017-09-22,0.418
000728.XSHE,国元证券,2017-09-22,0.238
600376.XSHG,首开股份,2017-09-22,0.107
000686.XSHE,东北证券,2017-09-22,0.142
000338.XSHE,潍柴动力,2017-09-22,0.321
002027.XSHE,分众传媒,2017-09-22,0.148
002024.XSHE,苏宁易购,2017-09-22,0.409
601211.XSHG,国泰君安,2017-09-22,0.897
002081.XSHE,金螳螂,2017-09-22,0.165
600919.XSHG,江苏银行,2017-09-22,0.103
601958.XSHG,金钼股份,2017-09-22,0.081
002352.XSHE,顺丰控股,2017-09-22,0.103
601628.XSHG,中国人寿,2017-09-22,0.449
600820.XSHG,隧道股份,2017-09-22,0.176
