code,display_name,date,weight
002044.XSHE,美年健康,2017-08-16,0.184
000413.XSHE,东旭光电,2017-08-16,0.246
000415.XSHE,渤海租赁,2017-08-16,0.12
002426.XSHE,胜利精密,2017-08-16,0.149
601009.XSHG,南京银行,2017-08-16,0.373
600999.XSHG,招商证券,2017-08-16,0.387
002049.XSHE,紫光国微,2017-08-16,0.089
000826.XSHE,启迪桑德,2017-08-16,0.166
600256.XSHG,广汇能源,2017-08-16,0.127
000709.XSHE,河钢股份,2017-08-16,0.19
000559.XSHE,万向钱潮,2017-08-16,0.14
000156.XSHE,华数传媒,2017-08-16,0.082
000157.XSHE,中联重科,2017-08-16,0.197
000623.XSHE,吉林敖东,2017-08-16,0.196
002450.XSHE,ST康得新,2017-08-16,0.456
000555.XSHE,神州信息,2017-08-16,0.046
600498.XSHG,烽火通信,2017-08-16,0.13
600893.XSHG,航发动力,2017-08-16,0.27
601877.XSHG,正泰电器,2017-08-16,0.077
600909.XSHG,华安证券,2017-08-16,0.101
601872.XSHG,招商轮船,2017-08-16,0.102
600089.XSHG,特变电工,2017-08-16,0.353
600895.XSHG,张江高科,2017-08-16,0.127
601117.XSHG,中国化学,2017-08-16,0.132
600085.XSHG,同仁堂,2017-08-16,0.169
601229.XSHG,上海银行,2017-08-16,0.151
002841.XSHE,视源股份,2017-08-16,0.029
000792.XSHE,盐湖股份,2017-08-16,0.147
000793.XSHE,华闻传媒,2017-08-16,0.198
300027.XSHE,华谊兄弟,2017-08-16,0.15
600436.XSHG,片仔癀,2017-08-16,0.162
600000.XSHG,浦发银行,2017-08-16,1.337
000959.XSHE,首钢股份,2017-08-16,0.109
600649.XSHG,城投控股,2017-08-16,0.122
300124.XSHE,汇川技术,2017-08-16,0.247
600415.XSHG,小商品城,2017-08-16,0.184
601633.XSHG,长城汽车,2017-08-16,0.15
600008.XSHG,首创股份,2017-08-16,0.153
600009.XSHG,上海机场,2017-08-16,0.343
300144.XSHE,宋城演艺,2017-08-16,0.136
600066.XSHG,宇通客车,2017-08-16,0.275
600060.XSHG,海信电器,2017-08-16,0.107
600061.XSHG,国投资本,2017-08-16,0.166
000425.XSHE,徐工机械,2017-08-16,0.15
601988.XSHG,中国银行,2017-08-16,0.809
601989.XSHG,中国重工,2017-08-16,0.564
000738.XSHE,航发控制,2017-08-16,0.087
600958.XSHG,东方证券,2017-08-16,0.443
600068.XSHG,葛洲坝,2017-08-16,0.273
000423.XSHE,东阿阿胶,2017-08-16,0.314
601155.XSHG,新城控股,2017-08-16,0.143
300251.XSHE,光线传媒,2017-08-16,0.075
000630.XSHE,铜陵有色,2017-08-16,0.182
601390.XSHG,中国中铁,2017-08-16,0.6
002152.XSHE,广电运通,2017-08-16,0.095
601788.XSHG,光大证券,2017-08-16,0.276
601398.XSHG,工商银行,2017-08-16,1.156
601021.XSHG,春秋航空,2017-08-16,0.073
600153.XSHG,建发股份,2017-08-16,0.17
600150.XSHG,中国船舶,2017-08-16,0.16
601866.XSHG,中远海发,2017-08-16,0.121
600718.XSHG,东软集团,2017-08-16,0.135
600157.XSHG,永泰能源,2017-08-16,0.173
300315.XSHE,掌趣科技,2017-08-16,0.148
000627.XSHE,天茂集团,2017-08-16,0.113
601901.XSHG,方正证券,2017-08-16,0.334
600309.XSHG,万华化学,2017-08-16,0.44
000876.XSHE,新希望,2017-08-16,0.153
600795.XSHG,国电电力,2017-08-16,0.392
000783.XSHE,长江证券,2017-08-16,0.299
600010.XSHG,包钢股份,2017-08-16,0.351
600016.XSHG,民生银行,2017-08-16,1.839
600015.XSHG,华夏银行,2017-08-16,0.566
601318.XSHG,中国平安,2017-08-16,5.281
600019.XSHG,宝钢股份,2017-08-16,0.66
600018.XSHG,上港集团,2017-08-16,0.196
600549.XSHG,厦门钨业,2017-08-16,0.128
601766.XSHG,中国中车,2017-08-16,0.914
600074.XSHG,*ST保千,2017-08-16,0.096
601992.XSHG,金隅集团,2017-08-16,0.216
000725.XSHE,京东方A,2017-08-16,0.871
600372.XSHG,中航电子,2017-08-16,0.087
600373.XSHG,中文传媒,2017-08-16,0.136
000538.XSHE,云南白药,2017-08-16,0.439
000728.XSHE,国元证券,2017-08-16,0.222
600376.XSHG,首开股份,2017-08-16,0.108
000686.XSHE,东北证券,2017-08-16,0.14
000338.XSHE,潍柴动力,2017-08-16,0.308
002027.XSHE,分众传媒,2017-08-16,0.152
002024.XSHE,苏宁易购,2017-08-16,0.428
601211.XSHG,国泰君安,2017-08-16,0.853
002081.XSHE,金螳螂,2017-08-16,0.169
600919.XSHG,江苏银行,2017-08-16,0.106
601958.XSHG,金钼股份,2017-08-16,0.081
002352.XSHE,顺丰控股,2017-08-16,0.1
601628.XSHG,中国人寿,2017-08-16,0.431
600820.XSHG,隧道股份,2017-08-16,0.169
002131.XSHE,利欧股份,2017-08-16,0.081
601919.XSHG,中远海控,2017-08-16,0.27
601718.XSHG,际华集团,2017-08-16,0.109
600383.XSHG,金地集团,2017-08-16,0.239
600900.XSHG,长江电力,2017-08-16,0.964
601857.XSHG,中国石油,2017-08-16,0.365
600703.XSHG,三安光电,2017-08-16,0.466
