,code,display_name,date,weight
117,600809.XSHG,山西汾酒,2012-04-25,0.177
118,600811.XSHG,东方集团,2012-04-25,0.17
119,600812.XSHG,华北制药,2012-04-25,0.102
120,600832.XSHG,东方明珠,2012-04-25,0.194
121,600837.XSHG,海通证券,2012-04-25,1.605
122,600839.XSHG,四川长虹,2012-04-25,0.172
123,600875.XSHG,东方电气,2012-04-25,0.292
124,600879.XSHG,航天电子,2012-04-25,0.112
125,600881.XSHG,亚泰集团,2012-04-25,0.232
126,600895.XSHG,张江高科,2012-04-25,0.13699999999999998
127,600900.XSHG,长江电力,2012-04-25,0.637
128,600970.XSHG,中材国际,2012-04-25,0.145
129,600997.XSHG,开滦股份,2012-04-25,0.15
130,601001.XSHG,大同煤业,2012-04-25,0.177
131,601006.XSHG,大秦铁路,2012-04-25,0.8740000000000001
132,601009.XSHG,南京银行,2012-04-25,0.387
133,601088.XSHG,中国神华,2012-04-25,1.729
134,601111.XSHG,中国国航,2012-04-25,0.205
135,601166.XSHG,兴业银行,2012-04-25,2.122
136,601168.XSHG,西部矿业,2012-04-25,0.377
137,601169.XSHG,北京银行,2012-04-25,0.903
138,601186.XSHG,中国铁建,2012-04-25,0.273
139,601318.XSHG,中国平安,2012-04-25,2.694
140,601328.XSHG,交通银行,2012-04-25,2.193
141,601333.XSHG,广深铁路,2012-04-25,0.197
142,601390.XSHG,中国中铁,2012-04-25,0.279
143,601398.XSHG,工商银行,2012-04-25,1.355
144,601600.XSHG,中国铝业,2012-04-25,0.397
145,601601.XSHG,中国太保,2012-04-25,1.358
146,601628.XSHG,中国人寿,2012-04-25,0.547
147,601666.XSHG,平煤股份,2012-04-25,0.281
148,601699.XSHG,潞安环能,2012-04-25,0.499
149,601727.XSHG,上海电气,2012-04-25,0.221
150,601766.XSHG,中国南车,2012-04-25,0.35100000000000003
151,601808.XSHG,中海油服,2012-04-25,0.2
152,601857.XSHG,中国石油,2012-04-25,0.6940000000000001
153,601866.XSHG,中海集运,2012-04-25,0.146
154,601898.XSHG,中煤能源,2012-04-25,0.337
155,601899.XSHG,紫金矿业,2012-04-25,0.685
156,601918.XSHG,国投新集,2012-04-25,0.157
157,601919.XSHG,中国远洋,2012-04-25,0.246
158,601939.XSHG,建设银行,2012-04-25,0.909
159,601958.XSHG,金钼股份,2012-04-25,0.272
160,601988.XSHG,中国银行,2012-04-25,0.419
161,601998.XSHG,中信银行,2012-04-25,0.246
162,601668.XSHG,中国建筑,2012-04-25,0.999
163,000001.XSHE,深发展A,2012-04-25,0.851
164,000002.XSHE,万科A,2012-04-25,1.694
165,000009.XSHE,中国宝安,2012-04-25,0.244
166,000012.XSHE,南玻A,2012-04-25,0.248
167,000021.XSHE,长城开发,2012-04-25,0.08199999999999999
168,000024.XSHE,招商地产,2012-04-25,0.308
169,000027.XSHE,深圳能源,2012-04-25,0.097
170,000039.XSHE,中集集团,2012-04-25,0.255
171,000059.XSHE,辽通化工,2012-04-25,0.11
172,000060.XSHG,中金岭南,2012-04-25,0.27
173,000061.XSHE,农产品,2012-04-25,0.145
174,000063.XSHE,中兴通讯,2012-04-25,0.6829999999999999
175,000069.XSHE,华侨城A,2012-04-25,0.416
176,000100.XSHE,TCL集团,2012-04-25,0.28600000000000003
177,000157.XSHE,中联重科,2012-04-25,0.8640000000000001
178,000338.XSHE,潍柴动力,2012-04-25,0.5
179,000401.XSHE,冀东水泥,2012-04-25,0.261
180,000402.XSHE,金融街,2012-04-25,0.319
181,000422.XSHE,湖北宜化,2012-04-25,0.194
182,000423.XSHE,东阿阿胶,2012-04-25,0.401
183,000425.XSHE,徐工机械,2012-04-25,0.246
184,000527.XSHE,美的电器,2012-04-25,0.529
185,000528.XSHE,柳工,2012-04-25,0.179
186,000538.XSHE,云南白药,2012-04-25,0.275
187,000562.XSHE,宏源证券,2012-04-25,0.179
188,000568.XSHE,泸州老窖,2012-04-25,0.585
189,000623.XSHE,吉林敖东,2012-04-25,0.28300000000000003
190,000625.XSHE,长安汽车,2012-04-25,0.177
191,000630.XSHE,铜陵有色,2012-04-25,0.293
192,000651.XSHE,格力电器,2012-04-25,0.893
193,000680.XSHE,山推股份,2012-04-25,0.116
194,000686.XSHE,东北证券,2012-04-25,0.087
195,000709.XSHE,河北钢铁,2012-04-25,0.316
196,000718.XSHE,苏宁环球,2012-04-25,0.118
197,000728.XSHE,国元证券,2012-04-25,0.217
198,000729.XSHE,燕京啤酒,2012-04-25,0.189
199,000758.XSHE,中色股份,2012-04-25,0.21
200,000768.XSHE,西飞国际,2012-04-25,0.208
201,000778.XSHE,新兴铸管,2012-04-25,0.152
202,000780.XSHE,平庄能源,2012-04-25,0.106
203,000783.XSHE,长江证券,2012-04-25,0.319
204,000792.XSHE,盐湖股份,2012-04-25,0.42
205,000800.XSHE,一汽轿车,2012-04-25,0.181
