code,display_name,date,weight
600259.XSHG,广晟有色,2014-07-30,0.1
000413.XSHE,东旭光电,2014-07-30,0.11
600315.XSHG,上海家化,2014-07-30,0.35
600316.XSHG,洪都航空,2014-07-30,0.15
002416.XSHE,爱施德,2014-07-30,0.06
600252.XSHG,中恒集团,2014-07-30,0.2
002570.XSHE,*ST因美,2014-07-30,0.18
000826.XSHE,启迪桑德,2014-07-30,0.23
600256.XSHG,广汇能源,2014-07-30,0.44
000709.XSHE,河钢股份,2014-07-30,0.16
601231.XSHG,环旭电子,2014-07-30,0.12
000156.XSHE,华数传媒,2014-07-30,0.04
000157.XSHE,中联重科,2014-07-30,0.39
000623.XSHE,吉林敖东,2014-07-30,0.22
002500.XSHE,山西证券,2014-07-30,0.13
600588.XSHG,用友网络,2014-07-30,0.16
002375.XSHE,亚厦股份,2014-07-30,0.12
000629.XSHE,攀钢钒钛,2014-07-30,0.18
600893.XSHG,航发动力,2014-07-30,0.28
002294.XSHE,信立泰,2014-07-30,0.12
601139.XSHG,深圳燃气,2014-07-30,0.05
600123.XSHG,兰花科创,2014-07-30,0.1
600089.XSHG,特变电工,2014-07-30,0.54
600895.XSHG,张江高科,2014-07-30,0.1
000012.XSHE,南玻A,2014-07-30,0.18
600085.XSHG,同仁堂,2014-07-30,0.23
601238.XSHG,广汽集团,2014-07-30,0.13
000792.XSHE,盐湖股份,2014-07-30,0.19
000793.XSHE,华闻传媒,2014-07-30,0.26
600340.XSHG,华夏幸福,2014-07-30,0.27
600000.XSHG,浦发银行,2014-07-30,2.03
600648.XSHG,外高桥,2014-07-30,0.15
600649.XSHG,城投控股,2014-07-30,0.19
600415.XSHG,小商品城,2014-07-30,0.14
601633.XSHG,长城汽车,2014-07-30,0.2
600008.XSHG,首创股份,2014-07-30,0.14
600009.XSHG,上海机场,2014-07-30,0.25
600066.XSHG,宇通客车,2014-07-30,0.29
002051.XSHE,中工国际,2014-07-30,0.1
600062.XSHG,华润双鹤,2014-07-30,0.12
600060.XSHG,海信电器,2014-07-30,0.15
000937.XSHE,冀中能源,2014-07-30,0.08
601988.XSHG,中国银行,2014-07-30,0.33
601989.XSHG,中国重工,2014-07-30,0.68
601555.XSHG,东吴证券,2014-07-30,0.17
600068.XSHG,葛洲坝,2014-07-30,0.17
000423.XSHE,东阿阿胶,2014-07-30,0.35
