code,display_name,date,weight
600208.XSHG,新湖中宝,2016-08-23,0.166
000917.XSHE,电广传媒,2016-08-23,0.229
000750.XSHE,国海证券,2016-08-23,0.167
000999.XSHE,华润三九,2016-08-23,0.121
600685.XSHG,中船防务,2016-08-23,0.081
600369.XSHG,西南证券,2016-08-23,0.236
002500.XSHE,山西证券,2016-08-23,0.185
002470.XSHE,金正大,2016-08-23,0.156
600446.XSHG,金证股份,2016-08-23,0.177
600674.XSHG,川投能源,2016-08-23,0.232
603993.XSHG,洛阳钼业,2016-08-23,0.182
300146.XSHE,汤臣倍健,2016-08-23,0.111
002422.XSHE,科伦药业,2016-08-23,0.155
600177.XSHG,雅戈尔,2016-08-23,0.269
000046.XSHE,泛海控股,2016-08-23,0.179
601006.XSHG,大秦铁路,2016-08-23,0.422
002424.XSHE,贵州百灵,2016-08-23,0.094
601169.XSHG,北京银行,2016-08-23,1.18
600271.XSHG,航天信息,2016-08-23,0.298
601098.XSHG,中南传媒,2016-08-23,0.157
600276.XSHG,恒瑞医药,2016-08-23,0.711
300070.XSHE,碧水源,2016-08-23,0.321
601088.XSHG,中国神华,2016-08-23,0.335
601166.XSHG,兴业银行,2016-08-23,2.381
600196.XSHG,复星医药,2016-08-23,0.286
601766.XSHG,中国中车,2016-08-23,0.956
002673.XSHE,西部证券,2016-08-23,0.394
300024.XSHE,机器人,2016-08-23,0.304
600690.XSHG,青岛海尔,2016-08-23,0.386
002129.XSHE,中环股份,2016-08-23,0.126
002230.XSHE,科大讯飞,2016-08-23,0.303
601186.XSHG,中国铁建,2016-08-23,0.356
002236.XSHE,大华股份,2016-08-23,0.249
600050.XSHG,中国联通,2016-08-23,0.417
601933.XSHG,永辉超市,2016-08-23,0.219
600804.XSHG,鹏博士,2016-08-23,0.247
002202.XSHE,金风科技,2016-08-23,0.281
002007.XSHE,华兰生物,2016-08-23,0.206
002008.XSHE,大族激光,2016-08-23,0.224
601898.XSHG,中煤能源,2016-08-23,0.117
601939.XSHG,建设银行,2016-08-23,0.449
600666.XSHG,奥瑞德,2016-08-23,0.09
002736.XSHE,国信证券,2016-08-23,0.455
600600.XSHG,青岛啤酒,2016-08-23,0.097
600606.XSHG,绿地控股,2016-08-23,0.039
000793.XSHE,华闻传媒,2016-08-23,0.229
601928.XSHG,凤凰传媒,2016-08-23,0.093
300104.XSHE,乐视网,2016-08-23,0.505
601179.XSHG,中国西电,2016-08-23,0.124
002739.XSHE,万达电影,2016-08-23,0.387
600518.XSHG,康美药业,2016-08-23,0.57
600519.XSHG,贵州茅台,2016-08-23,1.817
601998.XSHG,中信银行,2016-08-23,0.212
000858.XSHE,五粮液,2016-08-23,0.793
000729.XSHE,燕京啤酒,2016-08-23,0.121
600221.XSHG,海航控股,2016-08-23,0.231
600028.XSHG,中国石化,2016-08-23,0.582
600029.XSHG,南方航空,2016-08-23,0.344
000503.XSHE,国新健康,2016-08-23,0.37
600023.XSHG,浙能电力,2016-08-23,0.244
600021.XSHG,上海电力,2016-08-23,0.108
600188.XSHG,兖州煤业,2016-08-23,0.05
601688.XSHG,华泰证券,2016-08-23,0.711
600583.XSHG,海油工程,2016-08-23,0.188
600582.XSHG,天地科技,2016-08-23,0.086
000060.XSHE,中金岭南,2016-08-23,0.189
600037.XSHG,歌华有线,2016-08-23,0.135
000776.XSHE,广发证券,2016-08-23,0.555
000063.XSHE,中兴通讯,2016-08-23,0.397
000778.XSHE,新兴铸管,2016-08-23,0.119
600588.XSHG,用友网络,2016-08-23,0.192
000069.XSHE,华侨城A,2016-08-23,0.257
002241.XSHE,歌尔股份,2016-08-23,0.27
601669.XSHG,中国电建,2016-08-23,0.284
601668.XSHG,中国建筑,2016-08-23,0.988
601106.XSHG,中国一重,2016-08-23,0.159
300002.XSHE,神州泰岳,2016-08-23,0.134
601628.XSHG,中国人寿,2016-08-23,0.403
601016.XSHG,节能风电,2016-08-23,0.023
600642.XSHG,申能股份,2016-08-23,0.156
601985.XSHG,中国核电,2016-08-23,0.365
300058.XSHE,蓝色光标,2016-08-23,0.166
300059.XSHE,东方财富,2016-08-23,0.482
000100.XSHE,TCL集团,2016-08-23,0.296
600118.XSHG,中国卫星,2016-08-23,0.227
601718.XSHG,际华集团,2016-08-23,0.144
600115.XSHG,东方航空,2016-08-23,0.316
601216.XSHG,君正集团,2016-08-23,0.114
600111.XSHG,北方稀土,2016-08-23,0.341
600038.XSHG,中直股份,2016-08-23,0.115
300085.XSHE,银之杰,2016-08-23,0.087
600332.XSHG,白云山,2016-08-23,0.169
601899.XSHG,紫金矿业,2016-08-23,0.38
002304.XSHE,洋河股份,2016-08-23,0.498
601198.XSHG,东兴证券,2016-08-23,0.257
600031.XSHG,三一重工,2016-08-23,0.229
600030.XSHG,中信证券,2016-08-23,1.475
002142.XSHE,宁波银行,2016-08-23,0.347
002081.XSHE,金螳螂,2016-08-23,0.181
601727.XSHG,上海电气,2016-08-23,0.269
000800.XSHE,一汽轿车,2016-08-23,0.099
600036.XSHG,招商银行,2016-08-23,2.044
002146.XSHE,荣盛发展,2016-08-23,0.105
002294.XSHE,信立泰,2016-08-23,0.104
000883.XSHE,湖北能源,2016-08-23,0.106
600837.XSHG,海通证券,2016-08-23,1.426
000768.XSHE,中航飞机,2016-08-23,0.271
600839.XSHG,四川长虹,2016-08-23,0.191
601288.XSHG,农业银行,2016-08-23,1.373
000166.XSHE,申万宏源,2016-08-23,0.429
601818.XSHG,光大银行,2016-08-23,0.706
002399.XSHE,海普瑞,2016-08-23,0.074
600170.XSHG,上海建工,2016-08-23,0.138
601111.XSHG,中国国航,2016-08-23,0.244
600535.XSHG,天士力,2016-08-23,0.307
300168.XSHE,万达信息,2016-08-23,0.19
600309.XSHG,万华化学,2016-08-23,0.239
600741.XSHG,华域汽车,2016-08-23,0.237
601118.XSHG,海南橡胶,2016-08-23,0.079
000540.XSHE,中天金融,2016-08-23,0.21
002183.XSHE,怡亚通,2016-08-23,0.181
603885.XSHG,吉祥航空,2016-08-23,0.047
600022.XSHG,山东钢铁,2016-08-23,0.047
600340.XSHG,华夏幸福,2016-08-23,0.262
600109.XSHG,国金证券,2016-08-23,0.271
000977.XSHE,浪潮信息,2016-08-23,0.168
601618.XSHG,中国中冶,2016-08-23,0.214
600104.XSHG,上汽集团,2016-08-23,0.887
002065.XSHE,东华软件,2016-08-23,0.18
600820.XSHG,隧道股份,2016-08-23,0.168
000876.XSHE,新希望,2016-08-23,0.202
601328.XSHG,交通银行,2016-08-23,1.783
601608.XSHG,中信重工,2016-08-23,0.081
000402.XSHE,金融街,2016-08-23,0.18
000651.XSHE,格力电器,2016-08-23,0.985
601888.XSHG,中国国旅,2016-08-23,0.254
601333.XSHG,广深铁路,2016-08-23,0.159
601555.XSHG,东吴证券,2016-08-23,0.34
600959.XSHG,江苏有线,2016-08-23,0.096
600027.XSHG,华电国际,2016-08-23,0.146
000895.XSHE,双汇发展,2016-08-23,0.281
603000.XSHG,人民网,2016-08-23,0.126
601800.XSHG,中国交建,2016-08-23,0.191
000568.XSHE,泸州老窖,2016-08-23,0.263
002385.XSHE,大北农,2016-08-23,0.187
300017.XSHE,网宿科技,2016-08-23,0.407
000712.XSHE,锦龙股份,2016-08-23,0.099
601018.XSHG,宁波港,2016-08-23,0.223
601808.XSHG,中海油服,2016-08-23,0.083
002465.XSHE,海格通信,2016-08-23,0.216
000898.XSHE,鞍钢股份,2016-08-23,0.087
600489.XSHG,中金黄金,2016-08-23,0.283
600886.XSHG,国投电力,2016-08-23,0.277
600887.XSHG,伊利股份,2016-08-23,1.299
000002.XSHE,万科A,2016-08-23,1.54
600737.XSHG,中粮糖业,2016-08-23,0.136
000001.XSHE,平安银行,2016-08-23,0.73
300133.XSHE,华策影视,2016-08-23,0.115
600739.XSHG,辽宁成大,2016-08-23,0.22
600637.XSHG,东方明珠,2016-08-23,0.354
600485.XSHG,信威集团,2016-08-23,0.228
000009.XSHE,中国宝安,2016-08-23,0.252
600875.XSHG,东方电气,2016-08-23,0.137
000963.XSHE,华东医药,2016-08-23,0.198
300251.XSHE,光线传媒,2016-08-23,0.112
601377.XSHG,兴业证券,2016-08-23,0.417
600406.XSHG,国电南瑞,2016-08-23,0.251
600585.XSHG,海螺水泥,2016-08-23,0.366
601607.XSHG,上海医药,2016-08-23,0.272
601601.XSHG,中国太保,2016-08-23,0.973
601600.XSHG,中国铝业,2016-08-23,0.244
000061.XSHE,农产品,2016-08-23,0.118
