code,display_name,date,weight
000413.XSHE,东旭光电,2016-07-26,0.181
000415.XSHE,渤海租赁,2016-07-26,0.148
600317.XSHG,营口港,2016-07-26,0.077
601009.XSHG,南京银行,2016-07-26,0.4
600252.XSHG,中恒集团,2016-07-26,0.142
000825.XSHE,太钢不锈,2016-07-26,0.084
000826.XSHE,启迪桑德,2016-07-26,0.184
600256.XSHG,广汇能源,2016-07-26,0.151
000709.XSHE,河钢股份,2016-07-26,0.138
000559.XSHE,万向钱潮,2016-07-26,0.21
000156.XSHE,华数传媒,2016-07-26,0.094
000157.XSHE,中联重科,2016-07-26,0.213
000623.XSHE,吉林敖东,2016-07-26,0.209
600827.XSHG,百联股份,2016-07-26,0.109
002450.XSHE,ST康得新,2016-07-26,0.517
600816.XSHG,安信信托,2016-07-26,0.175
600893.XSHG,航发动力,2016-07-26,0.317
600783.XSHG,鲁信创投,2016-07-26,0.075
601872.XSHG,招商轮船,2016-07-26,0.116
600089.XSHG,特变电工,2016-07-26,0.259
600895.XSHG,张江高科,2016-07-26,0.164
601117.XSHG,中国化学,2016-07-26,0.128
600085.XSHG,同仁堂,2016-07-26,0.192
000792.XSHE,盐湖股份,2016-07-26,0.184
600005.XSHG,武钢股份,2016-07-26,0.131
300027.XSHE,华谊兄弟,2016-07-26,0.31
600000.XSHG,浦发银行,2016-07-26,1.579
600648.XSHG,外高桥,2016-07-26,0.086
600649.XSHG,城投控股,2016-07-26,0.252
001979.XSHE,招商蛇口,2016-07-26,0.396
300124.XSHE,汇川技术,2016-07-26,0.217
600415.XSHG,小商品城,2016-07-26,0.197
601633.XSHG,长城汽车,2016-07-26,0.119
600008.XSHG,首创股份,2016-07-26,0.11
600009.XSHG,上海机场,2016-07-26,0.294
300144.XSHE,宋城演艺,2016-07-26,0.17
600066.XSHG,宇通客车,2016-07-26,0.309
002568.XSHE,百润股份,2016-07-26,0.046
600060.XSHG,海信电器,2016-07-26,0.163
600061.XSHG,国投资本,2016-07-26,0.232
000425.XSHE,徐工机械,2016-07-26,0.153
601988.XSHG,中国银行,2016-07-26,0.794
601989.XSHG,中国重工,2016-07-26,0.682
000738.XSHE,航发控制,2016-07-26,0.142
600958.XSHG,东方证券,2016-07-26,0.521
600068.XSHG,葛洲坝,2016-07-26,0.189
000423.XSHE,东阿阿胶,2016-07-26,0.324
