code,display_name,date,weight
000413.XSHE,东旭光电,2015-08-14,0.144
600315.XSHG,上海家化,2015-08-14,0.21
600316.XSHG,洪都航空,2015-08-14,0.125
600317.XSHG,营口港,2015-08-14,0.106
600252.XSHG,中恒集团,2015-08-14,0.247
002570.XSHE,*ST因美,2015-08-14,0.081
000825.XSHE,太钢不锈,2015-08-14,0.115
000826.XSHE,启迪桑德,2015-08-14,0.201
600256.XSHG,广汇能源,2015-08-14,0.259
000709.XSHE,河钢股份,2015-08-14,0.301
000559.XSHE,万向钱潮,2015-08-14,0.206
000156.XSHE,华数传媒,2015-08-14,0.041
000157.XSHE,中联重科,2015-08-14,0.266
000623.XSHE,吉林敖东,2015-08-14,0.203
002375.XSHE,亚厦股份,2015-08-14,0.137
000629.XSHE,攀钢钒钛,2015-08-14,0.167
600893.XSHG,航发动力,2015-08-14,0.317
600783.XSHG,鲁信创投,2015-08-14,0.076
600089.XSHG,特变电工,2015-08-14,0.346
002415.XSHE,海康威视,2015-08-14,0.4
600085.XSHG,同仁堂,2015-08-14,0.208
000792.XSHE,盐湖股份,2015-08-14,0.133
600005.XSHG,武钢股份,2015-08-14,0.205
300027.XSHE,华谊兄弟,2015-08-14,0.348
600340.XSHG,华夏幸福,2015-08-14,0.317
600000.XSHG,浦发银行,2015-08-14,1.706
600648.XSHG,外高桥,2015-08-14,0.066
600649.XSHG,城投控股,2015-08-14,0.198
300124.XSHE,汇川技术,2015-08-14,0.209
600415.XSHG,小商品城,2015-08-14,0.316
601633.XSHG,长城汽车,2015-08-14,0.134
600008.XSHG,首创股份,2015-08-14,0.107
600009.XSHG,上海机场,2015-08-14,0.275
600066.XSHG,宇通客车,2015-08-14,0.26
002051.XSHE,中工国际,2015-08-14,0.089
600060.XSHG,海信电器,2015-08-14,0.155
000937.XSHE,冀中能源,2015-08-14,0.061
601988.XSHG,中国银行,2015-08-14,1.043
601989.XSHG,中国重工,2015-08-14,1.234
000738.XSHE,航发控制,2015-08-14,0.159
600958.XSHG,东方证券,2015-08-14,0.256
600068.XSHG,葛洲坝,2015-08-14,0.256
000423.XSHE,东阿阿胶,2015-08-14,0.245
600660.XSHG,福耀玻璃,2015-08-14,0.188
601225.XSHG,陕西煤业,2015-08-14,0.123
300251.XSHE,光线传媒,2015-08-14,0.125
000630.XSHE,铜陵有色,2015-08-14,0.131
600998.XSHG,九州通,2015-08-14,0.069
601390.XSHG,中国中铁,2015-08-14,0.743
601377.XSHG,兴业证券,2015-08-14,0.439
600718.XSHG,东软集团,2015-08-14,0.159
600023.XSHG,浙能电力,2015-08-14,0.227
601398.XSHG,工商银行,2015-08-14,1.185
601021.XSHG,春秋航空,2015-08-14,0.125
600153.XSHG,建发股份,2015-08-14,0.298
600150.XSHG,中国船舶,2015-08-14,0.274
601866.XSHG,中远海发,2015-08-14,0.231
000024.XSHE,招商地产,2015-08-14,0.331
600157.XSHG,永泰能源,2015-08-14,0.217
000027.XSHE,深圳能源,2015-08-14,0.131
600867.XSHG,通化东宝,2015-08-14,0.162
600717.XSHG,天津港,2015-08-14,0.109
600863.XSHG,内蒙华电,2015-08-14,0.164
600100.XSHG,同方股份,2015-08-14,0.341
600398.XSHG,海澜之家,2015-08-14,0.198
600795.XSHG,国电电力,2015-08-14,0.51
600011.XSHG,华能国际,2015-08-14,0.449
600010.XSHG,包钢股份,2015-08-14,0.433
600016.XSHG,民生银行,2015-08-14,2.717
600015.XSHG,华夏银行,2015-08-14,0.585
601318.XSHG,中国平安,2015-08-14,3.656
600019.XSHG,宝钢股份,2015-08-14,0.339
600018.XSHG,上港集团,2015-08-14,0.185
600549.XSHG,厦门钨业,2015-08-14,0.083
601258.XSHG,庞大集团,2015-08-14,0.145
601991.XSHG,大唐发电,2015-08-14,0.193
600369.XSHG,西南证券,2015-08-14,0.247
601992.XSHG,金隅集团,2015-08-14,0.111
000725.XSHE,京东方A,2015-08-14,0.381
600372.XSHG,中航电子,2015-08-14,0.173
600373.XSHG,中文传媒,2015-08-14,0.128
000538.XSHE,云南白药,2015-08-14,0.387
000539.XSHE,粤电力A,2015-08-14,0.078
000400.XSHE,许继电气,2015-08-14,0.117
000686.XSHE,东北证券,2015-08-14,0.181
000338.XSHE,潍柴动力,2015-08-14,0.275
002024.XSHE,苏宁易购,2015-08-14,0.618
600547.XSHG,山东黄金,2015-08-14,0.126
600873.XSHG,梅花生物,2015-08-14,0.187
601919.XSHG,中远海控,2015-08-14,0.313
002594.XSHE,比亚迪,2015-08-14,0.263
600383.XSHG,金地集团,2015-08-14,0.266
600900.XSHG,长江电力,2015-08-14,0.718
000039.XSHE,中集集团,2015-08-14,0.2
601857.XSHG,中国石油,2015-08-14,0.545
600703.XSHG,三安光电,2015-08-14,0.385
000983.XSHE,西山煤电,2015-08-14,0.102
600999.XSHG,招商证券,2015-08-14,0.502
002292.XSHE,奥飞娱乐,2015-08-14,0.194
000783.XSHE,长江证券,2015-08-14,0.381
600705.XSHG,中航资本,2015-08-14,0.419
002450.XSHE,ST康得新,2015-08-14,0.505
600570.XSHG,恒生电子,2015-08-14,0.329
002153.XSHE,石基信息,2015-08-14,0.138
002065.XSHE,东华软件,2015-08-14,0.193
601158.XSHG,重庆水务,2015-08-14,0.055
000831.XSHE,五矿稀土,2015-08-14,0.105
600578.XSHG,京能电力,2015-08-14,0.091
600663.XSHG,陆家嘴,2015-08-14,0.187
300003.XSHE,乐普医疗,2015-08-14,0.206
601099.XSHG,太平洋,2015-08-14,0.227
000839.XSHE,中信国安,2015-08-14,0.222
300015.XSHE,爱尔眼科,2015-08-14,0.129
000625.XSHE,长安汽车,2015-08-14,0.382
002475.XSHE,立讯精密,2015-08-14,0.171
600688.XSHG,上海石化,2015-08-14,0.177
002344.XSHE,海宁皮城,2015-08-14,0.094
002252.XSHE,上海莱士,2015-08-14,0.238
600352.XSHG,浙江龙盛,2015-08-14,0.284
600048.XSHG,保利地产,2015-08-14,0.599
600362.XSHG,江西铜业,2015-08-14,0.13
600208.XSHG,新湖中宝,2015-08-14,0.142
000917.XSHE,电广传媒,2015-08-14,0.491
603288.XSHG,海天味业,2015-08-14,0.087
000750.XSHE,国海证券,2015-08-14,0.19
000999.XSHE,华润三九,2015-08-14,0.12
601628.XSHG,中国人寿,2015-08-14,0.476
601928.XSHG,凤凰传媒,2015-08-14,0.11
002038.XSHE,双鹭药业,2015-08-14,0.139
002470.XSHE,金正大,2015-08-14,0.154
601009.XSHG,南京银行,2015-08-14,0.347
600674.XSHG,川投能源,2015-08-14,0.257
603993.XSHG,洛阳钼业,2015-08-14,0.135
300146.XSHE,汤臣倍健,2015-08-14,0.095
002422.XSHE,科伦药业,2015-08-14,0.146
600177.XSHG,雅戈尔,2015-08-14,0.286
000046.XSHE,泛海控股,2015-08-14,0.165
601006.XSHG,大秦铁路,2015-08-14,0.615
601168.XSHG,西部矿业,2015-08-14,0.141
601169.XSHG,北京银行,2015-08-14,0.9
600271.XSHG,航天信息,2015-08-14,0.348
601098.XSHG,中南传媒,2015-08-14,0.159
600277.XSHG,亿利洁能,2015-08-14,0.154
600276.XSHG,恒瑞医药,2015-08-14,0.533
300070.XSHE,碧水源,2015-08-14,0.257
601088.XSHG,中国神华,2015-08-14,0.34
601166.XSHG,兴业银行,2015-08-14,1.796
600809.XSHG,山西汾酒,2015-08-14,0.049
600196.XSHG,复星医药,2015-08-14,0.299
601766.XSHG,中国中车,2015-08-14,1.426
601231.XSHG,环旭电子,2015-08-14,0.033
002673.XSHE,西部证券,2015-08-14,0.276
300024.XSHE,机器人,2015-08-14,0.398
600690.XSHG,青岛海尔,2015-08-14,0.344
002129.XSHE,中环股份,2015-08-14,0.16
002230.XSHE,科大讯飞,2015-08-14,0.32
601186.XSHG,中国铁建,2015-08-14,0.575
002236.XSHE,大华股份,2015-08-14,0.24
600050.XSHG,中国联通,2015-08-14,0.531
601933.XSHG,永辉超市,2015-08-14,0.208
002001.XSHE,新和成,2015-08-14,0.089
601901.XSHG,方正证券,2015-08-14,0.362
600597.XSHG,光明乳业,2015-08-14,0.115
600497.XSHG,驰宏锌锗,2015-08-14,0.102
002007.XSHE,华兰生物,2015-08-14,0.131
002008.XSHE,大族激光,2015-08-14,0.219
601898.XSHG,中煤能源,2015-08-14,0.148
601939.XSHG,建设银行,2015-08-14,0.586
000598.XSHE,兴蓉环境,2015-08-14,0.132
002736.XSHE,国信证券,2015-08-14,0.271
600600.XSHG,青岛啤酒,2015-08-14,0.131
000793.XSHE,华闻传媒,2015-08-14,0.301
