,open,close,high,low,volume,money
IF1512,3581.0,3593.0,3615.2,3540.0,15650.0,16785667680.0
IF1601,3503.8,3512.4,3534.0,3466.0,2405.0,2523335580.0
IF1603,3371.4,3394.8,3401.0,3350.0,845.0,854908860.0
IF1606,3299.8,3282.0,3299.8,3255.6,104.0,102147000.0
