,display_name,date,weight,market_cap
600089.XSHG,特变电工,2011-01-04,0.69,390.8738
600108.XSHG,亚盛集团,2011-01-04,0.17,122.1105
600115.XSHG,东方航空,2011-01-04,0.28,766.8046
600123.XSHG,兰花科创,2011-01-04,0.29,274.633
600143.XSHG,金发科技,2011-01-04,0.24,227.0709
600151.XSHG,航天机电,2011-01-04,0.09,127.8229
600170.XSHG,上海建工,2011-01-04,0.11,153.1828
600208.XSHG,新湖中宝,2011-01-04,0.17,323.4095
600210.XSHG,紫江企业,2011-01-04,0.12,85.0548
600219.XSHG,南山铝业,2011-01-04,0.17,190.5142
600266.XSHG,北京城建,2011-01-04,0.1,117.6412
600276.XSHG,恒瑞医药,2011-01-04,0.38,430.6992
600350.XSHG,山东高速,2011-01-04,0.06,158.435
600362.XSHG,江西铜业,2011-01-04,0.68,1590.7779999999998
600380.XSHG,健康元,2011-01-04,0.11,152.2971
600432.XSHG,吉恩镍业,2011-01-04,0.16,223.6262
600497.XSHG,驰宏锌锗,2011-01-04,0.25,281.5698
600508.XSHG,上海能源,2011-01-04,0.15,208.0705
600546.XSHG,山煤国际,2011-01-04,0.14,270.525
600547.XSHG,山东黄金,2011-01-04,0.67,754.2284
600583.XSHG,海油工程,2011-01-04,0.28,316.6004
600631.XSHG,百联股份,2011-01-04,0.18,167.3561
600660.XSHG,福耀玻璃,2011-01-04,0.26,208.5109
600694.XSHG,大商股份,2011-01-04,0.26,143.9515
600717.XSHG,天津港,2011-01-04,0.13,141.0156
600739.XSHG,辽宁成大,2011-01-04,0.5,279.382
600748.XSHG,上实发展,2011-01-04,0.06,90.1365
600779.XSHG,水井坊,2011-01-04,0.14,110.2648
600804.XSHG,鹏博士,2011-01-04,0.12,116.8521
600808.XSHG,马钢股份,2011-01-04,0.15,269.5238
600811.XSHG,东方集团,2011-01-04,0.19,131.0109
600837.XSHG,海通证券,2011-01-04,0.86,810.4404
600881.XSHG,亚泰集团,2011-01-04,0.23,129.0313
600895.XSHG,张江高科,2011-01-04,0.12,139.2272
600900.XSHG,长江电力,2011-01-04,0.67,1255.65
601009.XSHG,南京银行,2011-01-04,0.37,301.3467
601101.XSHG,昊华能源,2011-01-04,0.12,218.0562
601106.XSHG,中国一重,2011-01-04,0.29,407.3174
000027.XSHE,深圳能源,2011-01-04,0.12,224.6545
000059.XSHE,辽通化工,2011-01-04,0.12,139.1387
000060.XSHE,中金岭南,2011-01-04,0.46,367.8382
000063.XSHE,中兴通讯,2011-01-04,0.68,779.7510000000002
000402.XSHE,金融街,2011-01-04,0.3,208.5658
000528.XSHE,柳工,2011-01-04,0.3,243.1604
000538.XSHE,云南白药,2011-01-04,0.3,416.5599
000568.XSHE,泸州老窖,2011-01-04,0.5,567.8737
000612.XSHE,焦作万方,2011-01-04,0.13,107.3674
000651.XSHE,格力电器,2011-01-04,0.64,512.0104
000685.XSHE,中山公用,2011-01-04,0.06,106.7994
000709.XSHE,河北钢铁,2011-01-04,0.28,262.0053
000718.XSHE,苏宁环球,2011-01-04,0.12,170.9471
000776.XSHE,广发证券,2011-01-04,0.09,1370.1005
000800.XSHE,一汽轿车,2011-01-04,0.24,268.5375
000927.XSHE,一汽夏利,2011-01-04,0.07,132.2399
000933.XSHE,神火股份,2011-01-04,0.29,269.85
000959.XSHE,首钢股份,2011-01-04,0.09,131.1205
000960.XSHE,锡业股份,2011-01-04,0.26,287.6142
000961.XSHE,中南建设,2011-01-04,0.08,146.7974
000968.XSHE,煤气化,2011-01-04,0.12,137.8383
000983.XSHE,西山煤电,2011-01-04,0.77,873.8278
002007.XSHE,华兰生物,2011-01-04,0.25,277.3274
002128.XSHE,露天煤业,2011-01-04,0.18,340.1623
002405.XSHE,四维图新,2011-01-04,0.08,218.5254
600004.XSHG,白云机场,2011-01-04,0.07,103.5
600006.XSHG,东风汽车,2011-01-04,0.07,98.4
600008.XSHG,首创股份,2011-01-04,0.13,149.6
600015.XSHG,华夏银行,2011-01-04,0.59,555.4458
600018.XSHG,上港集团,2011-01-04,0.29,806.0467
600033.XSHG,福建高速,2011-01-04,0.09,97.1518
600037.XSHG,歌华有线,2011-01-04,0.14,135.7262
600085.XSHG,同仁堂,2011-01-04,0.16,175.3622
600111.XSHG,包钢稀土,2011-01-04,0.62,583.1475
600150.XSHG,中国船舶,2011-01-04,0.24,454.6463
600153.XSHG,建发股份,2011-01-04,0.16,150.1531
600169.XSHG,太原重工,2011-01-04,0.19,177.7567
600196.XSHG,复星医药,2011-01-04,0.23,259.5687
600216.XSHG,浙江医药,2011-01-04,0.16,148.4748
600221.XSHG,海南航空,2011-01-04,0.19,367.1687
600256.XSHG,广汇股份,2011-01-04,0.56,528.8257
600271.XSHG,航天信息,2011-01-04,0.23,257.998
600316.XSHG,洪都航空,2011-01-04,0.14,199.3578
600369.XSHG,西南证券,2011-01-04,0.1,275.2227
600406.XSHG,国电南瑞,2011-01-04,0.41,383.2234
600418.XSHG,江淮汽车,2011-01-04,0.14,135.9617
600481.XSHG,双良节能,2011-01-04,0.12,137.9582
600519.XSHG,贵州茅台,2011-01-04,1.24,1750.749
600528.XSHG,中铁二局,2011-01-04,0.12,137.7485
600535.XSHG,天士力,2011-01-04,0.19,211.7327
600550.XSHG,天威保变,2011-01-04,0.24,270.7424
600657.XSHG,信达地产,2011-01-04,0.05,95.4187
600718.XSHG,东软集团,2011-01-04,0.1,197.0289
600795.XSHG,国电电力,2011-01-04,0.5,469.5344
600809.XSHG,山西汾酒,2011-01-04,0.15,286.7257
600893.XSHG,航空动力,2011-01-04,0.09,172.3705
600970.XSHG,中材国际,2011-01-04,0.23,320.6246
601001.XSHG,大同煤业,2011-01-04,0.25,359.3434
601166.XSHG,兴业银行,2011-01-04,1.84,1479.5361
601328.XSHG,交通银行,2011-01-04,2.04,3116.7842
601600.XSHG,中国铝业,2011-01-04,0.35,1405.1943
601601.XSHG,中国太保,2011-01-04,1.3,2003.8
601607.XSHG,上海医药,2011-01-04,0.31,433.3999
601666.XSHG,平煤股份,2011-01-04,0.35,393.9513
601727.XSHG,上海电气,2011-01-04,0.3,1105.3966
601898.XSHG,中煤能源,2011-01-04,0.36,1467.734
601919.XSHG,中国远洋,2011-01-04,0.39,980.7623
601958.XSHG,金钼股份,2011-01-04,0.44,827.3014
601989.XSHG,中国重工,2011-01-04,0.44,824.7239999999998
601998.XSHG,中信银行,2011-01-04,0.22,2072.6707
601107.XSHG,四川成渝,2011-01-04,0.08,206.419
601111.XSHG,中国国航,2011-01-04,0.41,1785.5356
601168.XSHG,西部矿业,2011-01-04,0.57,462.7786
601186.XSHG,中国铁建,2011-01-04,0.38,850.0566
601618.XSHG,中国中冶,2011-01-04,0.34,756.7560000000002
601688.XSHG,华泰证券,2011-01-04,0.28,782.88
601766.XSHG,中国南车,2011-01-04,0.58,981.536
601857.XSHG,中国石油,2011-01-04,0.76,20846.0898
601866.XSHG,中海集运,2011-01-04,0.19,531.5822
601668.XSHG,中国建筑,2011-01-04,0.75,1056.0
601788.XSHG,光大证券,2011-01-04,0.37,522.2704
601808.XSHG,中海油服,2011-01-04,0.27,1158.444
601818.XSHG,光大银行,2011-01-04,0.18,1645.696
601877.XSHG,正泰电器,2011-01-04,0.09,243.009
601888.XSHG,中国国旅,2011-01-04,0.15,272.624
601899.XSHG,紫金矿业,2011-01-04,0.78,1214.1993
601918.XSHG,国投新集,2011-01-04,0.14,264.7904
601988.XSHG,中国银行,2011-01-04,0.4,9100.1992
