,open,close,high,low,volume,money
2011-01-04,,,,,,
2011-01-05,,,,,,
2011-01-06,,,,,,
2011-01-07,,,,,,
2011-01-10,,,,,,
2011-01-11,,,,,,
2011-01-12,,,,,,
2011-01-13,,,,,,
2011-01-14,,,,,,
2011-01-17,,,,,,
2011-01-18,,,,,,
2011-01-19,,,,,,
2011-01-20,,,,,,
2011-01-21,,,,,,
2011-01-24,,,,,,
2011-01-25,,,,,,
2011-01-26,,,,,,
2011-01-27,,,,,,
2011-01-28,,,,,,
2011-01-31,,,,,,
2011-02-01,,,,,,
2011-02-09,,,,,,
2011-02-10,,,,,,
2011-02-11,,,,,,
2011-02-14,,,,,,
2011-02-15,,,,,,
2011-02-16,,,,,,
2011-02-17,,,,,,
2011-02-18,,,,,,
2011-02-21,,,,,,
2011-02-22,,,,,,
2011-02-23,,,,,,
2011-02-24,,,,,,
2011-02-25,,,,,,
2011-02-28,,,,,,
2011-03-01,,,,,,
2011-03-02,,,,,,
2011-03-03,,,,,,
2011-03-04,,,,,,
2011-03-07,,,,,,
2011-03-08,,,,,,
2011-03-09,,,,,,
2011-03-10,,,,,,
2011-03-11,,,,,,
2011-03-14,,,,,,
2011-03-15,,,,,,
2011-03-16,,,,,,
2011-03-17,,,,,,
2011-03-18,,,,,,
2011-03-21,,,,,,
2011-03-22,,,,,,
2011-03-23,,,,,,
2011-03-24,,,,,,
2011-03-25,,,,,,
2011-03-28,,,,,,
2011-03-29,,,,,,
2011-03-30,,,,,,
2011-03-31,,,,,,
2011-04-01,,,,,,
2011-04-06,,,,,,
2011-04-07,,,,,,
2011-04-08,,,,,,
2011-04-11,,,,,,
2011-04-12,,,,,,
2011-04-13,,,,,,
2011-04-14,,,,,,
2011-04-15,,,,,,
2011-04-18,3453.6,3456.4,3476.8,3443.2,167.0,173404620.0
2011-04-19,3451.6,3415.2,3451.6,3406.6,141.0,144767520.0
2011-04-20,3423.0,3411.8,3429.0,3400.8,46.0,47121060.0
2011-04-21,3430.2,3425.4,3444.6,3415.8,42.0,43221480.0
2011-04-22,3437.4,3414.8,3437.4,3406.6,44.0,45122640.0
2011-04-25,3414.8,3365.0,3414.8,3362.2,90.0,91188000.0
2011-04-26,3358.0,3354.0,3369.4,3330.2,78.0,78408120.0
2011-04-27,3358.4,3336.8,3375.8,3312.6,83.0,83276940.0
2011-04-28,3336.8,3304.4,3354.8,3295.6,103.0,102796680.0
2011-04-29,3291.8,3313.0,3320.2,3280.8,82.0,81454800.0
2011-05-03,3315.0,3321.4,3325.8,3290.0,64.0,63558660.0
2011-05-04,3339.0,3244.0,3339.0,3240.0,97.0,95268240.0
2011-05-05,3239.4,3232.0,3246.4,3231.0,61.0,59273100.0
2011-05-06,3221.0,3236.6,3241.6,3200.8,95.0,91750500.0
2011-05-09,3244.8,3244.8,3253.0,3224.2,64.0,62220120.0
2011-05-10,3239.4,3257.0,3261.4,3232.6,57.0,55598400.0
2011-05-11,3259.0,3244.8,3262.0,3236.0,77.0,75096720.0
2011-05-12,3223.4,3196.0,3239.6,3196.0,91.0,87895800.0
2011-05-13,3214.4,3226.0,3234.0,3194.8,85.0,81932460.0
2011-05-16,3216.8,3202.4,3230.8,3194.4,46.0,44338740.0
2011-05-17,3191.8,3216.0,3230.8,3176.2,106.0,102064260.0
2011-05-18,3213.4,3235.0,3244.8,3213.4,68.0,65929800.0
2011-05-19,3239.0,3218.6,3246.0,3218.6,55.0,53391060.0
2011-05-20,3217.0,3206.8,3226.0,3206.8,59.0,56958360.0
2011-05-23,3204.2,3115.4,3204.2,3112.8,136.0,128495820.0
2011-05-24,3115.0,3114.0,3124.0,3105.8,89.0,83172600.0
2011-05-25,3114.0,3095.4,3121.0,3078.0,95.0,88265400.0
2011-05-26,3107.6,3073.0,3110.2,3071.8,52.0,48254640.0
2011-05-27,3080.0,3064.6,3094.8,2770.0,207.0,189150780.0
2011-05-30,3060.2,3060.0,3073.8,3045.0,124.0,113881320.0
2011-05-31,3058.2,3082.6,3090.2,3053.4,82.0,75552240.0
2011-06-01,3085.6,3087.0,3091.2,3078.0,78.0,72175980.0
2011-06-02,3063.8,3045.0,3073.0,3013.8,244.0,222791340.0
2011-06-03,3048.6,3066.0,3078.4,3046.6,115.0,105661620.0
2011-06-07,3060.0,3081.6,3084.0,3055.4,160.0,147621120.0
2011-06-08,3076.6,3087.0,3094.8,3044.8,83.0,76438260.0
2011-06-09,3089.4,3044.0,3091.4,3040.0,101.0,92819580.0
2011-06-10,3043.0,3021.2,3053.0,3021.0,123.0,112160580.0
2011-06-13,3023.4,3041.0,3042.0,3008.2,143.0,129709320.0
2011-06-14,3035.0,3065.2,3079.2,3034.0,123.0,112955280.0
2011-06-15,3068.0,3038.0,3075.6,3036.0,279.0,255779460.0
2011-06-16,3038.0,2998.8,3038.0,2998.8,210.0,189713400.0
2011-06-17,3002.8,2961.2,3011.0,2960.4,200.0,179532120.0
2011-06-20,2968.0,2955.0,2968.0,2936.0,165.0,146410680.0
2011-06-21,2959.2,2971.8,2974.4,2951.2,121.0,107637480.0
2011-06-22,2975.8,2969.2,2988.0,2960.6,204.0,181968240.0
2011-06-23,2964.4,3033.4,3042.8,2957.0,314.0,282991140.0
2011-06-24,3034.0,3109.6,3127.4,3026.0,342.0,316535760.0
2011-06-27,3101.0,3105.0,3122.0,3092.0,156.0,145349940.0
2011-06-28,3115.6,3108.0,3119.2,3091.0,135.0,125726400.0
2011-06-29,3111.8,3092.8,3118.8,3083.0,200.0,185995260.0
2011-06-30,3088.0,3110.0,3152.4,3088.0,189.0,177064980.0
2011-07-01,3113.2,3130.4,3145.6,3105.2,208.0,194988840.0
2011-07-04,3131.0,3193.2,3200.0,3131.0,192.0,183028500.0
2011-07-05,3193.2,3187.0,3198.0,3182.0,111.0,106209420.0
2011-07-06,3195.0,3183.4,3195.0,3162.4,180.0,171496440.0
2011-07-07,3185.0,3181.6,3211.0,3170.4,320.0,306308640.0
2011-07-08,3188.0,3183.6,3201.6,3171.0,126.0,120350940.0
2011-07-11,3174.0,3165.0,3179.8,3159.4,283.0,269121660.0
2011-07-12,3147.4,3115.2,3148.8,3115.2,231.0,217010580.0
2011-07-13,3115.2,3163.2,3169.0,3115.2,270.0,254992020.0
2011-07-14,3162.8,3171.4,3178.0,3150.2,150.0,142547880.0
2011-07-15,3164.2,3192.2,3194.0,3159.0,377.0,360170040.0
2011-07-18,3201.8,3180.0,3211.0,3180.0,290.0,277600680.0
2011-07-19,3173.2,3173.0,3174.6,3156.2,177.0,168110700.0
2011-07-20,3183.0,3151.4,3183.0,3138.0,169.0,159902580.0
2011-07-21,3133.0,3129.0,3167.0,3126.0,236.0,222541260.0
2011-07-22,3139.6,3133.0,3150.0,3130.4,207.0,194857680.0
2011-07-25,3133.0,3033.0,3133.0,3017.0,420.0,387324780.0
2011-07-26,3039.8,3040.0,3042.0,3028.6,146.0,132949380.0
2011-07-27,3032.8,3052.6,3059.8,3013.8,223.0,203461980.0
2011-07-28,3031.8,3040.2,3042.8,3022.0,404.0,367300080.0
2011-07-29,3040.2,3016.2,3050.2,3012.0,530.0,482366040.0
2011-08-01,3029.6,3033.8,3040.8,3018.6,205.0,186502200.0
2011-08-02,3019.6,3016.4,3019.6,2980.0,674.0,605625300.0
2011-08-03,2986.6,3009.4,3024.8,2986.6,312.0,281482860.0
2011-08-04,3023.8,3018.0,3034.6,3010.0,375.0,340230720.0
2011-08-05,2988.8,2951.6,2988.8,2934.2,675.0,598448520.0
2011-08-08,2904.0,2848.0,2951.0,2812.6,1156.0,995557140.0
2011-08-09,2763.8,2865.0,2865.0,2757.0,1249.0,1054384500.0
2011-08-10,2887.8,2857.0,2895.2,2853.8,889.0,766853220.0
2011-08-11,2805.0,2934.6,2934.6,2805.0,1421.0,1233101820.0
2011-08-12,2936.0,2905.2,2940.0,2905.2,773.0,677679420.0
2011-08-15,2919.6,2935.2,2942.2,2904.6,916.0,804647220.0
2011-08-16,2940.6,2912.8,2946.0,2908.8,686.0,602477760.0
2011-08-17,2912.8,2921.6,2943.2,2912.8,901.0,791544180.0
2011-08-18,2912.0,2876.0,2923.0,2865.0,835.0,726218880.0
