,open,close,high,low,volume,money
IF1706,3485.8,3480.6,3500.0,3470.2,13469.0,14070619800.0
IF1707,3452.0,3449.6,3470.0,3440.0,1143.0,1184060580.0
IF1709,3410.8,3418.6,3433.4,3406.0,1128.0,1156090740.0
IF1712,3379.0,3388.0,3400.8,3378.2,207.0,210441900.0
