,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
300251,15753,300020527,北京光线传媒股份有限公司,300251.XSHE,2017-12-31,年度分红,2018-04-21,10派2元(含税),293360.8432,2018-05-15,10派2元(含税),293360.8432,2018-05-18,10派2元(含税),293360.8432,2.0,2.0,58672.1686,2018-05-24,2018-05-25,2018-05-25,293360.8432,313002,实施方案
600373,34496,420600373,中文天地出版传媒股份有限公司,600373.XSHG,2017-12-31,年度分红,2018-03-28,10派4元(含税),137794.0025,2018-04-24,10派4元(含税),137794.0025,2018-05-18,10派4元(含税),137794.0025,4.0,4.0,55117.600999999995,2018-05-24,2018-05-25,2018-05-25,137794.0025,313002,实施方案
600516,37786,420600516,方大炭素新材料科技股份有限公司,600516.XSHG,2017-12-31,年度分红,2018-02-13,10派19元(含税),178879.4378,2018-03-31,10派19元(含税),178879.4378,2018-05-18,10派19元(含税),178879.4378,19.0,19.0,339870.9318,2018-05-24,2018-05-25,2018-05-25,178879.4378,313002,实施方案
600547,38613,420600547,山东黄金矿业股份有限公司,600547.XSHG,2017-12-31,年度分红,2018-03-07,10派0.4元(含税),185711.8809,2018-03-29,10派0.4元(含税),185711.8809,2018-05-18,10派0.4元(含税),185711.8809,0.4,0.4,7428.4752,2018-05-24,2018-05-25,2018-05-25,185711.8809,313002,实施方案
600867,43888,420600867,通化东宝药业股份有限公司,600867.XSHG,2017-12-31,年度分红,2018-04-18,10送2股派2元(含税),171129.6471,2018-05-12,10送2股派2元(含税),171129.6471,2018-05-21,10送2股派2元(含税),171129.6471,2.0,2.0,34225.9294,2018-05-24,2018-05-25,2018-05-25,171129.6471,313002,实施方案
601288,44827,450000020,中国农业银行股份有限公司,601288.XSHG,2017-12-31,年度分红,2018-03-27,10派1.783元(含税),32479411.7,2018-05-12,10派1.783元(含税),32479411.7,2018-05-19,10派1.783元(含税),32479411.7,1.7830000000000001,1.7830000000000001,5791079.1061,2018-05-24,2018-05-25,2018-05-25,32479411.7,313002,实施方案
