,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000728,154845,430000728,国元证券股份有限公司,000728.XSHE,2010-12-31,年度分红,2011-03-22,10派3元(含税),196410.0,2011-04-12,10派3元(含税),196410.0,2011-04-22,10派3元(含税),196410.0,3.0,58923.0,2011-04-28,2011-04-29,2011-04-29,196410.0,313002,实施方案
000969,161418,430000969,安泰科技股份有限公司,000969.XSHE,2010-12-31,年度分红,2011-03-05,10派1.2元(含税),85487.3748,2011-03-29,10派1.2元(含税),85487.3748,2011-04-25,10派1.2元(含税),85487.3748,1.2,10258.485,2011-04-28,2011-04-29,2011-04-29,85487.3748,313002,实施方案
002244,5122,300004730,杭州滨江房产集团股份有限公司,002244.XSHE,2010-12-31,年度分红,2011-03-16,10派0.7元(含税),135200.0,2011-04-07,10派0.7元(含税),135200.0,2011-04-22,10派0.7元(含税),135200.0,0.7,9464.0,2011-04-28,2011-04-29,2011-04-29,135200.0,313002,实施方案
002399,9990,300012288,深圳市海普瑞药业集团股份有限公司,002399.XSHE,2010-12-31,年度分红,2011-03-28,10转增10股派20元(含税),40010.0,2011-04-19,10转增10股派20元(含税),40010.0,2011-04-21,10转增10股派20元(含税),40010.0,20.0,80020.0,2011-04-28,2011-04-29,2011-04-29,40010.0,313002,实施方案
002422,10525,300012788,四川科伦药业股份有限公司,002422.XSHE,2010-12-31,年度分红,2011-03-07,10转增10股派5元(含税),24000.0,2011-03-29,10转增10股派5元(含税),24000.0,2011-04-21,10转增10股派5元(含税),24000.0,5.0,12000.0,2011-04-28,2011-04-29,2011-04-29,24000.0,313002,实施方案
002456,11483,300013691,欧菲科技股份有限公司,002456.XSHE,2010-12-31,年度分红,2011-03-10,10转增10股派1.6元(含税),9600.0,2011-04-01,10转增10股派1.6元(含税),9600.0,2011-04-25,10转增10股派1.6元(含税),9600.0,1.6,1536.0,2011-04-28,2011-04-29,2011-04-29,9600.0,313002,实施方案
300033,6864,300008416,浙江核新同花顺网络信息股份有限公司,300033.XSHE,2010-12-31,年度分红,2011-03-22,10派2.1元(含税),13440.0,2011-04-12,10派2.1元(含税),13440.0,2011-04-22,10派2.1元(含税),13440.0,2.1,2822.4,2011-04-28,2011-04-29,2011-04-29,13440.0,313002,实施方案
300136,12091,300014767,深圳市信维通信股份有限公司,300136.XSHE,2010-12-31,年度分红,2011-03-29,10转增10股派3元(含税),6667.0,2011-04-19,10转增10股派3元(含税),6667.0,2011-04-22,10转增10股派3元(含税),6667.0,3.0,2000.1,2011-04-28,2011-04-29,2011-04-29,6667.0,313002,实施方案
600276,31571,420600276,江苏恒瑞医药股份有限公司,600276.XSHG,2010-12-31,年度分红,2011-03-02,10送3转增2股派1元(含税),74943.3164,2011-03-26,10送3转增2股派1元(含税),74943.3164,2011-04-19,10送3转增2股派1元(含税),74943.3164,1.0,7494.3316,2011-04-25,2011-04-26,2011-04-29,74943.3164,313002,实施方案
600522,37967,420600522,江苏中天科技股份有限公司,600522.XSHG,2010-12-31,年度分红,2011-03-18,10派1元(含税),32080.3,2011-04-09,10派1元(含税),32080.3,2011-04-20,10派1元(含税),32080.3,1.0,3208.03,2011-04-25,2011-04-26,2011-04-29,32080.3,313002,实施方案
