,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000671,152902,430000671,阳光城集团股份有限公司,000671.XSHE,2013-12-31,年度分红,2014-04-03,10派0.6元(含税),104403.2035,2014-04-24,10派0.6元(含税),104403.2035,2014-06-11,10派0.6元(含税),104403.2035,0.6,0.57,6264.1922,2014-06-17,2014-06-18,2014-06-18,104403.2035,313002,实施方案
000969,161424,430000969,安泰科技股份有限公司,000969.XSHE,2013-12-31,年度分红,2014-03-25,10派0.2元(含税),86279.6348,2014-05-16,10派0.2元(含税),86279.6348,2014-06-11,10派0.2元(含税),86279.6348,0.2,0.19,1725.5927,2014-06-17,2014-06-18,2014-06-18,86279.6348,313002,实施方案
002106,1520,300001921,深圳莱宝高科技股份有限公司,002106.XSHE,2013-12-31,年度分红,2014-03-27,10派1元(含税),70581.616,2014-04-25,10派1元(含税),70581.616,2014-06-11,10派1元(含税),70581.616,1.0,0.95,7058.1616,2014-06-17,2014-06-18,2014-06-18,70581.616,313002,实施方案
002304,6996,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2013-12-31,年度分红,2014-04-23,10派20元(含税),108000.0,2014-05-21,10派20元(含税),108000.0,2014-06-12,10派20.066510元(含税),107642.0,20.0665,19.0632,215999.9269,2014-06-17,2014-06-18,2014-06-18,107642.0,313002,实施方案
600160,27713,420600160,浙江巨化股份有限公司,600160.XSHG,2013-12-31,年度分红,2014-04-19,10派2元(含税),181091.5951,2014-05-10,10派2元(含税),181091.5951,2014-06-11,10派2元(含税),181091.5951,2.0,1.9,36218.318999999996,2014-06-17,2014-06-18,2014-06-18,181091.5951,313002,实施方案
600300,32353,420600300,维维食品饮料股份有限公司,600300.XSHG,2013-12-31,年度分红,2014-03-29,10派0.5元(含税),167200.0,2014-04-25,10派0.5元(含税),167200.0,2014-06-12,10派0.5元(含税),167200.0,0.5,0.475,8360.0,2014-06-17,2014-06-18,2014-06-18,167200.0,313002,实施方案
600352,33829,420600352,浙江龙盛集团股份有限公司,600352.XSHG,2013-12-31,年度分红,2014-04-05,10派2.7元(含税),152786.593,2014-04-29,10派2.7元(含税),152786.593,2014-06-11,10派2.7元(含税),152786.593,2.7,2.565,41252.3801,2014-06-17,2014-06-18,2014-06-18,152786.593,313002,实施方案
600456,36284,420600456,宝鸡钛业股份有限公司,600456.XSHG,2013-12-31,年度分红,2014-03-28,10派0.5元(含税),43026.57,2014-04-26,10派0.5元(含税),43026.57,2014-06-12,10派0.5元(含税),43026.57,0.5,0.475,2151.3285,2014-06-17,2014-06-18,2014-06-18,43026.57,313002,实施方案
600546,38574,420600546,山煤国际能源集团股份有限公司,600546.XSHG,2013-12-31,年度分红,2014-04-26,10派0.5元(含税),198245.61399999997,2014-05-31,10派0.5元(含税),198245.61399999997,2014-06-12,10派0.5元(含税),198245.61399999997,0.5,0.475,9912.2807,2014-06-17,2014-06-18,2014-06-18,198245.61399999997,313002,实施方案
600585,39720,420600585,安徽海螺水泥股份有限公司,600585.XSHG,2013-12-31,年度分红,2014-03-25,10派3.5元(含税),529930.2579,2014-05-29,10派3.5元(含税),529930.2579,2014-06-11,10派3.5元(含税),529930.2579,3.5,3.325,185475.5903,2014-06-17,2014-06-18,2014-06-18,529930.2579,313002,实施方案
600596,40055,420600596,浙江新安化工集团股份有限公司,600596.XSHG,2013-12-31,年度分红,2014-04-22,10派2.2元(含税),67918.4633,2014-05-21,10派2.2元(含税),67918.4633,2014-06-11,10派2.2元(含税),67918.4633,2.2,2.09,14942.0619,2014-06-17,2014-06-18,2014-06-18,67918.4633,313002,实施方案
600690,132780,420600690,青岛海尔股份有限公司,600690.XSHG,2013-12-31,年度分红,2014-04-29,10派4.6元(含税),272083.594,2014-05-21,10派4.6元(含税),272083.594,2014-06-12,10派4.6元(含税),272083.594,4.6,4.37,125158.4532,2014-06-17,2014-06-18,2014-06-18,272083.594,313002,实施方案
