,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002242,5177,300004732,九阳股份有限公司,002242.XSHE,2017-12-31,年度分红,2018-04-21,10派7元(含税),2018-05-16,10派7元(含税),2018-05-21,10派7元(含税),76251.104,7.0,7.0,53375.7728,2018-05-25,2018-05-28,2018-05-28,76251.104,313002,实施方案
600183,28524,420600183,广东生益科技股份有限公司,600183.XSHG,2017-12-31,年度分红,2018-03-28,10转增4.5股派4.5元(含税),2018-04-19,10转增4.5股派4.5元(含税),2018-05-21,10转增4.5股派4.5元(含税),146002.0631,4.5,4.5,65700.9284,2018-05-25,2018-05-28,2018-05-28,146002.0631,313002,实施方案
601633,22562,410002333,长城汽车股份有限公司,601633.XSHG,2017-12-31,年度分红,2018-03-24,10派1.7元(含税),2018-05-15,10派1.7元(含税),2018-05-22,10派1.7元(含税),912726.9,1.7,1.7,155163.573,2018-05-25,2018-05-28,2018-05-28,912726.9,313002,实施方案
