,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000001,88825,430000001,平安银行股份有限公司,000001.XSHE,2016-12-31,年度分红,2017-03-17,10派1.58元(含税),2017-06-30,10派1.58元(含税),2017-07-17,10派1.58元(含税),1717041.1366,1.58,1.58,271292.4996,2017-07-20,2017-07-21,2017-07-21,1717041.1366,313002,实施方案
000338,2473,300002961,潍柴动力股份有限公司,000338.XSHE,2016-12-31,年度分红,2017-03-30,10送10股派2.5元(含税),2017-06-09,10送10股派2.5元(含税),2017-07-14,10送10股派2.5元(含税),399861.9278,2.5,2.5,99965.48199999999,2017-07-20,2017-07-21,2017-07-21,399861.9278,313002,实施方案
600266,31265,420600266,北京城建投资发展股份有限公司,600266.XSHG,2016-12-31,年度分红,2017-03-31,10派2.8元(含税),2017-05-24,10派2.8元(含税),2017-07-14,10派2.8元(含税),156704.0,2.8,2.8,43877.12,2017-07-20,2017-07-21,2017-07-21,156704.0,313002,实施方案
600395,35142,420600395,贵州盘江精煤股份有限公司,600395.XSHG,2016-12-31,年度分红,2017-04-22,10派2.4元(含税),2017-05-27,10派2.4元(含税),2017-07-14,10派2.4元(含税),165505.1861,2.4,2.4,39721.2447,2017-07-20,2017-07-21,2017-07-21,165505.1861,313002,实施方案
600498,37263,420600498,烽火通信科技股份有限公司,600498.XSHG,2016-12-31,年度分红,2017-04-08,10派3.4元(含税),2017-05-27,10派3.4元(含税),2017-07-13,10派3.4元(含税),104627.2966,3.4,3.4,35573.2808,2017-07-20,2017-07-21,2017-07-21,104627.2966,313002,实施方案
600642,130791,420600642,申能股份有限公司,600642.XSHG,2016-12-31,年度分红,2017-04-29,10派2.2元(含税),2017-05-24,10派2.2元(含税),2017-07-13,10派2.2元(含税),455203.8316,2.2,2.2,100144.84300000001,2017-07-20,2017-07-21,2017-07-21,455203.8316,313002,实施方案
600705,133411,420600705,中航资本控股股份有限公司,600705.XSHG,2016-12-31,年度分红,2017-03-07,10派0.67元(含税),2017-05-27,10派0.67元(含税),2017-07-13,10派0.67元(含税),897632.5766,0.67,0.67,60141.3826,2017-07-20,2017-07-21,2017-07-21,897632.5766,313002,实施方案
600839,138854,420600839,四川长虹电器股份有限公司,600839.XSHG,2016-12-31,年度分红,2017-04-28,10派0.4元(含税),2017-06-29,10派0.4元(含税),2017-07-15,10派0.4元(含税),461624.4222,0.4,0.4,18464.9769,2017-07-20,2017-07-21,2017-07-21,461624.4222,313002,实施方案
600863,139835,420600863,内蒙古蒙电华能热电股份有限公司,600863.XSHG,2016-12-31,年度分红,2017-04-26,10派0.23元(含税),2017-06-29,10派0.23元(含税),2017-07-17,10派0.23元(含税),580774.5,0.23,0.23,13357.8135,2017-07-20,2017-07-21,2017-07-21,580774.5,313002,实施方案
600999,164389,460000118,招商证券股份有限公司,600999.XSHG,2016-12-31,年度分红,2017-03-29,10派1.89元(含税),2017-05-27,10派1.89元(含税),2017-07-14,10派1.89元(含税),571900.8149,1.89,1.89,108089.254,2017-07-20,2017-07-21,2017-07-21,571900.8149,313002,实施方案
