,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000063,144873,430000063,中兴通讯股份有限公司,000063.XSHE,2014-12-31,年度分红,2015-03-26,10转增2股派2元(含税),343754.1278,2015-05-29,10转增2股派2元(含税),343754.1278,2015-07-11,10转增2股派2元(含税),343754.1278,2.0,1.9,68750.8256,2015-07-16,2015-07-17,2015-07-17,343754.1278,313002,实施方案
000876,158704,430000876,新希望六和股份有限公司,000876.XSHE,2014-12-31,年度分红,2015-04-30,10派2.5元(含税),208411.7292,2015-05-22,10派2.5元(含税),208411.7292,2015-07-10,10派2.5元(含税),208411.7292,2.5,2.375,52102.9323,2015-07-16,2015-07-17,2015-07-17,208411.7292,313002,实施方案
002174,3360,300003663,游族网络股份有限公司,002174.XSHE,2014-12-31,年度分红,2015-03-31,10派1.51元(含税),27570.9972,2015-05-20,10派1.51元(含税),27570.9972,2015-07-11,10派1.51元(含税),27570.9972,1.51,1.4345,4163.2206,2015-07-16,2015-07-17,2015-07-17,27570.9972,313002,实施方案
600033,23432,420600033,福建发展高速公路股份有限公司,600033.XSHG,2014-12-31,年度分红,2015-04-11,10派1元(含税),274440.0,2015-06-19,10派1元(含税),274440.0,2015-07-10,10派1元(含税),274440.0,1.0,0.95,27444.0,2015-07-16,2015-07-17,2015-07-17,274440.0,313002,实施方案
600100,25627,420600100,同方股份有限公司,600100.XSHG,2014-12-31,年度分红,2015-04-28,10派0.8元(含税),296389.8951,2015-05-22,10派0.8元(含税),296389.8951,2015-07-09,10派0.8元(含税),296389.8951,0.8,0.76,23711.1916,2015-07-16,2015-07-17,2015-07-17,296389.8951,313002,实施方案
600362,34149,420600362,江西铜业股份有限公司,600362.XSHG,2014-12-31,年度分红,2015-03-26,10派2元(含税),346272.9405,2015-06-10,10派2元(含税),346272.9405,2015-07-10,10派2元(含税),346272.9405,2.0,1.9,69254.5881,2015-07-16,2015-07-17,2015-07-17,346272.9405,313002,实施方案
600403,35369,420600403,河南大有能源股份有限公司,600403.XSHG,2014-12-31,年度分红,2015-04-15,10派0.15元(含税),239081.2402,2015-05-21,10派0.15元(含税),239081.2402,2015-07-13,10派0.15元(含税),239081.2402,0.15,0.1425,3586.2186,2015-07-16,2015-07-17,2015-07-17,239081.2402,313002,实施方案
600485,36924,420600485,北京信威科技集团股份有限公司,600485.XSHG,2014-12-31,年度分红,2015-04-30,10派0.06元(含税),292374.2782,2015-05-23,10派0.06元(含税),292374.2782,2015-07-09,10派0.06元(含税),292374.2782,0.06,0.057,1754.2457,2015-07-16,2015-07-17,2015-07-17,292374.2782,313002,实施方案
600519,37879,420600519,贵州茅台酒股份有限公司,600519.XSHG,2014-12-31,年度分红,2015-04-21,10送1股派43.74元(含税),114199.8,2015-05-21,10送1股派43.74元(含税),114199.8,2015-07-10,10送1股派43.74元(含税),114199.8,43.74,41.503,499509.9252,2015-07-16,2015-07-17,2015-07-17,114199.8,313002,实施方案
601117,7972,300009949,中国化学工程股份有限公司,601117.XSHG,2014-12-31,年度分红,2015-04-17,10派1.05元(含税),493300.0,2015-06-13,10派1.05元(含税),493300.0,2015-07-11,10派1.05元(含税),493300.0,1.05,0.9975,51796.5,2015-07-16,2015-07-17,2015-07-17,493300.0,313002,实施方案
601169,3339,300003642,北京银行股份有限公司,601169.XSHG,2014-12-31,年度分红,2015-04-28,10送2股派2.5元(含税),1056019.1447,2015-05-21,10送2股派2.5元(含税),1056019.1447,2015-07-10,10送2股派2.5元(含税),1056019.1447,2.5,2.275,264004.7862,2015-07-16,2015-07-17,2015-07-17,1056019.1447,313002,实施方案
601601,4267,300004003,中国太平洋保险(集团)股份有限公司,601601.XSHG,2014-12-31,年度分红,2015-03-30,10派5元(含税),906200.0,2015-05-23,10派5元(含税),906200.0,2015-07-10,10派5元(含税),906200.0,5.0,4.75,453100.0,2015-07-16,2015-07-17,2015-07-17,906200.0,313002,实施方案
