,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002049,163669,430002049,紫光国芯微电子股份有限公司,002049.XSHE,2015-12-31,年度分红,2016-04-12,10派0.56元(含税),60681.7968,2016-05-13,10派0.56元(含税),60681.7968,2016-06-16,10派0.56元(含税),60681.7968,0.56,0.56,3398.1806,2016-06-22,2016-06-23,2016-06-23,60681.7968,313002,实施方案
300003,6449,300008269,乐普(北京)医疗器械股份有限公司,300003.XSHE,2015-12-31,年度分红,2016-03-31,10转增10股派1.6元(含税),87178.5147,2016-04-26,10转增10股派1.6元(含税),87178.5147,2016-06-16,10转增10股派1.6元(含税),87178.5147,1.6,1.6,13948.5624,2016-06-22,2016-06-23,2016-06-23,87178.5147,313002,实施方案
600000,22645,420600000,上海浦东发展银行股份有限公司,600000.XSHG,2015-12-31,年度分红,2016-04-07,10转增1股派5.15元(含税),1965298.1747,2016-04-29,10转增1股派5.15元(含税),1965298.1747,2016-06-16,10转增1股派5.15元(含税),1965298.1747,5.15,5.15,1012128.56,2016-06-22,2016-06-23,2016-06-23,1965298.1747,313002,实施方案
600023,21387,300027828,浙江浙能电力股份有限公司,600023.XSHG,2015-12-31,年度分红,2016-04-09,10派2.7元(含税),1360068.9988,2016-05-06,10派2.7元(含税),1360068.9988,2016-06-16,10派2.7元(含税,1360068.9988,2.7,2.7,367218.6297,2016-06-22,2016-06-23,2016-06-23,1360068.9988,313002,实施方案
600125,26579,420600125,中铁铁龙集装箱物流股份有限公司,600125.XSHG,2015-12-31,年度分红,2016-03-25,10派0.7元(含税),130552.1874,2016-04-27,10派0.7元(含税),130552.1874,2016-06-16,10派0.7元(含税),130552.1874,0.7,0.7,9138.6531,2016-06-22,2016-06-23,2016-06-23,130552.1874,313002,实施方案
600196,28982,420600196,上海复星医药(集团)股份有限公司,600196.XSHG,2015-12-31,年度分红,2016-03-30,10派3.2元(含税),231407.5364,2016-06-08,10派3.2元(含税),231407.5364,2016-06-17,10派3.2元(含税),231407.5364,3.2,3.2,74050.4116,2016-06-22,2016-06-23,2016-06-23,231407.5364,313002,实施方案
600517,37811,420600517,上海置信电气股份有限公司,600517.XSHG,2015-12-31,年度分红,2016-04-08,10派1元(含税),135616.7823,2016-04-29,10派1元(含税),135616.7823,2016-06-17,10派1元(含税),135616.7823,1.0,1.0,13561.6782,2016-06-22,2016-06-23,2016-06-23,135616.7823,313002,实施方案
600705,133409,420600705,中航资本控股股份有限公司,600705.XSHG,2015-12-31,年度分红,2016-03-18,10转增10股派1.65元(含税),448816.2883,2016-05-19,10转增10股派1.65元(含税),448816.2883,2016-06-17,10转增10股派1.65元(含税),448816.2883,1.65,1.65,74054.6876,2016-06-22,2016-06-23,2016-06-23,448816.2883,313002,实施方案
600717,133879,420600717,天津港股份有限公司,600717.XSHG,2015-12-31,年度分红,2016-03-18,10派2.2元(含税),167476.91199999998,2016-04-29,10派2.2元(含税),167476.91199999998,2016-06-17,10派2.2元(含税),167476.91199999998,2.2,2.2,36844.9206,2016-06-22,2016-06-23,2016-06-23,167476.91199999998,313002,实施方案
600741,134890,420600741,华域汽车系统股份有限公司,600741.XSHG,2015-12-31,年度分红,2016-03-25,10派8.1元(含税),315272.3984,2016-05-28,10派8.1元(含税),315272.3984,2016-06-17,10派8.1元(含税),315272.3984,8.1,8.1,255370.6427,2016-06-22,2016-06-23,2016-06-23,315272.3984,313002,实施方案
600895,141168,420600895,上海张江高科技园区开发股份有限公司,600895.XSHG,2015-12-31,年度分红,2016-04-09,10派1.2元(含税),154868.955,2016-04-30,10派1.2元(含税),154868.955,2016-06-17,10派1.2元(含税),154868.955,1.2,1.2,18584.2746,2016-06-22,2016-06-23,2016-06-23,154868.955,313002,实施方案
