,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
300059,8562,300010488,东方财富信息股份有限公司,300059.XSHE,2015-12-31,年度分红,2016-03-19,10转增8股派1元(含税),185389.2052,2016-04-09,10转增8股派1元(含税),185389.2052,2016-04-12,10转增8股派1元(含税),185389.2052,8.0,1.0,1.0,148311.3641,18538.9205,2016-04-15,2016-04-18,2016-04-18,2016-04-18,185389.2052,333700.5693,129125.5313,232425.9563,2016-04-18,313002,实施方案
300408,19006,300023108,潮州三环(集团)股份有限公司,300408.XSHE,2015-12-31,年度分红,2016-03-15,10转增10股派3.5元(含税),86381.8,2016-04-05,10转增10股派3.5元(含税),86381.8,2016-04-11,10转增10股派3.5元(含税),86381.8,10.0,3.5,3.5,86381.8,30233.63,2016-04-15,2016-04-18,2016-04-18,2016-04-18,86381.8,172763.6,48606.1865,97212.373,2016-04-18,313002,实施方案
