,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000333,5829,300005965,美的集团股份有限公司,000333.XSHE,2017-12-31,年度分红,2018-03-31,10派12元(含税),658402.2574,2018-04-24,10派12元(含税),658402.2574,2018-04-26,10派12元(含税),658402.2574,12.0,12.0,790082.7089,2018-05-03,2018-05-04,2018-05-04,658402.2574,313002,实施方案
002038,163392,430002038,北京双鹭药业股份有限公司,002038.XSHE,2017-12-31,年度分红,2018-03-20,10派5元（含税）,68490.0,2018-04-11,10派5元（含税）,68490.0,2018-04-25,10派5元（含税）,68490.0,5.0,5.0,34245.0,2018-05-03,2018-05-04,2018-05-04,68490.0,313002,实施方案
002294,6317,300008010,深圳信立泰药业股份有限公司,002294.XSHE,2017-12-31,年度分红,2018-03-27,10派8元（含税),104601.6,2018-04-17,10派8元（含税),104601.6,2018-04-25,10派8元（含税),104601.6,8.0,8.0,83681.28,2018-05-03,2018-05-04,2018-05-04,104601.6,313002,实施方案
002410,10335,300012609,广联达科技股份有限公司,002410.XSHE,2017-12-31,年度分红,2018-03-29,10派2.5元(含税),111936.1939,2018-04-21,10派2.5元(含税),111936.1939,2018-04-25,10派2.5元(含税),111936.1939,2.5,2.5,27984.0485,2018-05-03,2018-05-04,2018-05-04,111936.1939,313002,实施方案
002601,15875,300020849,龙蟒佰利联集团股份有限公司,002601.XSHE,2017-12-31,年度分红,2018-04-03,10派5.5元(含税),203209.5439,2018-04-24,10派5.5元(含税),203209.5439,2018-04-26,10派5.5元(含税),203209.5439,5.5,5.5,111765.2491,2018-05-03,2018-05-04,2018-05-04,203209.5439,313002,实施方案
600219,29770,420600219,山东南山铝业股份有限公司,600219.XSHG,2017-12-31,年度分红,2018-02-10,10派0.6元(含税),925110.2895,2018-03-08,10派0.6元(含税),925110.2895,2018-04-25,10派0.6元(含税),925110.2895,0.6,0.6,55506.6174,2018-05-03,2018-05-04,2018-05-04,925110.2895,313002,实施方案
600438,36049,420600438,通威股份有限公司,600438.XSHG,2017-12-31,年度分红,2018-03-30,10派1.6元(含税),388237.222,2018-04-20,10派1.6元(含税),388237.222,2018-04-26,10派1.6元(含税),388237.222,1.6,1.6,62117.9555,2018-05-03,2018-05-04,2018-05-04,388237.222,313002,实施方案
600657,131435,420600657,信达地产股份有限公司,600657.XSHG,2017-12-31,年度分红,2018-03-28,10派1.2元(含税),152426.0442,2018-04-19,10派1.2元(含税),152426.0442,2018-04-26,10派1.2元(含税),152426.0442,1.2,1.2,18291.1253,2018-05-03,2018-05-04,2018-05-04,152426.0442,313002,实施方案
600664,131718,420600664,哈药集团股份有限公司,600664.XSHG,2017-12-31,年度分红,2018-02-10,10派5元(含税),254495.3276,2018-03-06,10派5元(含税),254495.3276,2018-04-25,10派5元(含税),254495.3276,5.0,5.0,127247.6638,2018-05-03,2018-05-04,2018-05-04,254495.3276,313002,实施方案
600816,137871,420600816,安信信托股份有限公司,600816.XSHG,2017-12-31,年度分红,2018-02-08,10转增2股派5元(含税),455761.4932,2018-03-07,10转增2股派5元(含税),455761.4932,2018-04-25,10转增2股派5元(含税),455761.4932,5.0,5.0,227880.7466,2018-05-03,2018-05-04,2018-05-04,455761.4932,313002,实施方案
