,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000776,155967,430000776,广发证券股份有限公司,000776.XSHE,2010-12-31,年度分红,2011-04-07,10派5元(含税),250704.5732,2011-04-28,10派5元(含税),250704.5732,2011-06-14,10派5元(含税),250704.5732,5.0,125352.2866,2011-06-21,2011-06-22,2011-06-22,250704.5732,313002,实施方案
000786,156293,430000786,北新集团建材股份有限公司,000786.XSHE,2010-12-31,年度分红,2011-03-19,10派1.65元(含税),57515.0,2011-04-27,10派1.65元(含税),57515.0,2011-06-14,10派1.65元(含税),57515.0,1.65,9489.975,2011-06-21,2011-06-22,2011-06-22,57515.0,313002,实施方案
000825,157630,430000825,山西太钢不锈钢股份有限公司,000825.XSHE,2010-12-31,年度分红,2011-04-29,10派1元(含税),569624.7796,2011-05-21,10派1元(含税),569624.7796,2011-06-15,10派1元(含税),569624.7796,1.0,56962.477999999996,2011-06-21,2011-06-22,2011-06-22,569624.7796,313002,实施方案
000951,160865,430000951,中国重汽集团济南卡车股份有限公司,000951.XSHE,2010-12-31,年度分红,2011-03-26,10派2.5元(含税),41942.55,2011-04-23,10派2.5元(含税),41942.55,2011-06-16,10派2.5元(含税),41942.55,2.5,10485.6375,2011-06-21,2011-06-22,2011-06-22,41942.55,313002,实施方案
002411,10288,300012607,江苏必康制药股份有限公司,002411.XSHE,2010-12-31,年度分红,2011-04-23,10转增8股派0.8元(含税),12900.0,2011-05-17,10转增8股派0.8元(含税),12900.0,2011-06-15,10转增8股派0.8元(含税),12900.0,0.8,1032.0,2011-06-21,2011-06-22,2011-06-22,12900.0,313002,实施方案
600030,23359,420600030,中信证券股份有限公司,600030.XSHG,2010-12-31,年度分红,2011-04-09,10派5元(含税),994570.14,2011-04-30,10派5元(含税),994570.14,2011-06-08,10派5元(含税),994570.14,5.0,497285.07,2011-06-15,2011-06-16,2011-06-22,994570.14,313002,实施方案
600151,27390,420600151,上海航天汽车机电股份有限公司,600151.XSHG,2010-12-31,年度分红,2011-04-29,10派0.2元(含税),95747.47300000001,2011-05-21,10派0.2元(含税),95747.47300000001,2011-06-10,10派0.2元(含税),95747.47300000001,0.2,1914.9495,2011-06-15,2011-06-16,2011-06-22,95747.47300000001,313002,实施方案
600352,33823,420600352,浙江龙盛集团股份有限公司,600352.XSHG,2010-12-31,年度分红,2011-04-09,10派1元(含税),146841.593,2011-04-30,10派1元(含税),146841.593,2011-06-09,10派1元(含税),146841.593,1.0,14684.1593,2011-06-14,2011-06-15,2011-06-22,146841.593,313002,实施方案
600497,37218,420600497,云南驰宏锌锗股份有限公司,600497.XSHG,2010-12-31,年度分红,2011-03-08,10转增3股派3元(含税),100776.5961,2011-04-28,10转增3股派3元(含税),100776.5961,2011-06-13,10转增3股派3元(含税),100776.5961,3.0,30232.9788,2011-06-16,2011-06-17,2011-06-22,100776.5961,313002,实施方案
600585,39714,420600585,安徽海螺水泥股份有限公司,600585.XSHG,2010-12-31,年度分红,2011-03-29,10转增5股派3元(含税),353286.8386,2011-06-01,10转增5股派3元(含税),353286.8386,2011-06-09,10转增5股派3元(含税),353286.8386,3.0,105986.0516,2011-06-15,2011-06-16,2011-06-22,353286.8386,313002,实施方案
601818,5939,300006246,中国光大银行股份有限公司,601818.XSHG,2010-12-31,年度分红,2011-04-12,10派0.946元(含税),4043479.0,2011-05-31,10派0.946元(含税),4043479.0,2011-06-10,10派0.946元(含税),4043479.0,0.946,382513.1134,2011-06-15,2011-06-16,2011-06-22,4043479.0,313002,实施方案
