,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000069,145036,430000069,深圳华侨城股份有限公司,000069.XSHE,2015-12-31,年度分红,2016-04-23,10派0.7元(含税),820568.1415,2016-05-24,10派0.7元(含税),820568.1415,2016-06-08,10派0.7元(含税),820568.1415,0.7,0.7,57439.7699,2016-06-16,2016-06-17,2016-06-17,820568.1415,313002,实施方案
000528,147980,430000528,广西柳工机械股份有限公司,000528.XSHE,2015-12-31,年度分红,2016-03-29,10派1元(含税),112524.2136,2016-05-24,10派1元(含税),112524.2136,2016-06-13,10派1元(含税),112524.2136,1.0,1.0,11252.4214,2016-06-16,2016-06-17,2016-06-17,112524.2136,313002,实施方案
000685,153378,430000685,中山公用事业集团股份有限公司,000685.XSHE,2015-12-31,年度分红,2016-03-29,10派3元(含税),147511.1351,2016-04-20,10派3元(含税),147511.1351,2016-06-13,10派3元(含税),147511.1351,3.0,3.0,44253.3405,2016-06-16,2016-06-17,2016-06-17,147511.1351,313002,实施方案
000758,155602,430000758,中国有色金属建设股份有限公司,000758.XSHE,2015-12-31,年度分红,2016-04-26,10转增10股派0.5元(含税),98468.9212,2016-05-20,10转增10股派0.5元(含税),98468.9212,2016-06-08,10转增10股派0.5元(含税),98468.9212,0.5,0.5,4923.4461,2016-06-16,2016-06-17,2016-06-17,98468.9212,313002,实施方案
002051,163718,430002051,中工国际工程股份有限公司,002051.XSHE,2015-12-31,年度分红,2016-03-22,10送2股派3元(含税),77313.7734,2016-06-04,10送2股派3元(含税),77313.7734,2016-06-13,10送2股派3元(含税),77313.7734,3.0,3.0,23194.132,2016-06-16,2016-06-17,2016-06-17,77313.7734,313002,实施方案
002128,2247,300002704,内蒙古霍林河露天煤业股份有限公司,002128.XSHE,2015-12-31,年度分红,2016-03-29,10派1元(含税),163437.8473,2016-04-22,10派1元(含税),163437.8473,2016-06-08,10派1元(含税),163437.8473,1.0,1.0,16343.7847,2016-06-16,2016-06-17,2016-06-17,163437.8473,313002,实施方案
002304,7000,300008689,江苏洋河酒厂股份有限公司,002304.XSHE,2015-12-31,年度分红,2016-04-26,10派18元(含税),150698.8,2016-06-01,10派18元(含税),150698.8,2016-06-08,10派18元(含税),150698.8,18.0,18.0,271257.84,2016-06-16,2016-06-17,2016-06-17,150698.8,313002,实施方案
002673,164452,460000644,西部证券股份有限公司,002673.XSHE,2015-12-31,年度分红,2016-04-21,10派2.2元(含税),279556.962,2016-05-12,10派2.2元(含税),279556.962,2016-06-13,10派2.2元(含税),279556.962,2.2,2.2,61502.5316,2016-06-16,2016-06-17,2016-06-17,279556.962,313002,实施方案
600153,27482,420600153,厦门建发股份有限公司,600153.XSHG,2015-12-31,年度分红,2016-04-08,10派1元(含税),283520.053,2016-05-26,10派1元(含税),283520.053,2016-06-09,10派1元(含税),283520.053,1.0,1.0,28352.0053,2016-06-16,2016-06-17,2016-06-17,283520.053,313002,实施方案
600266,31263,420600266,北京城建投资发展股份有限公司,600266.XSHG,2015-12-31,年度分红,2016-03-26,10派2.8元(含税),156704.0,2016-04-27,10派2.8元(含税),156704.0,2016-06-09,10派2.8元(含税),156704.0,2.8,2.8,43877.12,2016-06-16,2016-06-17,2016-06-17,156704.0,313002,实施方案
600633,130390,420600633,浙报数字文化集团股份有限公司,600633.XSHG,2015-12-31,年度分红,2016-04-09,10派1.6元(含税),118828.759,2016-04-30,10派1.6元(含税),118828.759,2016-06-09,10派1.6元(含税),118828.759,1.6,1.6,19012.6014,2016-06-16,2016-06-17,2016-06-17,118828.759,313002,实施方案
600880,140535,420600880,成都博瑞传播股份有限公司,600880.XSHG,2015-12-31,年度分红,2016-04-20,10派0.3元(含税),109333.2092,2016-05-21,10派0.3元(含税),109333.2092,2016-06-08,10派0.3元(含税),109333.2092,0.3,0.3,3279.9963,2016-06-16,2016-06-17,2016-06-17,109333.2092,313002,实施方案
600958,164331,460000065,东方证券股份有限公司,600958.XSHG,2015-12-31,年度分红,2016-03-14,10派3.5元（含税）,528174.2921,2016-05-26,10派3.5元（含税）,528174.2921,2016-06-08,10派3.5元（含税）,528174.2921,3.5,3.5,184861.0022,2016-06-16,2016-06-17,2016-06-17,528174.2921,313002,实施方案
600999,164387,460000118,招商证券股份有限公司,600999.XSHG,2015-12-31,年度分红,2016-03-01,10派2.47元(含税),580813.5529,2016-04-23,10派2.47元(含税),580813.5529,2016-06-08,10派2.47元(含税),580813.5529,2.47,2.47,143460.9476,2016-06-16,2016-06-17,2016-06-17,580813.5529,313002,实施方案
601628,1501,300001881,中国人寿保险股份有限公司,601628.XSHG,2015-12-31,年度分红,2016-03-24,10派4.2元(含税),2826470.5,2016-05-31,10派4.2元(含税),2826470.5,2016-06-09,10派4.2元(含税),2826470.5,4.2,4.2,1187117.61,2016-06-16,2016-06-17,2016-06-17,2826470.5,313002,实施方案
