,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
601238,5855,300006006,广州汽车集团股份有限公司,601238.XSHG,2015-06-30,中期分红,2015-08-29,10派0.8元(含税),643502.0097,2015-09-30,10派0.8元(含税),643502.0097,0.8,0.8,51480.1608,2015-10-13,2015-10-14,2015-10-14,643502.0097,313002,实施方案
601877,8309,300010254,浙江正泰电器股份有限公司,601877.XSHG,2015-06-30,中期分红,2015-08-18,10派6.00元（含税）,131490.6385,2015-09-30,10派6.00元（含税）,131490.6385,6.0,6.0,78894.3831,2015-10-13,2015-10-14,2015-10-14,131490.6385,313002,实施方案
