,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,7663,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2010-06-30,,2010-08-17,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,7664,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2010-12-31,年度分红,2011-04-26,10派1.3元(含税),123000.0,2011-05-27,10派1.3元(含税),123000.0,2011-06-23,10派1.3元(含税),123000.0,,,1.3,,,,,,,15990.0,2011-06-28,,2011-06-29,,,2011-07-04,,,,,123000.0,,,,,,,,,313002,实施方案,
2,7665,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2011-06-30,中期分红,2011-08-08,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,7666,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2011-12-31,年度分红,2012-03-30,10转增5股派1.3元(含税),132030.0,2012-04-24,10转增5股派1.3元(含税),132030.0,2012-06-08,10转增5股派1.3元(含税),132030.0,,5.0,1.3,,,,,,66015.0,17163.9,2012-06-13,,2012-06-14,,,2012-06-20,,,2012-06-15,,132030.0,198045.0,57000.0,85500.0,,2012-06-15,,,,313002,实施方案,
4,7667,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2012-06-30,中期分红,2012-08-16,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,7668,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2012-12-31,年度分红,2013-03-29,10派1.36元(含税),198045.0,2013-05-30,10派1.36元(含税),198045.0,2013-06-18,10派1.36元(含税),198045.0,,,1.36,,,1.292,,,,26934.12,2013-06-21,,2013-06-24,,,2013-06-27,,,,,198045.0,,,,,,,,,313002,实施方案,
6,7669,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2013-06-30,中期分红,2013-08-15,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,7670,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2013-12-31,年度分红,2014-03-29,10派1.43元(含税),198045.6261,2014-05-31,10派1.43元(含税),198045.6261,2014-06-19,10派1.43元(含税),198045.6261,,,1.43,,,1.3585,,,,28320.5245,2014-06-24,,2014-06-25,,,2014-06-25,,,,,198045.6261,,,,,,,,,313002,实施方案,
8,7671,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2014-06-30,中期分红,2014-08-15,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,7672,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2014-12-31,年度分红,2015-03-28,10派1.43元(含税),217761.6866,2015-05-29,10派1.43元(含税),217761.6866,2015-06-19,10派1.43元(含税),217761.6866,,,1.43,,,1.3585,,,,31139.9212,2015-06-25,,2015-06-26,,,2015-06-26,,,,,217761.6866,,,,,,,,,313002,实施方案,
10,7673,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2015-06-30,中期分红,2015-08-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,7674,300009513,深圳市燃气集团股份有限公司,601139.XSHG,2015-12-31,年度分红,2016-03-31,10派1元(含税),,2016-04-21,10派1元(含税),,2016-06-14,10派1元(含税),217903.0146,,,1.0,,,1.0,,,,21790.3015,2016-06-17,,2016-06-20,,,2016-06-20,,,,,217903.0146,,,,利润分配实施时股权登记日的总股本为基数,,,,,313002,实施方案,
