,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,137578,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2010-06-30,,2010-08-18,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,137579,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2010-12-31,年度分红,2011-04-12,10派5元(含税),43292.4133,2011-05-19,10派5元(含税),43292.4133,2011-06-16,10派5元(含税),43292.4133,,,5.0,,,,,,,21646.2067,2011-06-21,,2011-06-22,,,2011-06-27,,,,,43292.4133,,,,,,,,,313002,实施方案,
2,137580,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2011-06-30,中期分红,2011-08-16,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,137581,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2011-12-31,年度分红,2012-04-10,10送10股派5元(含税),43292.4133,2012-05-19,10送10股派5元(含税),43292.4133,2012-06-06,10送10股派5元(含税),43292.4133,10.0,,5.0,,,,,43292.4133,,21646.2067,2012-06-11,,2012-06-12,,,2012-06-15,,2012-06-13,2012-06-13,,43292.4133,86584.8266,43292.4133,86584.8266,,,,,,313002,实施方案,
4,137582,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2012-06-30,中期分红,2012-08-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,137583,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2012-12-31,年度分红,2013-04-09,10派8元(含税),86584.8266,2013-05-17,10派8元(含税),86584.8266,2013-06-21,10派8元(含税),86584.8266,,,8.0,,,7.6,,,,69267.8613,2013-06-26,,2013-06-27,,,2013-07-03,,,,,86584.8266,,,,,,,,,313002,实施方案,
6,137584,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2013-06-30,中期分红,2013-08-20,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,137585,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2013-12-31,年度分红,2014-03-25,10派3.5元(含税),86584.8266,2014-04-19,10派3.5元(含税),86584.8266,2014-06-09,10派3.5元(含税),86584.8266,,,3.5,,,3.325,,,,30304.6893,2014-06-13,,2014-06-16,,,2014-06-16,,,,,86584.8266,,,,,,,,,313002,实施方案,
8,137586,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2014-06-30,中期分红,2014-08-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,137587,420600809,山西杏花村汾酒厂股份有限公司,600809.XSHG,2014-12-31,年度分红,2015-03-31,不分配不转增,,2015-05-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
