,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000027,143641,430000027,深圳能源集团股份有限公司,000027.XSHE,2016-12-31,年度分红,2017-04-08,10派1.5元(含税),2017-06-17,10派1.5元(含税),2017-06-22,10派1.5元(含税),396449.1597,1.5,1.5,59467.374,2017-06-28,2017-06-29,2017-06-29,396449.1597,313002,实施方案
000596,150558,430000596,安徽古井贡酒股份有限公司,000596.XSHE,2016-12-31,年度分红,2017-04-28,10派6元(含税),2017-06-21,10派6元(含税),2017-06-23,10派6元(含税),50360.0,6.0,6.0,30216.0,2017-06-28,2017-06-29,2017-06-29,50360.0,313002,实施方案
002146,2775,300003361,荣盛房地产发展股份有限公司,002146.XSHE,2016-12-31,年度分红,2017-04-20,10派4元(含税),2017-05-11,10派4元(含税),2017-06-23,10派4元(含税),434816.3851,4.0,4.0,173926.55399999997,2017-06-28,2017-06-29,2017-06-29,434816.3851,313002,实施方案
002344,8363,300010329,海宁中国皮革城股份有限公司,002344.XSHE,2016-12-31,年度分红,2017-04-15,10派0.5元(含税),2017-05-13,10派0.5元(含税),2017-06-23,10派0.5元(含税),128274.5046,0.5,0.5,6413.7252,2017-06-28,2017-06-29,2017-06-29,128274.5046,313002,实施方案
600015,23060,420600015,华夏银行股份有限公司,600015.XSHG,2016-12-31,年度分红,2017-04-29,10转增2股派1.81元(含税),2017-05-25,10转增2股派1.81元(含税),2017-06-23,10转增2股派1.81元(含税),1068557.2211,1.81,1.81,193408.857,2017-06-28,2017-06-29,2017-06-29,1068557.2211,313002,实施方案
600517,37813,420600517,上海置信电气股份有限公司,600517.XSHG,2016-12-31,年度分红,2017-04-28,10派1.5元(含税),2017-05-19,10派1.5元(含税),2017-06-23,10派1.5元(含税),135616.7823,1.5,1.5,20342.5173,2017-06-28,2017-06-29,2017-06-29,135616.7823,313002,实施方案
600518,37848,420600518,康美药业股份有限公司,600518.XSHG,2016-12-31,年度分红,2017-04-20,10派2.05元(含税),2017-05-11,10派2.05元(含税),2017-06-22,10派2.05元(含税),494674.3675,2.05,2.05,101408.2453,2017-06-28,2017-06-29,2017-06-29,494674.3675,313002,实施方案
600694,132961,420600694,大商股份有限公司,600694.XSHG,2016-12-31,年度分红,2017-04-26,10派7.2元(含税),2017-05-18,10派7.2元(含税),2017-06-21,10派7.2元(含税),29371.8653,7.2,7.2,21147.743,2017-06-28,2017-06-29,2017-06-29,29371.8653,313002,实施方案
600718,133922,420600718,东软集团股份有限公司,600718.XSHG,2016-12-31,年度分红,2017-03-31,10派1元(含税),2017-05-06,10派1元(含税),2017-06-23,10派1元(含税),124319.7745,1.0,1.0,12431.9775,2017-06-28,2017-06-29,2017-06-29,124319.7745,313002,实施方案
601006,189,300000261,大秦铁路股份有限公司,601006.XSHG,2016-12-31,年度分红,2017-04-27,10派2.5元(含税),2017-05-20,10派2.5元(含税),2017-06-22,10派2.5元(含税),1486679.1491,2.5,2.5,371669.7873,2017-06-28,2017-06-29,2017-06-29,1486679.1491,313002,实施方案
601198,6883,300008427,东兴证券股份有限公司,601198.XSHG,2016-12-31,年度分红,2017-04-24,10派1.5元(含税),2017-06-15,10派1.5元(含税),2017-06-22,10派1.5元(含税),275796.0657,1.5,1.5,41369.4099,2017-06-28,2017-06-29,2017-06-29,275796.0657,313002,实施方案
601699,473,300000721,山西潞安环保能源开发股份有限公司,601699.XSHG,2016-12-31,年度分红,2017-03-31,10派0.9元(含税),2017-05-19,10派0.9元(含税),2017-06-23,10派0.9元(含税),299140.92,0.9,0.9,26922.6828,2017-06-28,2017-06-29,2017-06-29,299140.92,313002,实施方案
