,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000009,142889,430000009,中国宝安集团股份有限公司,000009.XSHE,2013-12-31,年度分红,2014-04-26,10送2股派0.3元(含税),125436.3108,2014-06-07,10送2股派0.3元(含税),125436.3108,2014-07-03,10送2股派0.3元(含税),125436.3108,0.3,0.185,3763.0893,2014-07-08,2014-07-09,2014-07-09,125436.3108,313002,实施方案
000540,148487,430000540,中天金融集团股份有限公司,000540.XSHE,2013-12-31,年度分红,2014-04-22,10派3元(含税),128757.2292,2014-05-14,10派3元(含税),128757.2292,2014-07-03,10派3元(含税),128757.2292,3.0,2.85,38627.1688,2014-07-08,2014-07-09,2014-07-09,128757.2292,313002,实施方案
000718,154478,430000718,苏宁环球股份有限公司,000718.XSHE,2013-12-31,年度分红,2014-04-25,10派1元(含税),204319.2561,2014-05-21,10派1元(含税),204319.2561,2014-07-03,10派1元(含税),204319.2561,1.0,0.95,20431.9256,2014-07-08,2014-07-09,2014-07-09,204319.2561,313002,实施方案
000776,155973,430000776,广发证券股份有限公司,000776.XSHE,2013-12-31,年度分红,2014-04-22,10派2元(含税),591929.1464,2014-05-13,10派2元(含税),591929.1464,2014-07-03,10派2元(含税),591929.1464,2.0,1.9,118385.8293,2014-07-08,2014-07-09,2014-07-09,591929.1464,313002,实施方案
000783,156218,430000783,长江证券股份有限公司,000783.XSHE,2013-12-31,年度分红,2014-04-21,10转增10股派2.5元(含税),237123.3839,2014-05-16,10转增10股派2.5元(含税),237123.3839,2014-07-01,10转增10股派2.5元(含税),237123.3839,2.5,2.375,59280.846,2014-07-08,2014-07-09,2014-07-09,237123.3839,313002,实施方案
002375,9165,300011247,浙江亚厦装饰股份有限公司,002375.XSHE,2013-12-31,年度分红,2014-04-26,10转增3股派1.3元(含税),68451.2494,2014-05-29,10转增3股派1.3元(含税),68451.2494,2014-07-03,10转增2.996237股派1.298369元(含税),68537.2069,1.2984,1.2335,8898.6585,2014-07-08,2014-07-09,2014-07-09,68537.2069,313002,实施方案
002415,10391,300012688,杭州海康威视数字技术股份有限公司,002415.XSHE,2013-12-31,年度分红,2014-04-22,10派2.5元(含税),401722.3222,2014-05-26,10派2.5元(含税),401722.3222,2014-07-02,10派2.5元(含税),401722.3222,2.5,2.375,100430.5806,2014-07-08,2014-07-09,2014-07-09,401722.3222,313002,实施方案
600348,33735,420600348,阳泉煤业(集团)股份有限公司,600348.XSHG,2013-12-31,年度分红,2014-04-25,10派1.17元(含税),240500.0,2014-05-16,10派1.17元(含税),240500.0,2014-07-03,10派1.17元(含税),240500.0,1.17,1.1115,28138.5,2014-07-08,2014-07-09,2014-07-09,240500.0,313002,实施方案
600489,37049,420600489,中金黄金股份有限公司,600489.XSHG,2013-12-31,年度分红,2014-04-19,10派0.44元(含税),294322.8797,2014-05-13,10派0.44元(含税),294322.8797,2014-07-03,10派0.44元(含税),294322.8797,0.44,0.418,12950.2067,2014-07-08,2014-07-09,2014-07-09,294322.8797,313002,实施方案
600642,130785,420600642,申能股份有限公司,600642.XSHG,2013-12-31,年度分红,2014-03-28,10派2元(含税),455203.8316,2014-05-21,10派2元(含税),455203.8316,2014-07-03,10派2元(含税),455203.8316,2.0,1.9,91040.7663,2014-07-08,2014-07-09,2014-07-09,455203.8316,313002,实施方案
