,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,39486,420600578,北京京能电力股份有限公司,600578.XSHG,2010-06-30,,2010-08-20,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,39487,420600578,北京京能电力股份有限公司,600578.XSHG,2010-12-31,年度分红,2011-03-18,10转增2股派1元(含税),65602.129,2011-05-21,10转增2股派1元(含税),65602.129,2011-07-08,10转增2股派1元(含税),65602.129,,2.0,1.0,,,,,,13120.4258,6560.2129,2011-07-13,,2011-07-14,,,2011-07-20,,,2011-07-15,,65602.129,78722.5548,57336.0,68803.2,2011-04-29:公司披露新的分配方案，原方案为不分配不转增。,2011-07-15,,,,313002,实施方案,
2,39488,420600578,北京京能电力股份有限公司,600578.XSHG,2011-06-30,中期分红,2011-08-13,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,39489,420600578,北京京能电力股份有限公司,600578.XSHG,2011-12-31,年度分红,2012-03-16,10派2元(含税),78722.5548,2012-04-07,10派2元(含税),78722.5548,2012-05-22,10派2元(含税),78722.5548,,,2.0,,,,,,,15744.511,2012-05-25,,2012-05-28,,,2012-06-01,,,,,78722.5548,,,,,,,,,313002,实施方案,
4,39490,420600578,北京京能电力股份有限公司,600578.XSHG,2012-06-30,中期分红,2012-08-08,10派2.5元（含税）,78722.5548,2012-08-24,10派2.5元（含税）,78722.5548,2012-09-17,10派2.5元（含税）,78722.5548,,,2.5,,,,,,,19680.6387,2012-09-20,,2012-09-21,,,2012-09-27,,,,,78722.5548,,,,,,,,,313002,实施方案,
5,39491,420600578,北京京能电力股份有限公司,600578.XSHG,2012-12-31,年度分红,2013-04-11,不分配不转增,,2013-05-04,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
6,39492,420600578,北京京能电力股份有限公司,600578.XSHG,2013-06-30,中期分红,2013-08-23,10转增10股派1元(含税),230866.0477,2013-09-11,10转增10股派1元(含税),230866.0477,2013-10-17,10转增10股派1元(含税),230866.0477,,10.0,1.0,,,0.95,,,230866.0477,23086.6048,2013-10-22,,2013-10-23,,,2013-10-28,,,2013-10-24,,230866.0477,461732.0954,76738.6837,153477.3674,,2013-10-24,,,,313002,实施方案,
7,39493,420600578,北京京能电力股份有限公司,600578.XSHG,2013-12-31,年度分红,2014-04-09,10派2元(含税),461732.0954,2014-06-21,10派2元(含税),461732.0954,2014-08-13,10派2元(含税),461732.0954,,,2.0,,,1.9,,,,92346.4191,2014-08-18,,2014-08-19,,,2014-08-19,,,,,461732.0954,,,,,,,,,313002,实施方案,
8,39494,420600578,北京京能电力股份有限公司,600578.XSHG,2014-06-30,中期分红,2014-08-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,39495,420600578,北京京能电力股份有限公司,600578.XSHG,2014-12-31,年度分红,2015-04-02,10派2元(含税),461732.0954,2015-05-30,10派2元(含税),461732.0954,2015-07-22,10派2元(含税),461732.0954,,,2.0,,,1.9,,,,92346.4191,2015-07-27,,2015-07-28,,,2015-07-28,,,,,461732.0954,,,,,,,,,313002,实施方案,
