,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,157669,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2010-06-30,,2010-08-26,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,157670,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2010-12-31,年度分红,2011-03-31,10派1元(含税),41335.614,2011-04-22,10派1元(含税),41335.614,2011-05-10,10派1元(含税),41335.614,,,1.0,,,,,,,4133.5614,2011-05-16,,2011-05-17,,,2011-05-17,,,,,41335.614,,,,,,,,,313002,实施方案,
2,157671,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2011-06-30,中期分红,2011-08-30,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,157672,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2011-12-31,年度分红,2012-04-06,10转增2股派1元(含税),41509.8665,2012-04-27,10转增2股派1元(含税),41509.8665,2012-05-03,10转增2股派1元(含税,41509.8665,,2.0,1.0,,,,,,8301.9733,4150.9867,2012-05-08,,2012-05-09,,,2012-05-09,,,2012-05-09,,41509.8665,49811.8398,40109.1165,48130.9398,,2012-05-09,,,,313002,实施方案,
4,157673,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2012-06-30,中期分红,2012-08-10,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,157674,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2012-12-31,年度分红,2013-03-29,10派1元(含税),64371.954,2013-04-25,10派1元(含税),64371.954,2013-06-19,10派1元(含税),64577.2962,,,1.0,,,0.95,,,,6457.7296,2013-06-24,,2013-06-25,,,2013-06-25,,,,,64577.2962,,,,,,,,,313002,实施方案,
6,157675,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2013-06-30,中期分红,2013-08-29,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,157676,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2013-12-31,年度分红,2014-03-25,10转增3股派1元(含税),64893.5863,2014-04-24,10转增3股派1元(含税),64893.5863,2014-05-20,10转增3股派1元(含税),64893.5863,,3.0,1.0,,,0.95,,,19468.0758,6489.3586,2014-05-26,,2014-05-27,,,2014-05-27,,,2014-05-27,,64893.5863,84361.6621,62556.4011,81323.3214,,2014-05-27,,,,313002,实施方案,
8,157677,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2014-06-30,中期分红,2014-08-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,157678,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2014-12-31,年度分红,2015-03-16,10派1元(含税),84624.1398,2015-04-17,10派1元(含税),84624.1398,2015-06-06,10派1元(含税),84624.1398,,,1.0,,,0.95,,,,8462.414,2015-06-11,,2015-06-12,,,2015-06-12,,,,,84624.1398,,,,,,,,,313002,实施方案,
10,157679,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2015-06-30,中期分红,2015-08-27,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,157680,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2015-12-31,年度分红,2016-04-05,10派1.5元(含税),85429.758,2016-05-06,10派1.5元(含税),85429.758,2016-06-22,10派1.5元(含税),85429.758,,,1.5,,,1.5,,,,12814.4637,2016-06-27,,2016-06-28,,,2016-06-28,,,,,85429.758,,,,,,,,,313002,实施方案,
