,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,plan_progress_code,plan_progress
002568,14669,300018893,上海百润投资控股集团股份有限公司,002568.XSHE,2015-06-30,中期分红,2015-07-31,10转增10股派10元(含税),44800.0,2015-08-19,10转增10股派10元(含税),44800.0,2015-09-23,10转增10股派10元(含税),44800.0,10.0,10.0,10.0,44800.0,44800.0,2015-09-28,2015-09-29,2015-09-29,2015-09-29,44800.0,89600.0,10727.125,21454.25,313002,实施方案
600369,34362,420600369,西南证券股份有限公司,600369.XSHG,2015-06-30,中期分红,2015-08-31,10转增10股派1.2元（含税）,282255.4562,2015-09-16,10转增10股派1.2元（含税）,282255.4562,2015-09-23,10转增10股派1.2元（含税）,282255.4562,10.0,1.2,1.2,282255.4562,33870.6547,2015-09-28,2015-09-29,2015-09-29,2015-09-30,282255.4562,564510.9124,232255.4562,464510.9124,313002,实施方案
