,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002155,2964,300003428,湖南黄金股份有限公司,002155.XSHE,2016-12-31,年度分红,2017-03-14,10派0.5元(含税),2017-04-08,10派0.5元(含税),2017-05-25,10派0.5元(含税),120203.9474,0.5,0.5,6010.1974,2017-06-02,2017-06-05,2017-06-05,120203.9474,313002,实施方案
002183,3665,300003828,深圳市怡亚通供应链股份有限公司,002183.XSHE,2016-12-31,年度分红,2017-04-28,10派0.8元(含税),2017-05-19,10派0.8元(含税),2017-05-26,10派0.8元(含税),211900.61,0.8,0.8,16952.0488,2017-06-02,2017-06-05,2017-06-05,211900.61,313002,实施方案
300433,20299,300023791,蓝思科技股份有限公司,300433.XSHE,2016-12-31,年度分红,2017-04-20,10送1转增1股派1元(含税),2017-05-17,10送1转增1股派1元(含税),2017-05-26,10送1转增1股派1元(含税),218160.2772,1.0,1.0,21816.0277,2017-06-02,2017-06-05,2017-06-05,218160.2772,313002,实施方案
600177,28307,420600177,雅戈尔集团股份有限公司,600177.XSHG,2016-12-31,年度分红,2017-04-29,10转增4股派5元(含税),2017-05-20,10转增4股派5元(含税),2017-05-26,10转增4股派5元(含税),255817.6681,5.0,5.0,127908.8341,2017-06-02,2017-06-05,2017-06-05,255817.6681,313002,实施方案
600312,32746,420600312,河南平高电气股份有限公司,600312.XSHG,2016-12-31,年度分红,2017-03-23,10派6元(含税),2017-04-26,10派6元(含税),2017-05-25,10派6元(含税),135692.1309,6.0,6.0,81415.2785,2017-06-02,2017-06-05,2017-06-05,135692.1309,313002,实施方案
600376,34560,420600376,北京首都开发股份有限公司,600376.XSHG,2016-12-31,年度分红,2017-04-13,10派3.5元(含税),2017-05-05,10派3.5元(含税),2017-05-26,10派3.5元(含税),257956.5242,3.5,3.5,90284.7835,2017-06-02,2017-06-05,2017-06-05,257956.5242,313002,实施方案
600383,34804,420600383,金地(集团)股份有限公司,600383.XSHG,2016-12-31,年度分红,2017-04-01,10派7元(含税),2017-04-22,10派7元(含税),2017-05-25,10派7元(含税),451363.1772,7.0,7.0,315954.224,2017-06-02,2017-06-05,2017-06-05,451363.1772,313002,实施方案
600487,36991,420600487,江苏亨通光电股份有限公司,600487.XSHG,2016-12-31,年度分红,2017-04-22,10派1.1元(含税),2017-05-18,10派1.1元(含税),2017-05-26,10派1.1元(含税),124126.9065,1.1,1.1,13653.9597,2017-06-02,2017-06-05,2017-06-05,124126.9065,313002,实施方案
600970,141589,420600970,中国中材国际工程股份有限公司,600970.XSHG,2016-12-31,年度分红,2017-03-18,10派0.88元(含税),2017-04-08,10派0.88元(含税),2017-05-25,10派0.88元(含税),175425.7928,0.88,0.88,15437.4698,2017-06-02,2017-06-05,2017-06-05,175425.7928,313002,实施方案
601158,9221,300011267,重庆水务集团股份有限公司,601158.XSHG,2016-12-31,年度分红,2017-03-31,10派2.8元(含税),2017-04-28,10派2.8元(含税),2017-05-25,10派2.8元(含税),480000.0,2.8,2.8,134400.0,2017-06-02,2017-06-05,2017-06-05,480000.0,313002,实施方案
