,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002027,163098,430002027,分众传媒信息技术股份有限公司,002027.XSHE,2015-12-31,年度分红,2016-04-22,10转增10股派2.5元(含税),2016-05-18,10转增10股派2.5元(含税),2016-06-24,10转增10股派2.5元(含税),436841.675,2.5,2.5,109210.4188,2016-06-29,2016-06-30,2016-06-30,436841.675,313002,实施方案
002411,10298,300012607,江苏必康制药股份有限公司,002411.XSHE,2015-12-31,年度分红,2016-04-26,10派0.7元(含税),2016-05-19,10派0.7元(含税),2016-06-23,10派0.7元(含税),153228.3909,0.7,0.7,10725.9874,2016-06-29,2016-06-30,2016-06-30,153228.3909,313002,实施方案
600006,22811,420600006,东风汽车股份有限公司,600006.XSHG,2015-12-31,年度分红,2016-04-23,10派0.52元(含税),2016-05-19,10派0.52元(含税),2016-06-24,10派0.52元(含税),200000.0,0.52,0.52,10400.0,2016-06-29,2016-06-30,2016-06-30,200000.0,313002,实施方案
600050,23632,420600050,中国联合网络通信股份有限公司,600050.XSHG,2015-12-31,年度分红,2016-03-17,10派0.572元(含税),2016-05-12,10派0.572元(含税),2016-06-23,10派0.572元(含税),2119659.6395,0.5720000000000001,0.5720000000000001,121244.5314,2016-06-29,2016-06-30,2016-06-30,2119659.6395,313002,实施方案
600068,24352,420600068,中国葛洲坝集团股份有限公司,600068.XSHG,2015-12-31,年度分红,2016-03-30,10派1.75元(含税),2016-05-14,10派1.75元(含税),2016-06-23,10派1.75元(含税),460477.7412,1.75,1.75,80583.6047,2016-06-29,2016-06-30,2016-06-30,460477.7412,313002,实施方案
600132,26856,420600132,重庆啤酒股份有限公司,600132.XSHG,2015-12-31,年度分红,2016-04-09,10派2元(含税),2016-05-07,10派2元(含税),2016-06-23,10派2元(含税),48397.1198,2.0,2.0,9679.424,2016-06-29,2016-06-30,2016-06-30,48397.1198,313002,实施方案
600188,28706,420600188,兖州煤业股份有限公司,600188.XSHG,2015-12-31,年度分红,2016-03-30,10派0.1元(含税),2016-06-04,10派0.1元(含税),2016-06-24,10派0.1元(含税),491201.6,0.1,0.1,4912.016,2016-06-29,2016-06-30,2016-06-30,491201.6,313002,实施方案
600522,37977,420600522,江苏中天科技股份有限公司,600522.XSHG,2015-12-31,年度分红,2016-04-22,10送3转增12股派1元(含税),2016-05-19,10送3转增12股派1元(含税),2016-06-22,10送3转增12股派1元(含税),104430.8426,1.0,1.0,10443.0843,2016-06-29,2016-06-30,2016-06-30,104430.8426,313002,实施方案
601111,372,300000441,中国国际航空股份有限公司,601111.XSHG,2015-12-31,年度分红,2016-03-31,10派1.07元(含税),2016-05-26,10派1.07元(含税),2016-06-22,10派1.07元(含税),1308475.1004,1.07,1.07,140006.8357,2016-06-29,2016-06-30,2016-06-30,1308475.1004,313002,实施方案
601800,22545,410001800,中国交通建设股份有限公司,601800.XSHG,2015-12-31,年度分红,2016-03-29,10派1.90元(含税),2016-06-17,10派1.90元(含税),2016-06-24,10派1.9037元(含税),1617473.5425,1.9037,1.9037,307918.4383,2016-06-29,2016-06-30,2016-06-30,1617473.5425,313002,实施方案
601939,3404,300003682,中国建设银行股份有限公司,601939.XSHG,2015-12-31,年度分红,2016-03-31,10派2.74元(含税),2016-06-18,10派2.74元(含税),2016-06-23,10派2.74元(含税),25001097.7486,2.74,2.74,6850300.7831,2016-06-29,2016-06-30,2016-06-30,25001097.7486,313002,实施方案
