,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,9304,300011447,崇义章源钨业股份有限公司,002378.XSHE,2010-06-30,中期分红,2010-08-17,10派1.5元（含税）,42821.3646,2010-09-28,10派1.5元（含税）,42821.3646,2010-10-22,10派1.5元（含税）,42821.3646,,,1.5,,,,,,,6423.2047,2010-10-28,,2010-10-29,,,2010-10-29,,,,,42821.3646,,,,,,,,,313002,实施方案,
1,9305,300011447,崇义章源钨业股份有限公司,002378.XSHE,2010-12-31,年度分红,2011-04-19,10派2.5元(含税),42821.3646,2011-05-17,10派2.5元(含税),42821.3646,2011-05-24,10派2.5元(含税),42821.3646,,,2.5,,,,,,,10705.3412,2011-05-27,,2011-05-30,,,2011-05-30,,,,,42821.3646,,,,,,,,,313002,实施方案,
2,9306,300011447,崇义章源钨业股份有限公司,002378.XSHE,2011-06-30,中期分红,2011-08-16,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,9307,300011447,崇义章源钨业股份有限公司,002378.XSHE,2011-12-31,年度分红,2012-04-10,10派4元(含税),42821.3646,2012-05-08,10派4元(含税),42821.3646,2012-05-14,10派4元(含税),42821.3646,,,4.0,,,,,,,17128.5458,2012-05-17,,2012-05-18,,,2012-05-18,,,,,42821.3646,,,,,,,,,313002,实施方案,
4,9308,300011447,崇义章源钨业股份有限公司,002378.XSHE,2012-06-30,中期分红,2012-08-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,9309,300011447,崇义章源钨业股份有限公司,002378.XSHE,2012-12-31,年度分红,2013-03-26,10派2元(含税),42821.3646,2013-04-22,10派2元(含税),42821.3646,2013-06-05,10派2元(含税),42821.3646,,,2.0,,,1.9,,,,8564.2729,2013-06-14,,2013-06-17,,,2013-06-17,,,,,42821.3646,,,,,,,,,313002,实施方案,
6,9310,300011447,崇义章源钨业股份有限公司,002378.XSHE,2013-06-30,中期分红,2013-08-26,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,9311,300011447,崇义章源钨业股份有限公司,002378.XSHE,2013-12-31,年度分红,2014-03-25,10派0.5元(含税),42821.3646,2014-04-21,10派0.5元(含税),42821.3646,2014-05-27,10派0.5元(含税),42821.3646,,,0.5,,,0.475,,,,2141.0682,2014-06-04,,2014-06-05,,,2014-06-05,,,,,42821.3646,,,,,,,,,313002,实施方案,
8,9312,300011447,崇义章源钨业股份有限公司,002378.XSHE,2014-06-30,中期分红,2014-08-26,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,9313,300011447,崇义章源钨业股份有限公司,002378.XSHE,2014-12-31,年度分红,2015-04-21,10转增10股,46208.3718,2015-05-13,10转增10股,46208.3718,2015-05-14,10转增10股,46208.3718,,10.0,,,,,,,46208.3718,,2015-05-20,,2015-05-21,,,,,,2015-05-21,,46208.3718,92416.7436,42821.3646,85642.7292,,2015-05-21,,,,313002,实施方案,
