,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,2613,300003262,西部矿业股份有限公司,601168.XSHG,2010-06-30,,2010-08-06,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,2614,300003262,西部矿业股份有限公司,601168.XSHG,2010-12-31,年度分红,2011-03-26,10派1.8元(含税),238300.0,2011-04-20,10派1.8元(含税),238300.0,2011-05-11,10派1.8元(含税),238300.0,,,1.8,,,,,,,42894.0,2011-05-16,,2011-05-17,,,2011-05-24,,,,,238300.0,,,,,,,,,313002,实施方案,
2,2615,300003262,西部矿业股份有限公司,601168.XSHG,2011-06-30,中期分红,2011-08-06,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,2616,300003262,西部矿业股份有限公司,601168.XSHG,2011-12-31,年度分红,2012-03-16,10派1元(含税),238300.0,2012-04-06,10派1元(含税),238300.0,2012-05-09,10派1元(含税),238300.0,,,1.0,,,,,,,23830.0,2012-05-14,,2012-05-15,,,2012-05-18,,,,,238300.0,,,,,,,,,313002,实施方案,
4,2617,300003262,西部矿业股份有限公司,601168.XSHG,2012-06-30,中期分红,2012-08-08,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,2618,300003262,西部矿业股份有限公司,601168.XSHG,2012-12-31,年度分红,2013-03-28,10派1元(含税),238300.0,2013-04-18,10派1元(含税),238300.0,2013-05-10,10派1元(含税),238300.0,,,1.0,,,0.95,,,,23830.0,2013-05-15,,2013-05-16,,,2013-05-21,,,,,238300.0,,,,,,,,,313002,实施方案,
6,2619,300003262,西部矿业股份有限公司,601168.XSHG,2013-06-30,中期分红,2013-07-30,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,2620,300003262,西部矿业股份有限公司,601168.XSHG,2013-12-31,年度分红,2014-03-28,10派0.5元(含税),238300.0,2014-04-18,10派0.5元(含税),238300.0,2014-05-06,10派0.5元(含税),238300.0,,,0.5,,,0.475,,,,11915.0,2014-05-09,,2014-05-12,,,2014-05-15,,,,,238300.0,,,,,,,,,313002,实施方案,
8,2621,300003262,西部矿业股份有限公司,601168.XSHG,2014-06-30,中期分红,2014-07-30,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,2622,300003262,西部矿业股份有限公司,601168.XSHG,2014-12-31,年度分红,2015-04-18,10派0.5元(含税),238300.0,2015-05-09,10派0.5元(含税),238300.0,2015-06-11,10派0.5元(含税),238300.0,,,0.5,,,0.475,,,,11915.0,2015-06-16,,2015-06-17,,,2015-06-17,,,,,238300.0,,,,,,,,,313002,实施方案,
10,2623,300003262,西部矿业股份有限公司,601168.XSHG,2015-06-30,中期分红,2015-07-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,2624,300003262,西部矿业股份有限公司,601168.XSHG,2015-12-31,年度分红,2016-04-22,10派0.5元(含税),238300.0,2016-05-13,10派0.5元(含税),238300.0,2016-06-02,10派0.5元(含税),238300.0,,,0.5,,,0.5,,,,11915.0,2016-06-07,,2016-06-08,,,2016-06-08,,,,,238300.0,,,,,,,,,313002,实施方案,
12,2625,300003262,西部矿业股份有限公司,601168.XSHG,2016-06-30,中期分红,2016-07-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
13,2626,300003262,西部矿业股份有限公司,601168.XSHG,2016-12-31,年度分红,2017-03-18,10派0.5元(含税),238300.0,2017-04-12,10派0.5元(含税),238300.0,2017-05-24,10派0.5元(含税),238300.0,,,0.5,,,0.5,,,,11915.0,2017-06-01,,2017-06-02,,,2017-06-02,,,,,238300.0,,,,,,,,,313002,实施方案,
14,2627,300003262,西部矿业股份有限公司,601168.XSHG,2017-06-30,中期分红,2017-07-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
15,2628,300003262,西部矿业股份有限公司,601168.XSHG,2017-12-31,年度分红,2018-03-28,10派1元(含税),238300.0,2018-04-18,10派1元(含税),238300.0,2018-05-11,10派1元(含税),238300.0,,,1.0,,,1.0,,,,23830.0,2018-05-16,,2018-05-17,,,2018-05-17,,,,,238300.0,,,,,,,,,313002,实施方案,
16,164681,300003262,西部矿业股份有限公司,601168.XSHG,2018-06-30,中期分红,2018-07-28,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
