,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000858,158340,430000858,宜宾五粮液股份有限公司,000858.XSHE,2014-12-31,年度分红,2015-04-17,10派6元(含税),379596.672,2015-05-23,10派6元(含税),379596.672,2015-06-12,10派6元(含税),379596.672,6.0,5.7,227758.0032,2015-06-18,2015-06-19,2015-06-19,379596.672,313002,实施方案
002122,2042,300002421,天马轴承集团股份有限公司,002122.XSHE,2014-12-31,年度分红,2015-04-21,10派0.2元(含税),118800.0,2015-05-16,10派0.2元(含税),118800.0,2015-06-13,10派0.2元(含税),118800.0,0.2,0.19,2376.0,2015-06-18,2015-06-19,2015-06-19,118800.0,313002,实施方案
002475,11896,300014448,立讯精密工业股份有限公司,002475.XSHE,2014-12-31,年度分红,2015-04-15,10转增5股派0.8元(含税),83193.1887,2015-05-07,10转增5股派0.8元(含税),83193.1887,2015-06-12,10转增5股派0.8元(含税),83193.1887,0.8,0.76,6655.4551,2015-06-18,2015-06-19,2015-06-19,83193.1887,313002,实施方案
600005,22774,420600005,武汉钢铁股份有限公司,600005.XSHG,2014-12-31,年度分红,2015-04-27,10派0.5元(含税),1009377.9823,2015-05-29,10派0.5元(含税),1009377.9823,2015-06-12,10派0.5元(含税),1009377.9823,0.5,0.475,50468.8991,2015-06-18,2015-06-19,2015-06-19,1009377.9823,313002,实施方案
600027,23272,420600027,华电国际电力股份有限公司,600027.XSHG,2014-12-31,年度分红,2015-03-31,10派2.7元(含税),880728.98,2015-05-27,10派2.7元(含税),880728.98,2015-06-12,10派2.7元(含税),880728.98,2.7,2.565,237796.8246,2015-06-18,2015-06-19,2015-06-19,880728.98,313002,实施方案
600028,23306,420600028,中国石油化工股份有限公司,600028.XSHG,2014-12-31,年度分红,2015-03-23,10派1.1元(含税),12107120.9646,2015-05-28,10派1.1元(含税),12107120.9646,2015-06-15,10派1.1元(含税),12107120.9646,1.1,1.045,1331783.3061,2015-06-18,2015-06-19,2015-06-19,12107120.9646,313002,实施方案
600143,27164,420600143,金发科技股份有限公司,600143.XSHG,2014-12-31,年度分红,2015-04-21,10派1元(含税),256000.0,2015-05-13,10派1元(含税),256000.0,2015-06-12,10派1元(含税),256000.0,1.0,0.95,25600.0,2015-06-18,2015-06-19,2015-06-19,256000.0,313002,实施方案
600585,39722,420600585,安徽海螺水泥股份有限公司,600585.XSHG,2014-12-31,年度分红,2015-03-24,10派6.5元(含税),529930.2579,2015-06-03,10派6.5元(含税),529930.2579,2015-06-12,10派6.5元(含税),529930.2579,6.5,6.175,344454.6676,2015-06-18,2015-06-19,2015-06-19,529930.2579,313002,实施方案
600649,131067,420600649,上海城投控股股份有限公司,600649.XSHG,2014-12-31,年度分红,2015-03-31,10派2元(含税),298752.3518,2015-05-01,10派2元(含税),298752.3518,2015-06-12,10派2元(含税),298752.3518,2.0,1.9,59750.4704,2015-06-18,2015-06-19,2015-06-19,298752.3518,313002,实施方案
600655,131340,420600655,上海豫园旅游商城股份有限公司,600655.XSHG,2014-12-31,年度分红,2015-03-25,10派2.1元(含税),143732.1976,2015-04-24,10派2.1元(含税),143732.1976,2015-06-12,10派2.1元(含税),143732.1976,2.1,1.995,30183.7615,2015-06-18,2015-06-19,2015-06-19,143732.1976,313002,实施方案
600704,133365,420600704,物产中大集团股份有限公司,600704.XSHG,2014-12-31,年度分红,2015-03-31,10派1.5元(含税),99599.5186,2015-05-08,10派1.5元(含税),99599.5186,2015-06-13,10派1.5元(含税),99599.5186,1.5,1.425,14939.9278,2015-06-18,2015-06-19,2015-06-19,99599.5186,313002,实施方案
600717,133877,420600717,天津港股份有限公司,600717.XSHG,2014-12-31,年度分红,2015-03-19,10派2.07元(含税),167476.91199999998,2015-04-30,10派2.07元(含税),167476.91199999998,2015-06-15,10派2.07元(含税),167476.91199999998,2.07,1.9665,34667.7208,2015-06-18,2015-06-19,2015-06-19,167476.91199999998,313002,实施方案
601006,185,300000261,大秦铁路股份有限公司,601006.XSHG,2014-12-31,年度分红,2015-04-29,10派4.8元(含税),1486679.1491,2015-05-28,10派4.8元(含税),1486679.1491,2015-06-12,10派4.8元(含税),1486679.1491,4.8,4.56,713605.9916,2015-06-18,2015-06-19,2015-06-19,1486679.1491,313002,实施方案
601607,139246,420600849,上海医药集团股份有限公司,601607.XSHG,2014-12-31,年度分红,2015-03-27,10派2.9元(含税),268891.0538,2015-05-30,10派2.9元(含税),268891.0538,2015-06-15,10派2.9元(含税),268891.0538,2.9,2.755,77978.4056,2015-06-18,2015-06-19,2015-06-19,268891.0538,313002,实施方案
601992,5968,300006630,北京金隅集团股份有限公司,601992.XSHG,2014-12-31,年度分红,2015-03-27,10派0.5元(含税),478464.0284,2015-05-28,10派0.5元(含税),478464.0284,2015-06-12,10派0.5元(含税),478464.0284,0.5,0.475,23923.2014,2015-06-18,2015-06-19,2015-06-19,478464.0284,313002,实施方案
