,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,8520,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2010-06-30,,2010-07-27,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,8521,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2010-12-31,年度分红,2011-03-22,10转增10股派8元(含税),11481.8,2011-04-13,10转增10股派8元(含税),11481.8,2011-04-14,10转增10股派8元(含税),11481.8,,10.0,8.0,,,,,,11481.8,9185.44,2011-04-20,,2011-04-21,,,2011-04-21,,,2011-04-21,,11481.8,22963.6,3849.4703,7698.9406,,2011-04-21,,,,313002,实施方案,
2,8522,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2011-06-30,中期分红,2011-07-26,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,8523,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2011-12-31,年度分红,2012-03-17,10转增10股派3元(含税),22963.6,2012-04-07,10转增10股派3元(含税),22963.6,2012-04-10,10转增10股派3元(含税),22963.6,,10.0,3.0,,,,,,22963.6,6889.08,2012-04-16,,2012-04-17,,,2012-04-17,,,2012-04-17,,22963.6,45927.2,8210.0131,16420.0262,,2012-04-17,,,,313002,实施方案,
4,8524,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2012-06-30,中期分红,2012-07-31,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
5,8525,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2012-12-31,年度分红,2013-03-23,10转增3股派2.5元(含税),45927.2,2013-04-27,10转增3股派2.5元(含税),45927.2,2013-05-22,10转增3股派2.5元(含税),45927.2,,3.0,2.5,,,2.375,,,13778.16,11481.8,2013-05-27,,2013-05-28,,,2013-05-28,,,2013-05-28,,45927.2,59705.36,24197.1843,31456.3396,,2013-05-28,,,,313002,实施方案,
6,8526,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2013-06-30,中期分红,2013-07-26,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
7,8527,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2013-12-31,年度分红,2014-03-29,10转增5股派2.5元(含税),63992.2991,2014-04-24,10转增5股派2.5元(含税),63992.2991,2014-05-31,10转增5股派2.5元(含税),63992.2991,,5.0,2.5,,,2.375,,,31996.1495,15998.0748,2014-06-06,,2014-06-09,,,2014-06-09,,,2014-06-09,,63992.2991,95988.4486,30941.0222,46411.5333,,2014-06-09,,,,313002,实施方案,
8,8528,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2014-06-30,中期分红,2014-07-31,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,8529,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2014-12-31,年度分红,2015-03-31,10派2元(含税),95785.3992,2015-04-29,10派2元(含税),95785.3992,2015-05-20,10派2元(含税),95785.3992,,,2.0,,,1.9,,,,19157.0798,2015-05-27,,2015-05-28,,,2015-05-28,,,,,95785.3992,,,,,,,,,313002,实施方案,
10,8530,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2015-06-30,中期分红,2015-07-31,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,8531,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2015-12-31,年度分红,2016-04-09,10派0.3元(含税),95785.3992,2016-05-07,10派0.3元(含税),95785.3992,2016-05-13,10派0.3元(含税),95785.3992,,,0.3,,,0.3,,,,2873.562,2016-05-19,,2016-05-20,,,2016-05-20,,,,,95785.3992,,,,,,,,,313002,实施方案,
12,8532,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2016-06-30,中期分红,2016-08-06,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
13,8533,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2016-12-31,年度分红,2017-03-31,10派0.3元(含税),95785.3992,2017-04-25,10派0.3元(含税),95785.3992,2017-06-02,10派0.3元(含税),95785.3992,,,0.3,,,0.3,,,,2873.562,2017-06-08,,2017-06-09,,,2017-06-09,,,,,95785.3992,,,,,,,,,313002,实施方案,
14,8534,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2017-06-30,中期分红,2017-08-10,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
15,8535,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2017-12-31,年度分红,2018-04-04,10派1.2元(含税),95785.3992,2018-04-27,10派1.2元(含税),95785.3992,2018-05-04,10派1.2元(含税),95785.3992,,,1.2,,,1.2,,,,11494.2479,2018-05-10,,2018-05-11,,,2018-05-11,,,,,95785.3992,,,,,,,,,313002,实施方案,
16,164861,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2018-06-30,中期分红,2018-08-04,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
