,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
600037,23529,420600037,北京歌华有线电视网络股份有限公司,600037.XSHG,2013-12-31,年度分红,2014-04-18,10派1元(含税),2014-05-31,10派1元(含税),2014-07-22,10派1元(含税),1.0,1.0,2014-07-25,2014-07-28,2014-07-28,313002,实施方案
601186,4681,300004347,中国铁建股份有限公司,601186.XSHG,2013-12-31,年度分红,2014-03-29,10派1.3元(含税),2014-06-19,10派1.3元(含税),2014-07-18,10派1.3元(含税),1.3,1.235,2014-07-25,2014-07-28,2014-07-28,313002,实施方案
601333,1382,300001741,广深铁路股份有限公司,601333.XSHG,2013-12-31,年度分红,2014-03-28,10派0.8元(含税),2014-05-30,10派0.8元(含税),2014-07-22,10派0.8元(含税),0.8,0.76,2014-07-25,2014-07-28,2014-07-28,313002,实施方案
