,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000008,44009,430000008,神州高铁技术股份有限公司,000008.XSHE,2017-12-31,年度分红,2018-04-26,10派0.5元(含税),2018-05-19,10派0.5元(含税),2018-06-01,10派0.5元(含税),281832.9809,0.5,0.5,14091.649,2018-06-06,2018-06-07,2018-06-07,281832.9809,313002,实施方案
000596,44275,430000596,安徽古井贡酒股份有限公司,000596.XSHE,2017-12-31,年度分红,2018-04-28,10派10元(含税),2018-05-23,10派10元(含税),2018-06-01,10派10元(含税),50360.0,10.0,10.0,50360.0,2018-06-06,2018-06-07,2018-06-07,50360.0,313002,实施方案
000652,44334,430000652,天津泰达股份有限公司,000652.XSHE,2017-12-31,年度分红,2018-03-15,10派0.35元（含税）,2018-04-10,10派0.35元（含税）,2018-05-31,10派0.35元（含税）,147557.3852,0.35,0.35,5164.5085,2018-06-06,2018-06-07,2018-06-07,147557.3852,313002,实施方案
000786,44491,430000786,北新集团建材股份有限公司,000786.XSHE,2017-12-31,年度分红,2018-03-17,10派3.55元(含税),2018-04-17,10派3.55元(含税),2018-06-01,10派3.55元(含税),178857.9717,3.55,3.55,63494.58,2018-06-06,2018-06-07,2018-06-07,178857.9717,313002,实施方案
002498,12558,300015674,青岛汉缆股份有限公司,002498.XSHE,2017-12-31,年度分红,2018-04-21,10派0.36元(含税),2018-05-24,10派0.36元(含税),2018-05-31,10派0.36元(含税),332679.6,0.36,0.36,11976.4656,2018-06-06,2018-06-07,2018-06-07,332679.6,313002,实施方案
300122,11707,300014108,重庆智飞生物制品股份有限公司,300122.XSHE,2017-12-31,年度分红,2018-03-20,10派1.3元(含税),2018-04-10,10派1.3元(含税),2018-06-01,10派1.3元(含税),160000.0,1.3,1.3,20800.0,2018-06-06,2018-06-07,2018-06-07,160000.0,313002,实施方案
600177,28309,420600177,雅戈尔集团股份有限公司,600177.XSHG,2017-12-31,年度分红,2018-04-28,10派4元(含税),2018-05-19,10派4元(含税),2018-05-31,10派4元(含税),358144.7353,4.0,4.0,143257.8941,2018-06-06,2018-06-07,2018-06-07,358144.7353,313002,实施方案
600598,40128,420600598,黑龙江北大荒农业股份有限公司,600598.XSHG,2017-12-31,年度分红,2018-04-03,10派2.7元(含税),2018-04-25,10派2.7元(含税),2018-05-30,10派2.7元(含税),177767.9909,2.7,2.7,47997.3575,2018-06-06,2018-06-07,2018-06-07,177767.9909,313002,实施方案
600690,43757,420600690,青岛海尔股份有限公司,600690.XSHG,2017-12-31,年度分红,2018-04-26,10派3.42元(含税),2018-05-19,10派3.42元(含税),2018-06-01,10派3.42元(含税),609740.2727,3.42,3.42,208531.1733,2018-06-06,2018-06-07,2018-06-07,609740.2727,313002,实施方案
600859,43881,420600859,王府井集团股份有限公司,600859.XSHG,2017-12-31,年度分红,2018-03-24,10派3.6元(含税),2018-04-14,10派3.6元(含税),2018-05-31,10派3.6元(含税),77625.035,3.6,3.6,27945.0126,2018-06-06,2018-06-07,2018-06-07,77625.035,313002,实施方案
601018,8979,300010907,宁波舟山港股份有限公司,601018.XSHG,2017-12-31,年度分红,2018-03-30,10派0.75元(含税),2018-04-20,10派0.75元(含税),2018-06-01,10派0.75元(含税),1317284.7809,0.75,0.75,98796.3586,2018-06-06,2018-06-07,2018-06-07,1317284.7809,313002,实施方案
601318,1966,300002221,中国平安保险(集团)股份有限公司,601318.XSHG,2017-12-31,年度分红,2018-03-21,10派12元(含税),2018-05-24,10派12元(含税),2018-05-31,10派12元(含税),1828024.1409999998,12.0,12.0,2193628.97,2018-06-06,2018-06-07,2018-06-07,1828024.1409999998,313002,实施方案
