,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600016,23089,420600016,中国民生银行股份有限公司,600016.XSHG,2013-06-30,中期分红,2013-08-29,10派1.58元(含税),2013-09-03,10派1.58元(含税),2836558.5227,1.58,1.501,448176.2466,2013-09-09,2013-09-10,2013-09-17,2836558.5227,313002,实施方案
600028,23303,420600028,中国石油化工股份有限公司,600028.XSHG,2013-06-30,中期分红,2013-08-26,10派0.9元(含税),2013-09-06,10派0.9元(含税),11656527.7972,0.9,0.855,1049087.5017,2013-09-11,2013-09-12,2013-09-17,11656527.7972,313002,实施方案
