,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000951,160869,430000951,中国重汽集团济南卡车股份有限公司,000951.XSHE,2012-12-31,年度分红,2013-03-27,10派0.3元(含税),41942.55,2013-04-26,10派0.3元(含税),41942.55,2013-05-22,10派0.3元(含税),41942.55,0.3,0.285,1258.2765,2013-05-27,2013-05-28,2013-05-28,41942.55,313002,实施方案
002038,163382,430002038,北京双鹭药业股份有限公司,002038.XSHE,2012-12-31,年度分红,2013-04-18,10送2股派2.5元(含税),38070.0,2013-05-17,10送2股派2.5元(含税),38070.0,2013-05-21,10送2股派2.5元(含税),38070.0,2.5,2.275,9517.5,2013-05-27,2013-05-28,2013-05-28,38070.0,313002,实施方案
002183,3657,300003828,深圳市怡亚通供应链股份有限公司,002183.XSHE,2012-12-31,年度分红,2013-04-26,10派0.5元(含税),98612.6241,2013-05-18,10派0.5元(含税),98612.6241,2013-05-22,10派0.5元(含税),98612.6241,0.5,0.475,4930.6312,2013-05-27,2013-05-28,2013-05-28,98612.6241,313002,实施方案
002353,8525,300010449,烟台杰瑞石油服务集团股份有限公司,002353.XSHE,2012-12-31,年度分红,2013-03-23,10转增3股派2.5元(含税),45927.2,2013-04-27,10转增3股派2.5元(含税),45927.2,2013-05-22,10转增3股派2.5元(含税),45927.2,2.5,2.375,11481.8,2013-05-27,2013-05-28,2013-05-28,45927.2,313002,实施方案
002385,9551,300011648,北京大北农科技集团股份有限公司,002385.XSHE,2012-12-31,年度分红,2013-04-09,10转增10股派1.8元(含税),80160.0,2013-05-10,10转增10股派1.8元(含税),80160.0,2013-05-22,10转增9.989711股派1.798148元(含税),80242.56,1.7981,1.7082,14428.7999,2013-05-27,2013-05-28,2013-05-28,80242.56,313002,实施方案
300033,6868,300008416,浙江核新同花顺网络信息股份有限公司,300033.XSHE,2012-12-31,年度分红,2013-04-22,10派0.6元（含税）,13440.0,2013-05-16,10派0.6元（含税）,13440.0,2013-05-20,10派0.6元（含税）,13440.0,0.6,0.6,806.4,2013-05-27,2013-05-28,2013-05-28,13440.0,313002,实施方案
600177,28299,420600177,雅戈尔集团股份有限公司,600177.XSHG,2012-12-31,年度分红,2013-03-26,10派5元(含税),222661.1695,2013-04-17,10派5元(含税),222661.1695,2013-05-17,10派5元(含税),222661.1695,5.0,4.75,111330.5848,2013-05-22,2013-05-23,2013-05-28,222661.1695,313002,实施方案
600219,29760,420600219,山东南山铝业股份有限公司,600219.XSHG,2012-12-31,年度分红,2013-03-20,10派1.2元(含税),193415.4495,2013-04-11,10派1.2元(含税),193415.4495,2013-05-16,10派1.2元(含税),193416.7644,1.2,1.14,23210.0117,2013-05-21,2013-05-22,2013-05-28,193416.7644,313002,实施方案
600438,36039,420600438,通威股份有限公司,600438.XSHG,2012-12-31,年度分红,2013-04-16,10派1元(含税),68752.0,2013-05-08,10派1元(含税),68752.0,2013-05-16,10派1元(含税),68752.0,1.0,0.95,6875.2,2013-05-21,2013-05-22,2013-05-28,68752.0,313002,实施方案
600535,38326,420600535,天士力医药集团股份有限公司,600535.XSHG,2012-12-31,年度分红,2013-04-02,10送10股派2元(含税),51642.1327,2013-04-25,10送10股派2元(含税),51642.1327,2013-05-16,10送10股派2元(含税),51642.1327,2.0,1.4,10328.4265,2013-05-21,2013-05-22,2013-05-28,51642.1327,313002,实施方案
600583,39655,420600583,海洋石油工程股份有限公司,600583.XSHG,2012-12-31,年度分红,2013-03-18,10派0.3元(含税),388944.0,2013-04-16,10派0.3元(含税),388944.0,2013-05-16,10派0.3元(含税),388944.0,0.3,0.285,11668.32,2013-05-21,2013-05-22,2013-05-28,388944.0,313002,实施方案
600820,138034,420600820,上海隧道工程股份有限公司,600820.XSHG,2012-12-31,年度分红,2013-04-20,10派2.7元(含税),129865.9332,2013-05-11,10派2.7元(含税),129865.9332,2013-05-17,10派2.7元(含税),129865.9332,2.7,2.565,35063.802,2013-05-22,2013-05-23,2013-05-28,129865.9332,313002,实施方案
600886,140781,420600886,国投电力控股股份有限公司,600886.XSHG,2012-12-31,年度分红,2013-04-12,10转增6股派0.8439元（含税）,374683.3301,2013-05-08,10转增6股派0.8439元（含税）,374683.3301,2013-05-16,10转增6股派0.8439元（含税）,374683.3301,0.8439,0.8017,31619.5262,2013-05-21,2013-05-22,2013-05-28,374683.3301,313002,实施方案
601888,6630,300008313,中国国旅股份有限公司,601888.XSHG,2012-12-31,年度分红,2013-04-08,10派3.5元(含税),88000.0,2013-05-09,10派3.5元(含税),88000.0,2013-05-16,10派3.5元(含税),88000.0,3.5,3.325,30800.0,2013-05-21,2013-05-22,2013-05-28,88000.0,313002,实施方案
