,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000060,144742,430000060,深圳市中金岭南有色金属股份有限公司,000060.XSHE,2011-12-31,年度分红,2012-03-30,10派0.72元(含税),206294.08800000002,2012-05-26,10派0.72元(含税),206294.08800000002,2012-07-14,10派0.72元(含税),206294.08800000002,0.72,14853.1743,2012-07-19,2012-07-20,2012-07-20,206294.08800000002,313002,实施方案
002038,163380,430002038,北京双鹭药业股份有限公司,002038.XSHE,2011-12-31,年度分红,2012-04-21,10派2元(含税),38070.0,2012-05-24,10派2元(含税),38070.0,2012-07-13,10派2元(含税),38070.0,2.0,7614.0,2012-07-19,2012-07-20,2012-07-20,38070.0,313002,实施方案
600153,27472,420600153,厦门建发股份有限公司,600153.XSHG,2011-12-31,年度分红,2012-04-11,10派1元(含税),223775.0741,2012-06-16,10派1元(含税),223775.0741,2012-07-11,10派1元(含税),223775.0741,1.0,22377.5074,2012-07-16,2012-07-17,2012-07-20,223775.0741,313002,实施方案
600315,32808,420600315,上海家化联合股份有限公司,600315.XSHG,2011-12-31,年度分红,2012-04-07,10派4元(含税),42301.1004,2012-05-30,10派4元(含税),42301.1004,2012-07-09,10派4元(含税),44836.1004,4.0,17934.4402,2012-07-13,2012-07-16,2012-07-20,44836.1004,313002,实施方案
600395,35132,420600395,贵州盘江精煤股份有限公司,600395.XSHG,2011-12-31,年度分红,2012-04-21,10转增5股派8.5元(含税),110336.7907,2012-05-26,10转增5股派8.5元(含税),110336.7907,2012-07-10,10转增5股派8.5元(含税),110336.7907,8.5,93786.2721,2012-07-13,2012-07-16,2012-07-20,110336.7907,313002,实施方案
600611,40684,420600611,大众交通(集团)股份有限公司,600611.XSHG,2011-12-31,年度分红,2012-03-29,10派0.7元(含税),157608.1909,2012-06-01,10派0.7元(含税),157608.1909,2012-07-03,10派0.7元(含税),157608.1909,0.7,11032.5734,2012-07-06,2012-07-09,2012-07-20,157608.1909,313002,实施方案
600770,136046,420600770,江苏综艺股份有限公司,600770.XSHG,2011-12-31,年度分红,2012-04-26,10转增5股派0.5元(含税),73640.0,2012-06-08,10转增5股派0.5元(含税),73640.0,2012-07-10,10转增5股派0.5元(含税),73640.0,0.5,3682.0,2012-07-13,2012-07-16,2012-07-20,73640.0,313002,实施方案
601001,142163,420601001,大同煤业股份有限公司,601001.XSHG,2011-12-31,年度分红,2012-04-16,10派1.9元(含税),167370.0,2012-05-30,10派1.9元(含税),167370.0,2012-07-09,10派1.9元(含税),167370.0,1.9,31800.3,2012-07-13,2012-07-16,2012-07-20,167370.0,313002,实施方案
601333,1378,300001741,广深铁路股份有限公司,601333.XSHG,2011-12-31,年度分红,2012-03-28,10派1元(含税),708353.7,2012-05-23,10派1元(含税),708353.7,2012-07-06,10派1元(含税),708353.7,1.0,70835.37,2012-07-11,2012-07-12,2012-07-20,708353.7,313002,实施方案
601718,11620,300013870,际华集团股份有限公司,601718.XSHG,2011-12-31,年度分红,2012-04-25,10派0.25元(含税),385700.0,2012-05-30,10派0.25元(含税),385700.0,2012-07-10,10派0.25元(含税),385700.0,0.25,9642.5,2012-07-13,2012-07-16,2012-07-20,385700.0,313002,实施方案
