,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,dividend_ratio,transfer_ratio,bonus_ratio_rmb,bonus_ratio_usd,bonus_ratio_hkd,at_bonus_ratio_rmb,exchange_rate,dividend_number,transfer_number,bonus_amount_rmb,a_registration_date,b_registration_date,a_xr_date,b_xr_baseday,b_final_trade_date,a_bonus_date,b_bonus_date,dividend_arrival_date,a_increment_listing_date,b_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,note,a_transfer_arrival_date,b_transfer_arrival_date,b_dividend_arrival_date,note_of_no_dividend,plan_progress_code,plan_progress,bonus_cancel_pub_date
0,138158,420600823,上海世茂股份有限公司,600823.XSHG,2010-06-30,,2010-08-13,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
1,138159,420600823,上海世茂股份有限公司,600823.XSHG,2010-12-31,年度分红,2011-03-12,不分配不转增,,2011-04-27,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
2,138160,420600823,上海世茂股份有限公司,600823.XSHG,2011-06-30,中期分红,2011-08-19,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
3,138161,420600823,上海世茂股份有限公司,600823.XSHG,2011-12-31,年度分红,2012-03-24,不分配不转增,,2012-04-27,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
4,138162,420600823,上海世茂股份有限公司,600823.XSHG,2012-06-30,中期分红,2012-08-28,10派1.6元(含税),117059.5338,2012-10-08,10派1.6元(含税),117059.5338,2012-11-20,10派1.6元(含税),117059.5338,,,1.6,,,,,,,18729.5254,2012-11-23,,2012-11-26,,,2012-11-29,,,,,117059.5338,,,,,,,,,313002,实施方案,
5,138163,420600823,上海世茂股份有限公司,600823.XSHG,2012-12-31,年度分红,2013-03-15,不分配不转增,,2013-06-29,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313003,股东大会预案,
6,138164,420600823,上海世茂股份有限公司,600823.XSHG,2013-06-30,中期分红,2013-07-31,10派0.9元(含税),117059.5338,2013-10-17,10派0.9元(含税),117059.5338,2013-12-02,10派0.9元(含税),117059.5338,,,0.9,,,0.855,,,,10535.358,2013-12-05,,2013-12-06,,,2013-12-12,,,,,117059.5338,,,,,,,,,313002,实施方案,
7,138165,420600823,上海世茂股份有限公司,600823.XSHG,2013-12-31,年度分红,2014-03-21,10派1.5元(含税),117059.5338,2014-04-16,10派1.5元(含税),117059.5338,2014-05-16,10派1.5元(含税),117059.5338,,,1.5,,,1.425,,,,17558.9301,2014-05-21,,2014-05-22,,,2014-05-28,,,,,117059.5338,,,,,,,,,313002,实施方案,
8,138166,420600823,上海世茂股份有限公司,600823.XSHG,2014-06-30,中期分红,2014-08-20,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
9,138167,420600823,上海世茂股份有限公司,600823.XSHG,2014-12-31,年度分红,2015-03-26,10转增5股派1.7元(含税),117241.5338,2015-05-27,10转增5股派1.7元(含税),117241.5338,2015-05-29,10转增5股派1.7元(含税),117241.5338,,5.0,1.7,,,1.615,,,58620.7669,19931.0607,2015-06-03,,2015-06-04,,,2015-06-04,,,2015-06-05,,117241.5338,175862.3007,117241.5338,175862.3007,,,,,,313002,实施方案,
10,138168,420600823,上海世茂股份有限公司,600823.XSHG,2015-06-30,中期分红,2015-08-21,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
11,138169,420600823,上海世茂股份有限公司,600823.XSHG,2015-12-31,年度分红,2016-03-23,10转增4股派1.1元(含税),191386.1358,2016-05-24,10转增4股派1.1元(含税),191386.1358,2016-06-07,10转增4股派1.1元(含税),191386.1358,,4.0,1.1,,,1.1,,,76554.4543,21052.4749,2016-06-15,,2016-06-16,,,2016-06-16,,,2016-06-17,,191386.1358,267940.5901,176219.3007,246707.021,,,,,,313002,实施方案,
12,138170,420600823,上海世茂股份有限公司,600823.XSHG,2016-06-30,中期分红,2016-08-24,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
13,138171,420600823,上海世茂股份有限公司,600823.XSHG,2016-12-31,年度分红,2017-03-25,10转增4股派0.8元(含税),267940.5901,2017-05-10,10转增4股派0.8元(含税),267940.5901,2017-05-18,10转增4股派0.8元(含税),267940.5901,,4.0,0.8,,,0.8,,,107176.236,21435.2472,2017-05-23,,2017-05-24,,,2017-05-24,,,2017-05-25,,267940.5901,375116.8261,267940.5901,375116.8261,,,,,,313002,实施方案,
14,138172,420600823,上海世茂股份有限公司,600823.XSHG,2017-06-30,中期分红,2017-08-24,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
15,43853,420600823,上海世茂股份有限公司,600823.XSHG,2017-12-31,年度分红,2018-03-23,10派0.6元(含税),375116.8261,2018-05-24,10派0.6元(含税),375116.8261,2018-06-29,10派0.6元(含税),375116.8261,,,0.6,,,0.6,,,,22507.0096,2018-07-05,,2018-07-06,,,2018-07-06,,,,,375116.8261,,,,,,,,,313002,实施方案,
16,166113,420600823,上海世茂股份有限公司,600823.XSHG,2018-06-30,中期分红,2018-08-23,不分配不转增,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
17,169255,420600823,上海世茂股份有限公司,600823.XSHG,2018-12-31,年度分红,2019-03-22,10派2.6元(含税),375116.8261,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,313001,董事会预案,
