,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,implementation_pub_date,implementation_bonusnote,bonus_ratio_rmb,at_bonus_ratio_rmb,a_registration_date,a_xr_date,a_bonus_date,plan_progress_code,plan_progress
002568,14667,300018893,上海百润投资控股集团股份有限公司,002568.XSHE,2014-06-30,中期分红,2014-08-21,10派3元(含税),2014-09-17,10派3元(含税),3.0,2.85,2014-09-23,2014-09-24,2014-09-24,313002,实施方案
600028,23305,420600028,中国石油化工股份有限公司,600028.XSHG,2014-06-30,中期分红,2014-08-23,10派0.9元(含税),2014-09-18,10派0.9元(含税),0.9,0.9,2014-09-23,2014-09-24,2014-09-24,313002,实施方案
