day,market_cap
2016-08-16,281.1178
2016-08-17,309.1606
2016-08-18,340.1916
2016-08-19,374.2108
2016-08-22,411.6778
2016-08-23,452.8226
2016-08-24,472.5905
2016-08-25,477.4175
2016-08-26,450.0643
2016-08-29,429.1471
2016-08-30,427.9978
2016-08-31,445.69699999999995
2016-09-01,427.9978
2016-09-02,426.6187
2016-09-05,411.44800000000004
2016-09-06,414.2063
2016-09-07,407.0806
2016-09-08,408.0001
2016-09-09,402.9432
2016-09-12,390.3009
2016-09-13,397.6564
2016-09-14,393.5189
2016-09-19,397.1967
2016-09-20,390.9905
2016-09-21,388.462
2016-09-22,388.9217
2016-09-23,376.5094
2016-09-26,358.8102
2016-09-27,357.431
2016-09-28,351.6846
2016-09-29,351.4547
2016-09-30,345.9381
2016-10-10,354.4429
2016-10-11,355.3623
2016-10-12,352.1443
2016-10-13,350.5353
2016-10-14,352.60400000000004
2016-10-17,341.8006
2016-10-18,348.0068
2016-10-19,344.5589
2016-10-20,345.7082
2016-10-21,348.2367
2016-10-24,357.6609
2016-10-25,357.8908
2016-10-26,351.2248
2016-10-27,351.9144
2016-10-28,361.3386
2016-10-31,369.3837
2016-11-01,367.0851
2016-11-02,362.9477
2016-11-03,365.4761
2016-11-04,360.4192
2016-11-07,360.1894
2016-11-08,364.7865
2016-11-09,356.7415
2016-11-10,368.6941
2016-11-11,375.5899
2016-11-14,381.3364
2016-11-15,375.5899
2016-11-16,373.751
2016-11-17,376.7392
2016-11-18,371.9122
2016-11-21,373.751
2016-11-22,375.8198
2016-11-23,376.9691
2016-11-24,384.3246
2016-11-25,385.7037
2016-11-28,399.0356
2016-11-29,393.9787
2016-11-30,381.3364
2016-12-01,387.7725
2016-12-02,382.4857
2016-12-05,375.8198
2016-12-06,375.1302
2016-12-07,382.9454
2016-12-08,388.2322
2016-12-09,400.4147
2016-12-12,398.8057
2016-12-13,396.5071
2016-12-14,411.6778
2016-12-15,396.5071
2016-12-16,395.8175
2016-12-19,385.7037
2016-12-20,369.3837
2016-12-21,373.9809
2016-12-22,376.9691
2016-12-23,362.9477
2016-12-26,370.7629
2016-12-27,368.4643
2016-12-28,362.2581
2016-12-29,361.5685
2016-12-30,362.7178
2017-01-03,373.9809
2017-01-04,375.1302
2017-01-05,374.6705
2017-01-06,365.0164
2017-01-09,367.0851
2017-01-10,364.097
2017-01-11,360.4192
2017-01-12,348.9263
2017-01-13,349.38599999999997
2017-01-16,350.995
2017-01-17,350.7651
2017-01-18,352.1443
2017-01-19,351.6846
2017-01-20,356.9713
2017-01-23,355.82199999999995
2017-01-24,356.2817
2017-01-25,356.5116
2017-01-26,367.5448
2017-02-03,362.2581
2017-02-06,367.0851
2017-02-07,365.2463
2017-02-08,369.8434
2017-02-09,371.9122
2017-02-10,375.5899
2017-02-13,389.8412
2017-02-14,386.6232
2017-02-15,391.6801
2017-02-16,399.7251
2017-02-17,384.7843
2017-02-20,410.9882
2017-02-21,405.4716
2017-02-22,403.4029
2017-02-23,409.1494
2017-02-24,406.6209
2017-02-27,399.4953
2017-02-28,415.1257
2017-03-01,406.39099999999996
2017-03-02,410.5285
2017-03-03,399.2654
2017-03-06,403.8626
2017-03-07,413.7465
2017-03-08,412.3674
2017-03-09,408.6896
2017-03-10,400.1848
2017-03-13,401.3341
2017-03-14,398.346
2017-03-15,398.5758
2017-03-16,411.44800000000004
2017-03-17,400.4147
2017-03-20,403.6327
2017-03-21,402.4834
2017-03-22,393.2891
2017-03-23,394.6682
2017-03-24,391.4502
2017-03-27,394.2085
2017-03-28,396.73699999999997
2017-03-29,389.8412
2017-03-30,382.7156
2017-03-31,402.0237
2017-04-05,393.2891
2017-04-06,392.3696
2017-04-07,390.7606
2017-04-10,386.853
2017-04-11,393.5189
2017-04-12,388.462
2017-04-13,387.0829
2017-04-14,375.5899
2017-04-17,365.4761
2017-04-18,360.1894
2017-04-19,364.7865
2017-04-20,356.9713
2017-04-21,360.6491
2017-04-24,360.4192
2017-04-25,367.0851
2017-04-26,365.70599999999996
2017-04-27,367.315
2017-04-28,361.1088
2017-05-02,360.1894
2017-05-03,361.1088
2017-05-04,358.8102
2017-05-05,349.38599999999997
2017-05-08,340.8812
2017-05-09,353.2936
2017-05-10,362.7178
2017-05-11,364.5567
2017-05-12,371.6823
2017-05-15,367.5448
2017-05-16,366.1657
2017-05-17,365.9358
2017-05-18,353.5234
2017-05-19,352.1443
2017-05-22,345.9381
2017-05-23,354.213
2017-05-24,348.2367
2017-05-25,359.7296
2017-05-26,355.82199999999995
2017-05-31,352.8339
2017-06-01,357.8908
2017-06-02,365.0164
2017-06-05,361.5685
2017-06-06,362.9477
2017-06-07,368.0046
2017-06-08,364.097
2017-06-09,362.7178
2017-06-12,362.0282
2017-06-13,363.8671
2017-06-14,350.7651
2017-06-15,352.60400000000004
2017-06-16,348.2367
2017-06-19,351.2248
2017-06-20,350.5353
2017-06-21,353.0637
2017-06-22,365.9358
2017-06-23,365.2463
2017-06-26,365.2463
2017-06-27,368.92400000000004
2017-06-28,366.1657
2017-06-29,365.9358
2017-06-30,363.4074
2017-07-03,364.5567
2017-07-04,358.5803
2017-07-05,362.0282
2017-07-06,358.3505
2017-07-07,359.4998
2017-07-10,357.8908
2017-07-11,363.4074
2017-07-12,360.1894
2017-07-13,367.315
2017-07-14,368.2344
2017-07-17,373.5212
2017-07-18,371.4525
2017-07-19,377.4288
2017-07-20,375.1302
2017-07-21,369.3837
2017-07-24,371.6823
2017-07-25,365.0164
2017-07-26,361.1088
2017-07-27,362.2581
2017-07-28,361.1088
2017-07-31,354.9026
2017-08-01,359.4998
2017-08-02,359.0401
2017-08-03,354.213
2017-08-04,352.60400000000004
2017-08-07,354.9026
2017-08-08,353.5234
2017-08-09,349.38599999999997
2017-08-10,350.995
2017-08-11,343.4096
2017-08-14,344.5589
2017-08-15,345.4784
2017-08-16,346.6277
2017-08-17,346.8575
2017-08-18,348.2367
2017-08-21,349.6158
2017-08-22,347.777
