,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600428.XSHG,420600428,中远海运特种运输股份有限公司,600428.XSHG,2010-12-31,年度分红,2011-04-19,10派0.4元(含税),131042.36,2011-06-30,10派0.4元(含税),131042.36,2011-08-18,10派0.4元(含税),169044.6393,0.4,6761.7856,2011-08-23,2011-08-24,2011-08-29,169044.6393,313002,实施方案
600832.XSHG,420600832,上海东方明珠(集团)股份有限公司,600832.XSHG,2010-12-31,年度分红,2011-04-21,10派1元(含税),318633.4874,2011-06-30,10派1元(含税),318633.4874,2011-08-17,10派1元(含税),318633.4874,1.0,31863.3487,2011-08-22,2011-08-23,2011-08-29,318633.4874,313002,实施方案
