,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002081.XSHE,300001283,苏州金螳螂建筑装饰股份有限公司,002081.XSHE,2011-12-31,年度分红,2012-04-18,10转增5股派2元(含税),51824.705,2012-05-09,10转增5股派2元(含税),51824.705,2012-05-15,10转增5股派2元(含税),51824.705,2.0,10364.940999999999,2012-05-21,2012-05-22,2012-05-22,51824.705,313002,实施方案
600010.XSHG,420600010,内蒙古包钢钢联股份有限公司,600010.XSHG,2011-12-31,年度分红,2012-02-29,10派0.3元(含税),642364.3659,2012-04-14,10派0.3元(含税),642364.3659,2012-05-11,10派0.3元(含税),642364.3659,0.3,19270.931,2012-05-16,2012-05-17,2012-05-22,642364.3659,313002,实施方案
600500.XSHG,420600500,中化国际(控股)股份有限公司,600500.XSHG,2011-12-31,年度分红,2012-03-10,10派1.5元(含税),143758.9571,2012-03-31,10派1.5元(含税),143758.9571,2012-05-10,10派1.5元(含税),143758.9571,1.5,21563.8436,2012-05-15,2012-05-16,2012-05-22,143758.9571,313002,实施方案
600597.XSHG,420600597,光明乳业股份有限公司,600597.XSHG,2011-12-31,年度分红,2012-03-27,10派1.5元(含税),104919.336,2012-04-28,10派1.5元(含税),104919.336,2012-05-10,10派1.5元(含税),104919.336,1.5,15737.9004,2012-05-15,2012-05-16,2012-05-22,104919.336,313002,实施方案
600633.XSHG,420600633,浙报数字文化集团股份有限公司,600633.XSHG,2011-12-31,年度分红,2012-04-06,10派2元(含税),42973.3729,2012-05-03,10派2元(含税),42973.3729,2012-05-10,10派2元(含税),42973.3729,2.0,8594.6746,2012-05-15,2012-05-16,2012-05-22,42973.3729,313002,实施方案
601519.XSHG,300017431,上海大智慧股份有限公司,601519.XSHG,2011-12-31,年度分红,2012-04-07,10转增10股派1元(含税),69500.0,2012-04-28,10转增10股派1元(含税),69500.0,2012-05-12,10转增10股派1元(含税),69500.0,1.0,6950.0,2012-05-16,2012-05-17,2012-05-22,69500.0,313002,实施方案
