,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000729.XSHE,430000729,北京燕京啤酒股份有限公司,000729.XSHE,2017-12-31,年度分红,2018-04-28,10派0.2元(含税),2018-05-26,10派0.2元(含税),2018-07-06,10派0.2元(含税),281853.9341,0.2,0.2,5637.0787,2018-07-12,2018-07-13,2018-07-13,281853.9341,313002,实施方案
000876.XSHE,430000876,新希望六和股份有限公司,000876.XSHE,2017-12-31,年度分红,2018-04-28,10派1.5元(含税),2018-05-23,10派1.5元(含税),2018-07-06,10派1.5元(含税),421601.5009,1.5,1.5,63240.2251,2018-07-12,2018-07-13,2018-07-13,421601.5009,313002,实施方案
002310.XSHE,300009031,北京东方园林环境股份有限公司,002310.XSHE,2017-12-31,年度分红,2018-04-20,10派0.65元(含税),2018-05-17,10派0.65元(含税),2018-07-06,10派0.65元(含税),268277.8484,0.65,0.65,17438.0601,2018-07-12,2018-07-13,2018-07-13,268277.8484,313002,实施方案
300072.XSHE,300011371,北京三聚环保新材料股份有限公司,300072.XSHE,2017-12-31,年度分红,2018-04-20,10转增3股派1元(含税),2018-05-15,10转增3股派1元(含税),2018-07-06,10转增3股派1元(含税),180807.9963,1.0,1.0,18080.7996,2018-07-12,2018-07-13,2018-07-13,180807.9963,313002,实施方案
600000.XSHG,420600000,上海浦东发展银行股份有限公司,600000.XSHG,2017-12-31,年度分红,2018-04-28,10派1元(含税),2018-05-29,10派1元(含税),2018-07-06,10派1元(含税),2935208.0397,1.0,1.0,293520.804,2018-07-12,2018-07-13,2018-07-13,2935208.0397,313002,实施方案
600004.XSHG,420600004,广州白云国际机场股份有限公司,600004.XSHG,2017-12-31,年度分红,2018-04-21,10派2.4元(含税),2018-05-26,10派2.4元(含税),2018-07-06,10派2.4元(含税),206932.0514,2.4,2.4,49663.6923,2018-07-12,2018-07-13,2018-07-13,206932.0514,313002,实施方案
600026.XSHG,420600026,中远海运能源运输股份有限公司,600026.XSHG,2017-12-31,年度分红,2018-03-29,10派0.5元(含税),2018-06-29,10派0.5元(含税),2018-07-06,10派0.5元(含税),403203.2861,0.5,0.5,20160.1643,2018-07-12,2018-07-13,2018-07-13,403203.2861,313002,实施方案
600208.XSHG,420600208,新湖中宝股份有限公司,600208.XSHG,2017-12-31,年度分红,2018-04-28,10派0.57元(含税),2018-05-19,10派0.57元(含税),2018-07-07,10派0.57元(含税),859934.3536,0.57,0.57,49016.2582,2018-07-12,2018-07-13,2018-07-13,859934.3536,313002,实施方案
600518.XSHG,420600518,康美药业股份有限公司,600518.XSHG,2017-12-31,年度分红,2018-04-26,10派2.35元(含税),2018-05-18,10派2.35元(含税),2018-07-09,10派2.35元(含税),497386.1675,2.35,2.35,116885.7494,2018-07-12,2018-07-13,2018-07-13,497386.1675,313002,实施方案
600648.XSHG,420600648,上海外高桥集团股份有限公司,600648.XSHG,2017-12-31,年度分红,2018-04-27,10派2元(含税),2018-06-08,10派2元(含税),2018-07-06,10派2元(含税),113534.9124,2.0,2.0,22706.9825,2018-07-12,2018-07-13,2018-07-13,113534.9124,313002,实施方案
601398.XSHG,450000019,中国工商银行股份有限公司,601398.XSHG,2017-12-31,年度分红,2018-03-28,10派2.408元(含税),2018-06-27,10派2.408元(含税),2018-07-06,10派2.408元(含税),35640625.7089,2.408,2.408,8582262.6707,2018-07-12,2018-07-13,2018-07-13,35640625.7089,313002,实施方案
601717.XSHG,300013667,郑州煤矿机械集团股份有限公司,601717.XSHG,2017-12-31,年度分红,2018-03-30,10派0.5元(含税),2018-06-21,10派0.5元(含税),2018-07-09,10派0.5元(含税),173247.137,0.5,0.5,8662.3569,2018-07-12,2018-07-13,2018-07-13,173247.137,313002,实施方案
601872.XSHG,300001441,招商局能源运输股份有限公司,601872.XSHG,2017-12-31,年度分红,2018-03-28,10派0.35元(含税),2018-06-23,10派0.35元(含税),2018-07-06,10派0.35元(含税),529945.8112,0.35,0.35,18548.1034,2018-07-12,2018-07-13,2018-07-13,529945.8112,313002,实施方案
601988.XSHG,450000028,中国银行股份有限公司,601988.XSHG,2017-12-31,年度分红,2018-03-30,10派1.76元(含税),2018-06-29,10派1.76元(含税),2018-07-06,10派1.76元(含税),29438779.1241,1.76,1.76,5181225.1258,2018-07-12,2018-07-13,2018-07-13,29438779.1241,313002,实施方案
