,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600340.XSHG,420600340,华夏幸福基业股份有限公司,600340.XSHG,2013-06-30,中期分红,2013-08-27,10送5股派1.5元(含税),88191.981,2013-09-27,10送5股派1.5元(含税),88191.981,1.5,1.175,13228.7972,2013-10-09,2013-10-10,2013-10-15,88191.981,313002,实施方案
601238.XSHG,300006006,广州汽车集团股份有限公司,601238.XSHG,2013-06-30,中期分红,2013-08-30,10派0.6元(含税),643502.0097,2013-09-25,10派0.6元(含税),643502.0097,0.6,0.57,38610.1206,2013-09-30,2013-10-08,2013-10-15,643502.0097,313002,实施方案
