,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,shareholders_plan_pub_date,shareholders_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000793.XSHE,430000793,华闻传媒投资集团股份有限公司,000793.XSHE,2015-12-31,年度分红,2016-03-26,10派0.45元(含税),2016-04-27,10派0.45元(含税),2016-06-01,10派0.45元(含税),205122.8683,0.45,0.45,9230.5291,2016-06-07,2016-06-08,2016-06-08,205122.8683,313002,实施方案
000900.XSHE,430000900,现代投资股份有限公司,000900.XSHE,2015-12-31,年度分红,2016-03-23,10派0.4元(含税),2016-04-16,10派0.4元(含税),2016-06-01,10派0.4元(含税),101188.5556,0.4,0.4,4047.5422,2016-06-07,2016-06-08,2016-06-08,101188.5556,313002,实施方案
002001.XSHE,430002001,浙江新和成股份有限公司,002001.XSHE,2015-12-31,年度分红,2016-04-19,10派2元(含税),2016-05-18,10派2元(含税),2016-06-02,10派2元(含税),108891.9,2.0,2.0,21778.38,2016-06-07,2016-06-08,2016-06-08,108891.9,313002,实施方案
002410.XSHE,300012609,广联达科技股份有限公司,002410.XSHE,2015-12-31,年度分红,2016-03-31,10派2元(含税),2016-04-22,10派2元(含税),2016-06-02,10股派2.016127元(含税),111936.1939,2.0161,2.0161,22567.7583,2016-06-07,2016-06-08,2016-06-08,111936.1939,313002,实施方案
600019.XSHG,420600019,宝山钢铁股份有限公司,600019.XSHG,2015-12-31,年度分红,2016-03-31,10派0.6元（含税）,2016-04-29,10派0.6元（含税）,2016-06-02,10派0.6元（含税）,1646692.7224,0.6,0.6,98801.5633,2016-06-07,2016-06-08,2016-06-08,1646692.7224,313002,实施方案
600033.XSHG,420600033,福建发展高速公路股份有限公司,600033.XSHG,2015-12-31,年度分红,2016-04-23,10派1元(含税),2016-05-14,10派1元(含税),2016-06-01,10派1元(含税),274440.0,1.0,1.0,27444.0,2016-06-07,2016-06-08,2016-06-08,274440.0,313002,实施方案
600109.XSHG,420600109,国金证券股份有限公司,600109.XSHG,2015-12-31,年度分红,2016-03-21,10派0.8元(含税),2016-04-14,10派0.8元(含税),2016-06-02,10派0.8元(含税),302435.93100000004,0.8,0.8,24194.8745,2016-06-07,2016-06-08,2016-06-08,302435.93100000004,313002,实施方案
600177.XSHG,420600177,雅戈尔集团股份有限公司,600177.XSHG,2015-12-31,年度分红,2016-04-29,10派8元(含税),2016-05-20,10派8元(含税),2016-06-02,10派8元(含税),255817.6681,8.0,8.0,204654.1345,2016-06-07,2016-06-08,2016-06-08,255817.6681,313002,实施方案
600352.XSHG,420600352,浙江龙盛集团股份有限公司,600352.XSHG,2015-12-31,年度分红,2016-04-21,10派1.5元(含税),2016-05-12,10派1.5元(含税),2016-06-02,10派1.5元(含税),325333.186,1.5,1.5,48799.9779,2016-06-07,2016-06-08,2016-06-08,325333.186,313002,实施方案
600481.XSHG,420600481,双良节能系统股份有限公司,600481.XSHG,2015-12-31,年度分红,2016-04-22,10派1元(含税),2016-05-19,10派1元(含税),2016-06-01,10派1元(含税),162049.5808,1.0,1.0,16204.9581,2016-06-07,2016-06-08,2016-06-08,162049.5808,313002,实施方案
