,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000027.XSHE,430000027,深圳能源集团股份有限公司,000027.XSHE,2015-12-31,年度分红,2016-04-15,10派2元(含税),396449.1597,2016-05-27,10派2元(含税),396449.1597,2016-06-22,10派2元(含税),396449.1597,2.0,2.0,79289.8319,2016-06-27,2016-06-28,2016-06-28,396449.1597,313002,实施方案
000539.XSHE,430000539,广东电力发展股份有限公司,000539.XSHE,2015-12-31,年度分红,2016-04-30,10派2.3元(含税),525028.3986,2016-05-21,10派2.3元(含税),525028.3986,2016-06-22,10派2.3元(含税),525028.3986,2.3,2.3,120756.5317,2016-06-27,2016-06-28,2016-06-28,525028.3986,313002,实施方案
000625.XSHE,430000625,重庆长安汽车股份有限公司,000625.XSHE,2015-12-31,年度分红,2016-04-19,10派6.4元(含税),466288.6108,2016-05-25,10派6.4元(含税),466288.6108,2016-06-21,10派6.4元(含税),466288.6108,6.4,6.4,298424.7109,2016-06-27,2016-06-28,2016-06-28,466288.6108,313002,实施方案
000725.XSHE,430000725,京东方科技集团股份有限公司,000725.XSHE,2015-12-31,年度分红,2016-04-26,10派0.1元(含税),3515306.7743,2016-05-21,10派0.1元(含税),3515306.7743,2016-06-22,10派0.1元(含税),3515306.7743,0.1,0.1,35153.0677,2016-06-27,2016-06-28,2016-06-28,3515306.7743,313002,实施方案
000826.XSHE,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2015-12-31,年度分红,2016-04-05,10派1.5元(含税),85429.758,2016-05-06,10派1.5元(含税),85429.758,2016-06-22,10派1.5元(含税),85429.758,1.5,1.5,12814.4637,2016-06-27,2016-06-28,2016-06-28,85429.758,313002,实施方案
000876.XSHE,430000876,新希望六和股份有限公司,000876.XSHE,2015-12-31,年度分红,2016-04-28,10转增10股派5.5元(含税),208411.7292,2016-05-27,10转增10股派5.5元(含税),208411.7292,2016-06-21,10转增10股派5.5元(含税),208411.7292,5.5,5.5,114626.4511,2016-06-27,2016-06-28,2016-06-28,208411.7292,313002,实施方案
002498.XSHE,300015674,青岛汉缆股份有限公司,002498.XSHE,2015-12-31,年度分红,2016-04-22,10派0.35元(含税),332679.6,2016-05-19,10派0.35元(含税),332679.6,2016-06-21,10派0.35元(含税),332679.6,0.35,0.35,11643.786,2016-06-27,2016-06-28,2016-06-28,332679.6,313002,实施方案
600123.XSHG,420600123,山西兰花科技创业股份有限公司,600123.XSHG,2015-12-31,年度分红,2016-04-26,10派1元(含税),114240.0,2016-05-26,10派1元(含税),114240.0,2016-06-22,10派1元(含税),114240.0,1.0,1.0,11424.0,2016-06-27,2016-06-28,2016-06-28,114240.0,313002,实施方案
600597.XSHG,420600597,光明乳业股份有限公司,600597.XSHG,2015-12-31,年度分红,2016-04-19,10派1.2元(含税),123063.6739,2016-05-21,10派1.2元(含税),123063.6739,2016-06-21,10派1.2元(含税),123063.6739,1.2,1.2,14767.6409,2016-06-27,2016-06-28,2016-06-28,123063.6739,313002,实施方案
601198.XSHG,300008427,东兴证券股份有限公司,601198.XSHG,2015-12-31,年度分红,2016-03-05,10派2.5元(含税),250400.0,2016-06-01,10派2.5元(含税),250400.0,2016-06-21,10派2.5元(含税),250400.0,2.5,2.5,62600.0,2016-06-27,2016-06-28,2016-06-28,250400.0,313002,实施方案
