,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000031.XSHE,430000031,中粮地产(集团)股份有限公司,000031.XSHE,2012-12-31,年度分红,2013-03-30,10派0.3元(含税),181373.1596,2013-05-11,10派0.3元(含税),181373.1596,2013-06-24,10派0.3元(含税),181373.1596,0.3,0.285,5441.1948,2013-06-27,2013-06-28,2013-06-28,181373.1596,313002,实施方案
600005.XSHG,420600005,武汉钢铁股份有限公司,600005.XSHG,2012-12-31,年度分红,2013-04-27,10派0.1元(含税),1009377.9823,2013-05-22,10派0.1元(含税),1009377.9823,2013-06-14,10派0.1元(含税),1009377.9823,0.1,0.095,10093.7798,2013-06-20,2013-06-21,2013-06-28,1009377.9823,313002,实施方案
600100.XSHG,420600100,同方股份有限公司,600100.XSHG,2012-12-31,年度分红,2013-04-23,10派1元(含税),198770.1108,2013-05-16,10派1元(含税),198770.1108,2013-06-18,10派1元(含税),198770.1108,1.0,0.95,19877.0111,2013-06-21,2013-06-24,2013-06-28,198770.1108,313002,实施方案
600415.XSHG,420600415,浙江中国小商品城集团股份有限公司,600415.XSHG,2012-12-31,年度分红,2013-03-22,10派1元(含税),272160.7088,2013-04-26,10派1元(含税),272160.7088,2013-06-19,10派1元(含税),272160.7088,1.0,0.95,27216.0709,2013-06-24,2013-06-25,2013-06-28,272160.7088,313002,实施方案
600754.XSHG,420600754,上海锦江国际酒店发展股份有限公司,600754.XSHG,2012-12-31,年度分红,2013-03-28,10派3.7元(含税),60324.074,2013-05-29,10派3.7元(含税),60324.074,2013-06-06,10派3.7元(含税),60324.074,3.7,3.515,22319.9074,2013-06-14,2013-06-17,2013-06-28,60324.074,313002,实施方案
600816.XSHG,420600816,安信信托股份有限公司,600816.XSHG,2012-12-31,年度分红,2013-03-07,10派1元(含税),45410.9778,2013-06-01,10派1元(含税),45410.9778,2013-06-18,10派1元(含税),45410.9778,1.0,0.95,4541.0978,2013-06-21,2013-06-24,2013-06-28,45410.9778,313002,实施方案
600881.XSHG,420600881,吉林亚泰(集团)股份有限公司,600881.XSHG,2012-12-31,年度分红,2013-04-17,10派1元(含税),189473.2058,2013-05-11,10派1元(含税),189473.2058,2013-06-19,10派1元(含税),189473.2058,1.0,0.95,18947.3206,2013-06-24,2013-06-25,2013-06-28,189473.2058,313002,实施方案
601555.XSHG,460000325,东吴证券股份有限公司,601555.XSHG,2012-12-31,年度分红,2013-04-02,10派0.5元(含税),200000.0,2013-05-10,10派0.5元(含税),200000.0,2013-06-18,10派0.5元(含税),200000.0,0.5,0.475,10000.0,2013-06-21,2013-06-24,2013-06-28,200000.0,313002,实施方案
601666.XSHG,300001301,平顶山天安煤业股份有限公司,601666.XSHG,2012-12-31,年度分红,2013-04-23,10派1.43元(含税),236116.4982,2013-05-18,10派1.43元(含税),236116.4982,2013-06-14,10派1.43元(含税),236116.4982,1.43,1.3585,33764.6592,2013-06-19,2013-06-20,2013-06-28,236116.4982,313002,实施方案
603993.XSHG,410003993,洛阳栾川钼业集团股份有限公司,603993.XSHG,2012-12-31,年度分红,2013-03-15,10派1.2元(含税),507617.0525,2013-06-08,10派1.2元(含税),507617.0525,2013-06-19,10派1.2元(含税),507617.0525,1.2,1.14,60914.0463,2013-06-24,2013-06-25,2013-06-28,507617.0525,313002,实施方案
