,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000046.XSHE,430000046,泛海控股股份有限公司,000046.XSHE,2010-12-31,年度分红,2011-04-16,10送2转增8股派0.5元(含税),227865.5884,2011-05-21,10送2转增8股派0.5元(含税),227865.5884,2011-07-12,10送2转增8股派0.5元(含税),227865.5884,0.5,11393.2794,2011-07-15,2011-07-18,2011-07-18,227865.5884,313002,实施方案
600085.XSHG,420600085,北京同仁堂股份有限公司,600085.XSHG,2010-12-31,年度分红,2011-03-22,10送5转增10股派3.5元(含税),52082.6278,2011-06-25,10送5转增10股派3.5元(含税),52082.6278,2011-07-06,10送5转增10股派3.5元(含税),52082.6278,3.5,18228.9197,2011-07-11,2011-07-12,2011-07-18,52082.6278,313002,实施方案
600153.XSHG,420600153,厦门建发股份有限公司,600153.XSHG,2010-12-31,年度分红,2011-04-08,10派1元(含税),223775.0741,2011-05-21,10派1元(含税),223775.0741,2011-07-06,10派1元(含税),223775.0741,1.0,22377.5074,2011-07-11,2011-07-12,2011-07-18,223775.0741,313002,实施方案
600674.XSHG,420600674,四川川投能源股份有限公司,600674.XSHG,2010-12-31,年度分红,2011-04-20,10派0.36元(含税),93292.1505,2011-05-20,10派0.36元(含税),93292.1505,2011-07-07,10派0.36元(含税),93292.1505,0.36,3358.5174,2011-07-12,2011-07-13,2011-07-18,93292.1505,313002,实施方案
600808.XSHG,420600808,马鞍山钢铁股份有限公司,600808.XSHG,2010-12-31,年度分红,2011-03-23,10派0.5元(含税),770068.1186,2011-06-16,10派0.5元(含税),770068.1186,2011-07-06,10派0.5元(含税),770068.1186,0.5,38503.4059,2011-07-11,2011-07-12,2011-07-18,770068.1186,313002,实施方案
