,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
002074.XSHE,300001001,国轩高科股份有限公司,002074.XSHE,2010-12-31,年度分红,2011-04-19,10送3转增5股派0.8元(含税),14076.0,2011-05-11,10送3转增5股派0.8元(含税),14076.0,2011-06-10,10送3转增5股派0.8元(含税),14076.0,0.8,1126.08,2011-06-16,2011-06-17,2011-06-17,14076.0,313002,实施方案
002174.XSHE,300003663,游族网络股份有限公司,002174.XSHE,2010-12-31,年度分红,2011-03-31,10派0.5元(含税),8293.9921,2011-04-23,10派0.5元(含税),8293.9921,2011-06-10,10派0.5元(含税),8293.9921,0.5,414.6996,2011-06-16,2011-06-17,2011-06-17,8293.9921,313002,实施方案
002555.XSHE,300018279,芜湖顺荣三七互娱网络科技股份有限公司,002555.XSHE,2010-12-31,年度分红,2011-04-18,10送10股派2元(含税),6700.0,2011-05-21,10送10股派2元(含税),6700.0,2011-06-13,10送10股派2元(含税),6700.0,2.0,1340.0,2011-06-16,2011-06-17,2011-06-17,6700.0,313002,实施方案
600026.XSHG,420600026,中远海运能源运输股份有限公司,600026.XSHG,2010-12-31,年度分红,2011-03-17,10派1.7元(含税),340455.227,2011-05-28,10派1.7元(含税),340455.227,2011-06-07,10派1.7元(含税),340455.227,1.7,57877.3886,2011-06-10,2011-06-13,2011-06-17,340455.227,313002,实施方案
600157.XSHG,420600157,永泰能源股份有限公司,600157.XSHG,2010-12-31,年度分红,2011-04-26,10送0.3935转增4.7219股派0.0787元(含税),29554.4632,2011-06-01,10送0.3935转增4.7219股派0.0787元(含税),29554.4632,2011-06-08,10送0.3935转增4.7219股派0.0787元(含税),37554.4632,0.0787,295.5536,2011-06-13,2011-06-14,2011-06-17,37554.4632,313002,实施方案
600216.XSHG,420600216,浙江医药股份有限公司,600216.XSHG,2010-12-31,年度分红,2011-04-09,10派7元(含税),45006.0,2011-05-28,10派7元(含税),45006.0,2011-06-07,10派7元(含税),45006.0,7.0,31504.2,2011-06-10,2011-06-13,2011-06-17,45006.0,313002,实施方案
600239.XSHG,420600239,云南城投置业股份有限公司,600239.XSHG,2010-12-31,年度分红,2011-04-23,10送3股派0.34元(含税),63340.7064,2011-05-19,10送3股派0.34元(含税),63340.7064,2011-06-07,10送3股派0.34元(含税),63340.7064,0.34,2153.584,2011-06-10,2011-06-13,2011-06-17,63340.7064,313002,实施方案
600456.XSHG,420600456,宝鸡钛业股份有限公司,600456.XSHG,2010-12-31,年度分红,2011-03-03,10派1元(含税),43026.57,2011-04-22,10派1元(含税),43026.57,2011-06-07,10派1元(含税),43026.57,1.0,4302.657,2011-06-10,2011-06-13,2011-06-17,43026.57,313002,实施方案
600893.XSHG,420600893,中国航发动力股份有限公司,600893.XSHG,2010-12-31,年度分红,2011-03-15,10转增10股派1.1元(含税),54478.6618,2011-04-22,10转增10股派1.1元(含税),54478.6618,2011-06-07,10转增10股派1.1元(含税),54478.6618,1.1,5992.6528,2011-06-10,2011-06-13,2011-06-17,54478.6618,313002,实施方案
601088.XSHG,300003701,中国神华能源股份有限公司,601088.XSHG,2010-12-31,年度分红,2011-03-26,10派7.5元(含税),1988962.0455,2011-05-28,10派7.5元(含税),1988962.0455,2011-06-03,10派7.5元(含税),1988962.0455,7.5,1491721.5341,2011-06-10,2011-06-13,2011-06-17,1988962.0455,313002,实施方案
601169.XSHG,300003642,北京银行股份有限公司,601169.XSHG,2010-12-31,年度分红,2011-04-09,10派2.16元(含税),622756.1881,2011-04-30,10派2.16元(含税),622756.1881,2011-06-07,10派2.16元(含税),622756.1881,2.16,134515.3366,2011-06-10,2011-06-13,2011-06-17,622756.1881,313002,实施方案
601377.XSHG,460000076,兴业证券股份有限公司,601377.XSHG,2010-12-31,年度分红,2011-03-01,10派1.5元(含税),220000.0,2011-04-26,10派1.5元(含税),220000.0,2011-06-07,10派1.5元(含税),220000.0,1.5,33000.0,2011-06-10,2011-06-13,2011-06-17,220000.0,313002,实施方案
