,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000338,2472,300002961,潍柴动力股份有限公司,000338.XSHE,2016-06-30,中期分红,2016-08-31,10派1元(含税),2016-10-14,10派1元(含税),399861.9278,1.0,1.0,39986.1928,2016-10-19,2016-10-20,2016-10-20,399861.9278,313002,实施方案
601238,5857,300006006,广州汽车集团股份有限公司,601238.XSHG,2016-06-30,中期分红,2016-08-27,10派0.8元(含税),2016-10-13,10派0.8元(含税),645079.8045,0.8,0.8,51606.3844,2016-10-19,2016-10-20,2016-10-20,645079.8045,313002,实施方案
