,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000598.XSHE,430000598,成都市兴蓉环境股份有限公司,000598.XSHE,2017-12-31,年度分红,2018-04-12,10派0.78元(含税),298621.8602,2018-05-04,10派0.78元(含税),298621.8602,2018-06-21,10派0.78元(含税),298621.8602,0.78,0.78,23292.5051,2018-06-28,2018-06-29,2018-06-29,298621.8602,313002,实施方案
000898.XSHE,430000898,鞍钢股份有限公司,000898.XSHE,2017-12-31,年度分红,2018-03-27,10派2.32元(含税),723480.7847,2018-06-06,10派2.32元(含税),723480.7847,2018-06-23,10派2.32元(含税),723480.7847,2.32,2.32,167847.5421,2018-06-28,2018-06-29,2018-06-29,723480.7847,313002,实施方案
002027.XSHE,430002027,分众传媒信息技术股份有限公司,002027.XSHE,2017-12-31,年度分红,2018-04-25,10转增2股派1元(含税),1223156.69,2018-05-18,10转增2股派1元(含税),1223156.69,2018-06-22,10转增2股派1元(含税),1223156.69,1.0,1.0,122315.66900000001,2018-06-28,2018-06-29,2018-06-29,1223156.69,313002,实施方案
600015.XSHG,420600015,华夏银行股份有限公司,600015.XSHG,2017-12-31,年度分红,2018-04-20,10派1.51元(含税),1282268.6653,2018-05-25,10派1.51元(含税),1282268.6653,2018-06-21,10派1.51元(含税),1282268.6653,1.51,1.51,193622.5685,2018-06-28,2018-06-29,2018-06-29,1282268.6653,313002,实施方案
600050.XSHG,420600050,中国联合网络通信股份有限公司,600050.XSHG,2017-12-31,年度分红,2018-03-16,10派0.204元(含税),3023395.0687,2018-05-10,10派0.198元(含税),3102781.1687,2018-06-23,10派0.198元(含税),3102781.1687,0.198,0.198,61435.0671,2018-06-28,2018-06-29,2018-06-29,3102781.1687,313002,实施方案
600143.XSHG,420600143,金发科技股份有限公司,600143.XSHG,2017-12-31,年度分红,2018-04-24,10派1元(含税),271678.4786,2018-05-16,10派1元(含税),271678.4786,2018-06-25,10派1元(含税),271678.4786,1.0,1.0,27167.8479,2018-06-28,2018-06-29,2018-06-29,271678.4786,313002,实施方案
600266.XSHG,420600266,北京城建投资发展股份有限公司,600266.XSHG,2017-12-31,年度分红,2018-03-24,10派2.8元(含税),156704.0,2018-05-25,10派2.8元(含税),156704.0,2018-06-25,10派2.8元(含税),156704.0,2.8,2.8,43877.12,2018-06-28,2018-06-29,2018-06-29,156704.0,313002,实施方案
600372.XSHG,420600372,中航航空电子系统股份有限公司,600372.XSHG,2017-12-31,年度分红,2018-03-17,10派0.6元(含税),175916.2938,2018-05-18,10派0.6元(含税),175916.2938,2018-06-25,10派0.6元(含税),175916.2938,0.6,0.6,10554.9776,2018-06-28,2018-06-29,2018-06-29,175916.2938,313002,实施方案
600406.XSHG,420600406,国电南瑞科技股份有限公司,600406.XSHG,2017-12-31,年度分红,2018-04-19,10派3.6元(含税),458366.4125,2018-06-15,10派3.6元(含税),458366.4125,2018-06-25,10派3.6元(含税),458366.4125,3.6,3.6,165011.9085,2018-06-28,2018-06-29,2018-06-29,458366.4125,313002,实施方案
600418.XSHG,420600418,安徽江淮汽车集团股份有限公司,600418.XSHG,2017-12-31,年度分红,2018-03-21,10派0.7元(含税),189331.2117,2018-05-05,10派0.7元(含税),189331.2117,2018-06-22,10派0.7元(含税),189331.2117,0.7,0.7,13253.1848,2018-06-28,2018-06-29,2018-06-29,189331.2117,313002,实施方案
600487.XSHG,420600487,江苏亨通光电股份有限公司,600487.XSHG,2017-12-31,年度分红,2018-04-28,10送4股派1.6元(含税),135977.5587,2018-05-24,10送4股派1.6元(含税),135977.5587,2018-06-25,10送4股派1.6元(含税),135977.5587,1.6,1.6,21756.4094,2018-06-28,2018-06-29,2018-06-29,135977.5587,313002,实施方案
600517.XSHG,420600517,上海置信电气股份有限公司,600517.XSHG,2017-12-31,年度分红,2018-04-27,10派1元(含税),135616.7823,2018-05-19,10派1元(含税),135616.7823,2018-06-25,10派1元(含税),135616.7823,1.0,1.0,13561.6782,2018-06-28,2018-06-29,2018-06-29,135616.7823,313002,实施方案
600783.XSHG,420600783,鲁信创业投资集团股份有限公司,600783.XSHG,2017-12-31,年度分红,2018-04-28,10派0.5元(含税),74435.9294,2018-05-31,10派0.5元(含税),74435.9294,2018-06-21,10派0.5元(含税),74435.9294,0.5,0.5,3721.7965,2018-06-28,2018-06-29,2018-06-29,74435.9294,313002,实施方案
