,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
002405.XSHE,300012447,北京四维图新科技股份有限公司,002405.XSHE,2010-12-31,年度分红,2011-03-02,10转增2股派1.5元(含税),40022.9579,2011-03-30,10转增2股派1.5元(含税),40022.9579,2011-04-11,10转增2股派1.5元(含税),40022.9579,2.0,1.5,8004.5915,6003.4437,2011-04-15,2011-04-18,2011-04-18,2011-04-18,40022.9579,48027.5494,5600.0,6720.0,2011-04-18,313002,实施方案
002431.XSHE,300012875,棕榈生态城镇发展股份有限公司,002431.XSHE,2010-12-31,年度分红,2011-03-08,10转增10股派1元(含税),19200.0,2011-03-30,10转增10股派1元(含税),19200.0,2011-04-08,10转增10股派1元(含税),19200.0,10.0,1.0,19200.0,1920.0,2011-04-15,2011-04-18,2011-04-18,2011-04-18,19200.0,38400.0,4800.0,9600.0,2011-04-18,313002,实施方案
