,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,transfer_ratio,bonus_ratio_rmb,at_bonus_ratio_rmb,transfer_number,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,a_increment_listing_date,total_capital_before_transfer,total_capital_after_transfer,float_capital_before_transfer,float_capital_after_transfer,a_transfer_arrival_date,plan_progress_code,plan_progress
002405,10136,300012447,北京四维图新科技股份有限公司,002405.XSHE,2012-12-31,年度分红,2013-02-28,10转增2股派0.7元(含税),57633.0592,2013-03-23,10转增2股派0.7元(含税),57633.0592,2013-04-16,10转增2股派0.7元(含税),57633.0592,2.0,0.7,0.665,11526.6118,4034.3141,2013-04-22,2013-04-23,2013-04-23,2013-04-23,57633.0592,69159.671,38435.7037,46122.8444,2013-04-23,313002,实施方案
002450,11258,300013433,康得新复合材料集团股份有限公司,002450.XSHE,2012-12-31,年度分红,2013-03-22,10转增5股派0.75元(含税),61962.0,2013-04-15,10转增5股派0.75元(含税),61962.0,2013-04-17,10转增5股派0.75元(含税),62358.1587,5.0,0.75,0.7125,31179.0793,4676.8619,2013-04-22,2013-04-23,2013-04-23,2013-04-23,62358.1587,93537.23800000001,34779.7907,52169.685999999994,2013-04-23,313002,实施方案
