,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000002.XSHE,430000002,万科企业股份有限公司,000002.XSHE,2010-12-31,年度分红,2011-03-08,10派1元(含税),1099521.0218,2011-04-01,10派1元(含税),1099521.0218,2011-05-20,10派1元(含税),1099521.0218,1.0,109952.1022,2011-05-26,2011-05-27,2011-05-27,1099521.0218,313002,实施方案
000528.XSHE,430000528,广西柳工机械股份有限公司,000528.XSHE,2010-12-31,年度分红,2011-03-01,10转增5股派5元(含税),75016.1424,2011-05-19,10转增5股派5元(含税),75016.1424,2011-05-20,10转增5股派5元(含税),75016.1424,5.0,37508.0712,2011-05-26,2011-05-27,2011-05-27,75016.1424,313002,实施方案
000933.XSHE,430000933,河南神火煤电股份有限公司,000933.XSHE,2010-12-31,年度分红,2011-03-22,10送6股派2元(含税),105000.0,2011-04-22,10送6股派2元(含税),105000.0,2011-05-23,10送6股派2元(含税),105000.0,2.0,21000.0,2011-05-26,2011-05-27,2011-05-27,105000.0,313002,实施方案
002050.XSHE,430002050,浙江三花智能控制股份有限公司,002050.XSHE,2010-12-31,年度分红,2011-04-12,10派5元(含税),29736.8666,2011-05-07,10派5元(含税),29736.8666,2011-05-20,10派5元(含税),29736.8666,5.0,14868.4333,2011-05-26,2011-05-27,2011-05-27,29736.8666,313002,实施方案
002051.XSHE,430002051,中工国际工程股份有限公司,002051.XSHE,2010-12-31,年度分红,2011-04-07,10转增3股派3.5元(含税),33900.0,2011-04-28,10转增3股派3.5元(含税),33900.0,2011-05-20,10转增3股派3.5元(含税),33900.0,3.5,11865.0,2011-05-26,2011-05-27,2011-05-27,33900.0,313002,实施方案
002195.XSHE,300003909,上海二三四五网络控股集团股份有限公司,002195.XSHE,2010-12-31,年度分红,2011-04-13,10转增5股派1元(含税),7462.0,2011-05-13,10转增5股派1元(含税),7462.0,2011-05-21,10转增5股派1元(含税),7462.0,1.0,746.2,2011-05-26,2011-05-27,2011-05-27,7462.0,313002,实施方案
002269.XSHE,300005143,上海美特斯邦威服饰股份有限公司,002269.XSHE,2010-12-31,年度分红,2011-04-26,10派5.3元(含税),100500.0,2011-05-19,10派5.3元(含税),100500.0,2011-05-21,10派5.3元(含税),100500.0,5.3,53265.0,2011-05-26,2011-05-27,2011-05-27,100500.0,313002,实施方案
002460.XSHE,300013787,江西赣锋锂业股份有限公司,002460.XSHE,2010-12-31,年度分红,2011-04-19,10转增5股派4元(含税),10000.0,2011-05-11,10转增5股派4元(含税),10000.0,2011-05-21,10转增5股派4元(含税),10000.0,4.0,4000.0,2011-05-26,2011-05-27,2011-05-27,10000.0,313002,实施方案
600418.XSHG,420600418,安徽江淮汽车集团股份有限公司,600418.XSHG,2010-12-31,年度分红,2011-03-18,10派2元(含税),128873.6635,2011-04-13,10派2元(含税),128873.6635,2011-05-13,10派2元(含税),128873.6635,2.0,25774.7327,2011-05-19,2011-05-20,2011-05-27,128873.6635,313002,实施方案
600546.XSHG,420600546,山煤国际能源集团股份有限公司,600546.XSHG,2010-12-31,年度分红,2011-03-03,10派3元(含税),75000.0,2011-03-30,10派3元(含税),75000.0,2011-05-18,10派3元(含税),75000.0,3.0,22500.0,2011-05-23,2011-05-24,2011-05-27,75000.0,313002,实施方案
600597.XSHG,420600597,光明乳业股份有限公司,600597.XSHG,2010-12-31,年度分红,2011-03-31,10派1.2元(含税),104919.336,2011-04-23,10派1.2元(含税),104919.336,2011-05-13,10派1.2元(含税),104919.336,1.2,12590.3203,2011-05-20,2011-05-23,2011-05-27,104919.336,313002,实施方案
600703.XSHG,420600703,三安光电股份有限公司,600703.XSHG,2010-12-31,年度分红,2011-01-24,10转增12股派2元(含税),65636.9898,2011-05-09,10转增12股派2元(含税),65636.9898,2011-05-17,10转增12股派2元(含税),65636.9898,2.0,13127.398000000001,2011-05-20,2011-05-23,2011-05-27,65636.9898,313002,实施方案
600748.XSHG,420600748,上海实业发展股份有限公司,600748.XSHG,2010-12-31,年度分红,2011-03-17,10派0.35元(含税),108337.0873,2011-04-07,10派0.35元(含税),108337.0873,2011-05-17,10派0.35元(含税),108337.0873,0.35,3791.7981,2011-05-23,2011-05-24,2011-05-27,108337.0873,313002,实施方案
