,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600596.XSHG,420600596,浙江新安化工集团股份有限公司,600596.XSHG,2011-12-31,年度分红,2012-04-24,10派0.6元(含税),67918.4633,2012-05-16,10派0.6元(含税),67918.4633,2012-05-23,10派0.6元(含税),67918.4633,0.6,4075.1078,2012-05-28,2012-05-29,2012-06-04,67918.4633,313002,实施方案
601928.XSHG,300021782,江苏凤凰出版传媒股份有限公司,601928.XSHG,2011-12-31,年度分红,2012-04-10,10派0.8元(含税),254490.0,2012-05-05,10派0.8元(含税),254490.0,2012-05-23,10派0.8元(含税),254490.0,0.8,20359.2,2012-05-28,2012-05-29,2012-06-04,254490.0,313002,实施方案
