,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
600028,23307,420600028,中国石油化工股份有限公司,600028.XSHG,2015-06-30,中期分红,2015-08-27,10派0.9元(含税),12107120.9646,2015-09-17,10派0.9元(含税),12107120.9646,0.9,0.9,1089640.8868,2015-09-22,2015-09-23,2015-09-23,12107120.9646,313002,实施方案
601009,2709,300003284,南京银行股份有限公司,601009.XSHG,2015-06-30,中期分红,2015-07-29,10派5元(含税),336595.5526,2015-09-16,10派5元(含税),336595.5526,5.0,5.0,168297.7763,2015-09-22,2015-09-23,2015-09-23,336595.5526,313002,实施方案
